strategy_id,variant_id,symbol,market,timeframe,timestamp,direction,status,reason_code,context_note,setup_note,split_name
SF-002,quality_filter,NVDA,US,5m,2025-04-01T11:35:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T11:40:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T11:45:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T11:50:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T11:55:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T12:00:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T12:05:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T12:10:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T12:15:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T12:20:00-04:00,long,skipped,missing_follow_through,breakout occurred but current bar did not confirm continuation,follow-through cluster quality below threshold,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T12:25:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T12:30:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T12:35:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T12:40:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T12:45:00-04:00,short,skipped,missing_follow_through,breakout occurred but current bar did not confirm downside continuation,follow-through cluster quality below threshold,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T12:50:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T12:55:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T13:00:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T13:05:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T13:10:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T13:15:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T13:20:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T13:25:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T13:30:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T13:35:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T13:40:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T13:45:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T13:50:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T13:55:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T14:00:00-04:00,short,emitted,signal_confirmed,prior bar broke below the recent range with follow-through,current bar confirms breakout continuation within the follow-through window,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T14:05:00-04:00,short,skipped,cooldown_active,prior bar broke below the recent range with follow-through,current bar confirms breakout continuation within the follow-through window,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T14:10:00-04:00,short,skipped,missing_follow_through,breakout occurred but current bar did not confirm downside continuation,follow-through cluster quality below threshold,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T14:15:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T14:20:00-04:00,short,skipped,missing_follow_through,breakout occurred but current bar did not confirm downside continuation,follow-through cluster quality below threshold,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T14:25:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T14:30:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T14:35:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T14:40:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T14:45:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T14:50:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T14:55:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T15:00:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T15:05:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T15:10:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T15:15:00-04:00,long,skipped,missing_follow_through,breakout occurred but current bar did not confirm continuation,follow-through cluster quality below threshold,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T15:20:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T15:25:00-04:00,long,skipped,missing_follow_through,breakout occurred but current bar did not confirm continuation,follow-through cluster quality below threshold,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T15:30:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T15:35:00-04:00,long,emitted,signal_confirmed,prior bar broke above the recent range with follow-through,current bar confirms breakout continuation within the follow-through window,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T15:40:00-04:00,long,skipped,missing_follow_through,breakout occurred but current bar did not confirm continuation,follow-through cluster quality below threshold,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T15:45:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T15:50:00-04:00,both,skipped,no_breakout_context,no valid breakout was detected in the prior bar,waiting for a breakout + follow-through cluster,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-01T15:55:00-04:00,long,skipped,cooldown_active,prior bar broke above the recent range with follow-through,current bar confirms breakout continuation within the follow-through window,in_sample
SF-002,quality_filter,NVDA,US,5m,2025-04-02T09:30:00-04:00,long,skipped,missing_follow_through,breakout occurred but current bar did not confirm continuation,follow-through cluster quality below threshold,in_sample
