sequence,timestamp,equity
0,start,100000.00
1,2024-05-06T13:30:00-04:00,99494.14
2,2024-04-25T09:30:00-04:00,98987.83
3,2024-05-01T09:30:00-04:00,98486.68
4,2024-05-03T09:30:00-04:00,97988.16
5,2024-05-15T10:30:00-04:00,98962.47
6,2024-05-15T09:30:00-04:00,99937.71
7,2024-05-31T09:30:00-04:00,99430.31
8,2024-06-17T12:30:00-04:00,100416.91
9,2024-06-20T12:30:00-04:00,99970.74
10,2024-07-12T13:30:00-04:00,100960.58
11,2024-07-10T12:30:00-04:00,101601.27
12,2024-08-15T09:30:00-04:00,101090.06
13,2024-09-06T11:30:00-04:00,100579.23
14,2024-08-22T13:30:00-04:00,100061.71
15,2024-09-11T09:30:00-04:00,99549.30
16,2024-10-09T10:30:00-04:00,100537.82
17,2024-10-09T09:30:00-04:00,100015.94
18,2024-10-10T14:30:00-04:00,99537.67
19,2024-10-15T12:30:00-04:00,99024.51
20,2024-11-06T09:30:00-05:00,98524.17
21,2025-03-04T09:30:00-05:00,98027.92
22,2024-11-14T12:30:00-05:00,97526.74
23,2024-12-03T09:30:00-05:00,97358.55
24,2024-12-09T10:30:00-05:00,96906.53
25,2024-12-27T10:30:00-05:00,96415.27
26,2025-01-03T12:30:00-05:00,95926.79
27,2025-01-17T10:30:00-05:00,95440.86
28,2025-02-03T09:30:00-05:00,94956.41
29,2025-01-27T09:30:00-05:00,94473.40
30,2025-02-12T09:30:00-05:00,93993.36
31,2025-03-11T14:30:00-04:00,93518.10
32,2025-03-28T09:30:00-04:00,94443.22
33,2025-04-14T09:30:00-04:00,93969.48
34,2025-04-16T09:30:00-04:00,93490.96
35,2025-05-06T09:30:00-04:00,93016.25
36,2025-05-23T09:30:00-04:00,92545.64
37,2025-05-19T09:30:00-04:00,92071.51
38,2025-05-28T09:30:00-04:00,92982.36
39,2025-06-26T09:30:00-04:00,93904.00
40,2025-06-24T09:30:00-04:00,93422.51
41,2025-06-24T09:30:00-04:00,92947.92
42,2025-06-30T09:30:00-04:00,93864.75
43,2025-07-15T09:30:00-04:00,94793.10
44,2025-07-03T09:30:00-04:00,95604.35
45,2025-07-11T09:30:00-04:00,95110.53
46,2025-07-31T09:30:00-04:00,96049.85
47,2025-08-01T09:30:00-04:00,95556.76
48,2025-07-29T10:30:00-04:00,95170.58
49,2025-08-19T10:30:00-04:00,94866.32
50,2025-09-23T13:30:00-04:00,94378.14
51,2025-09-29T09:30:00-04:00,93894.19
52,2025-10-10T10:30:00-04:00,93413.76
53,2025-10-07T11:30:00-04:00,92929.59
54,2025-11-06T11:30:00-05:00,92458.33
55,2025-10-29T14:30:00-04:00,91978.89
56,2025-11-13T10:30:00-05:00,91501.57
57,2025-11-19T09:30:00-05:00,91030.08
58,2025-11-26T09:30:00-05:00,90572.24
59,2026-01-07T11:30:00-05:00,91471.48
60,2025-12-10T14:30:00-05:00,92327.58
61,2025-12-12T11:30:00-05:00,91852.37
62,2025-12-23T10:30:00-05:00,92167.03
63,2026-01-14T09:30:00-05:00,91692.49
64,2026-01-26T09:30:00-05:00,91229.83
65,2026-01-27T10:30:00-05:00,91975.65
66,2026-01-29T09:30:00-05:00,91505.48
67,2026-02-09T09:30:00-05:00,91039.84
68,2026-02-12T10:30:00-05:00,90576.42
69,2026-02-20T13:30:00-05:00,90108.54
70,2026-03-06T09:30:00-05:00,89654.26
71,2026-03-16T14:30:00-04:00,89190.80
72,2026-04-01T09:30:00-04:00,88740.16
73,2026-03-31T09:30:00-04:00,88523.78
74,2026-04-08T09:30:00-04:00,89403.25
75,2026-04-21T14:30:00-04:00,89924.64
76,2026-04-21T14:30:00-04:00,89777.81
77,2026-04-21T14:30:00-04:00,89560.94
