sequence,timestamp,equity
0,start,100000.00
1,2024-04-22T09:30:00-04:00,100998.30
2,2024-05-06T09:30:00-04:00,102001.99
3,2024-06-12T11:30:00-04:00,101488.28
4,2024-07-02T09:30:00-04:00,102501.01
5,2024-07-11T11:30:00-04:00,101985.22
6,2024-08-05T09:30:00-04:00,103003.77
7,2024-09-19T11:30:00-04:00,104031.00
8,2024-11-11T09:30:00-05:00,105070.58
9,2024-11-06T09:30:00-05:00,104543.08
10,2024-11-11T09:30:00-05:00,105586.58
11,2024-12-02T09:30:00-05:00,105056.55
12,2024-12-03T09:30:00-05:00,104841.45
13,2024-12-16T11:30:00-05:00,105887.59
14,2025-01-21T09:30:00-05:00,105356.51
15,2025-01-27T09:30:00-05:00,106403.68
16,2025-02-03T09:30:00-05:00,105869.53
17,2025-02-19T09:30:00-05:00,105337.97
18,2025-02-21T11:30:00-05:00,104809.19
19,2025-02-21T14:30:00-05:00,105851.96
20,2025-03-10T14:30:00-04:00,106908.98
21,2025-03-31T09:30:00-04:00,106373.50
22,2025-04-09T12:30:00-04:00,105840.56
23,2025-05-14T11:30:00-04:00,106897.88
24,2025-04-30T09:30:00-04:00,106358.58
25,2025-05-06T09:30:00-04:00,105822.81
26,2025-05-19T09:30:00-04:00,105289.05
27,2025-06-04T09:30:00-04:00,104760.41
28,2025-07-01T09:30:00-04:00,104235.21
29,2025-06-13T12:30:00-04:00,103712.16
30,2025-07-18T09:30:00-04:00,103192.41
31,2025-07-18T09:30:00-04:00,104220.68
32,2025-07-30T14:30:00-04:00,103697.53
33,2025-08-29T11:30:00-04:00,103175.73
34,2025-11-14T09:30:00-05:00,102658.46
35,2025-10-02T09:30:00-04:00,103682.64
36,2025-10-07T11:30:00-04:00,103160.11
37,2025-10-10T09:30:00-04:00,102639.16
38,2025-11-05T13:30:00-05:00,102123.16
39,2025-11-20T09:30:00-05:00,101607.84
40,2025-12-03T13:30:00-05:00,102619.44
41,2025-12-16T14:30:00-05:00,103643.27
42,2026-01-02T10:30:00-05:00,104674.23
43,2026-01-29T10:30:00-05:00,105717.82
44,2026-01-29T09:30:00-05:00,105186.89
45,2026-02-25T09:30:00-05:00,104658.55
46,2026-02-26T09:30:00-05:00,104129.89
47,2026-03-04T09:30:00-05:00,103604.16
48,2026-04-06T11:30:00-04:00,104637.28
49,2026-03-31T12:30:00-04:00,104108.73
50,2026-04-15T09:30:00-04:00,103585.80
51,2026-04-21T14:30:00-04:00,103311.62
