sequence,timestamp,equity
0,start,100000.00
1,2010-11-04T16:00:00-04:00,99499.11
2,2012-03-13T16:00:00-04:00,99001.06
3,2011-02-22T16:00:00-05:00,98504.92
4,2011-05-25T16:00:00-04:00,98010.98
5,2011-07-20T16:00:00-04:00,97519.65
6,2011-10-24T16:00:00-04:00,98493.66
7,2011-12-05T16:00:00-05:00,97999.86
8,2012-03-13T16:00:00-04:00,98979.19
9,2012-03-26T16:00:00-04:00,98482.79
10,2012-08-01T16:00:00-04:00,97989.70
11,2013-01-23T16:00:00-05:00,97499.09
12,2012-10-15T16:00:00-04:00,97010.56
13,2013-01-22T16:00:00-05:00,96523.17
14,2013-07-01T16:00:00-04:00,96039.99
15,2013-11-07T16:00:00-05:00,96999.55
16,2014-02-11T16:00:00-05:00,97968.95
17,2014-08-13T16:00:00-04:00,97478.29
18,2014-08-06T16:00:00-04:00,98452.13
19,2015-03-27T16:00:00-04:00,99436.06
20,2014-12-15T16:00:00-05:00,100429.25
21,2015-04-27T16:00:00-04:00,99925.90
22,2015-07-20T16:00:00-04:00,99425.12
23,2016-01-14T16:00:00-05:00,98927.56
24,2016-01-13T16:00:00-05:00,98432.17
25,2016-01-20T16:00:00-05:00,99415.30
26,2016-05-04T16:00:00-04:00,100407.13
27,2016-11-02T16:00:00-04:00,99904.18
28,2016-11-01T16:00:00-04:00,99402.71
29,2017-04-03T16:00:00-04:00,98904.93
30,2017-05-30T16:00:00-04:00,98409.36
31,2017-07-06T16:00:00-04:00,99391.78
32,2017-09-14T16:00:00-04:00,98893.25
33,2017-10-25T16:00:00-04:00,98397.41
34,2017-12-12T16:00:00-05:00,99378.72
35,2018-03-28T16:00:00-04:00,100371.69
36,2018-08-07T16:00:00-04:00,101374.68
37,2018-08-07T16:00:00-04:00,100866.96
38,2018-10-05T16:00:00-04:00,100362.08
39,2018-12-04T16:00:00-05:00,99858.84
40,2019-03-05T16:00:00-05:00,99358.81
41,2019-04-25T16:00:00-04:00,98860.14
42,2019-10-24T16:00:00-04:00,99848.12
43,2019-09-12T16:00:00-04:00,100844.79
44,2019-12-12T16:00:00-05:00,100338.46
45,2020-06-08T16:00:00-04:00,101341.45
46,2020-08-17T16:00:00-04:00,100834.08
47,2020-11-24T16:00:00-05:00,101841.55
48,2021-02-23T16:00:00-05:00,102859.11
49,2021-05-12T16:00:00-04:00,102344.14
50,2021-09-27T16:00:00-04:00,103366.69
51,2021-09-24T16:00:00-04:00,102847.24
52,2022-08-25T16:00:00-04:00,103875.35
53,2022-05-20T16:00:00-04:00,104913.65
54,2022-03-22T16:00:00-04:00,105961.51
55,2022-08-25T16:00:00-04:00,105431.05
56,2022-08-25T16:00:00-04:00,106484.14
57,2022-12-13T16:00:00-05:00,105951.10
58,2023-06-05T16:00:00-04:00,105420.38
59,2023-05-30T16:00:00-04:00,106473.41
60,2023-10-23T16:00:00-04:00,107537.34
61,2024-04-22T16:00:00-04:00,108612.25
62,2023-12-14T16:00:00-05:00,108067.77
63,2024-03-06T16:00:00-05:00,107526.68
64,2024-04-16T16:00:00-04:00,106987.60
65,2024-06-13T16:00:00-04:00,106450.72
66,2024-11-06T16:00:00-05:00,107514.46
67,2024-10-25T16:00:00-04:00,106975.61
68,2025-12-16T16:00:00-05:00,106440.25
69,2025-04-07T16:00:00-04:00,105907.65
70,2026-04-21T16:00:00-04:00,106100.26
71,2025-09-05T16:00:00-04:00,105567.95
72,2025-12-15T16:00:00-05:00,105038.71
73,2026-02-04T16:00:00-05:00,106086.48
74,2026-04-21T16:00:00-04:00,106016.46
