sequence,timestamp,equity
0,start,100000.00
1,2024-05-15T13:30:00-04:00,100998.57
2,2024-05-03T09:30:00-04:00,100491.84
3,2024-05-22T09:30:00-04:00,99985.51
4,2024-06-04T09:30:00-04:00,99482.13
5,2026-04-21T14:30:00-04:00,99446.63
6,2024-07-11T09:30:00-04:00,100438.74
7,2024-07-25T09:30:00-04:00,101441.61
8,2024-07-24T11:30:00-04:00,100932.48
9,2024-08-02T09:30:00-04:00,100426.87
10,2024-08-14T09:30:00-04:00,101429.38
11,2024-08-26T09:30:00-04:00,100919.10
12,2024-09-11T14:30:00-04:00,101926.05
13,2024-10-07T09:30:00-04:00,101414.38
14,2024-10-17T09:30:00-04:00,100905.47
15,2024-10-31T14:30:00-04:00,101911.15
16,2024-11-08T09:30:00-05:00,102927.69
17,2024-11-15T09:30:00-05:00,103949.40
18,2025-01-07T09:30:00-05:00,103428.13
19,2024-12-13T10:30:00-05:00,102908.37
20,2025-01-03T09:30:00-05:00,102391.55
21,2025-01-22T09:30:00-05:00,103412.37
22,2025-02-03T09:30:00-05:00,102893.10
23,2025-02-13T10:30:00-05:00,102374.90
24,2025-02-21T14:30:00-05:00,103392.36
25,2025-03-07T10:30:00-05:00,102873.83
26,2025-04-04T09:30:00-04:00,103900.98
27,2025-04-04T09:30:00-04:00,104938.41
28,2025-05-29T09:30:00-04:00,105987.08
29,2025-05-01T10:30:00-04:00,105455.82
30,2025-05-01T09:30:00-04:00,104925.94
31,2025-05-21T11:30:00-04:00,104397.12
32,2025-06-09T09:30:00-04:00,103870.61
33,2025-06-20T09:30:00-04:00,103728.42
34,2025-07-03T09:30:00-04:00,103205.79
35,2025-07-31T09:30:00-04:00,104234.84
36,2025-08-07T09:30:00-04:00,103710.50
37,2025-08-13T09:30:00-04:00,103185.46
38,2025-09-02T09:30:00-04:00,102667.16
39,2025-09-22T11:30:00-04:00,102150.01
40,2025-09-29T09:30:00-04:00,101631.25
41,2025-10-09T09:30:00-04:00,101118.16
42,2025-10-22T12:30:00-04:00,100609.52
43,2025-11-03T09:30:00-05:00,100102.51
44,2025-11-18T09:30:00-05:00,99598.59
45,2026-03-27T09:30:00-04:00,99098.87
46,2025-12-08T09:30:00-05:00,98597.68
47,2026-01-02T09:30:00-05:00,98101.25
48,2026-01-08T09:30:00-05:00,97606.94
49,2026-01-28T09:30:00-05:00,97117.03
50,2026-01-30T10:30:00-05:00,96627.37
51,2026-03-27T09:30:00-04:00,96142.72
52,2026-02-27T11:30:00-05:00,95660.33
53,2026-04-15T09:30:00-04:00,95180.44
54,2026-03-06T14:30:00-05:00,94695.81
55,2026-03-26T10:30:00-04:00,94219.57
56,2026-04-08T09:30:00-04:00,93742.31
57,2026-04-21T14:30:00-04:00,93514.55
