sequence,timestamp,equity
0,start,100000.00
1,2024-04-04T14:45:00-04:00,99486.01
2,2024-04-11T14:00:00-04:00,100467.83
3,2024-04-11T13:00:00-04:00,99950.08
4,2024-04-11T11:15:00-04:00,99590.81
5,2024-04-15T09:30:00-04:00,100202.55
6,2024-04-18T09:30:00-04:00,99683.37
7,2024-04-19T09:30:00-04:00,99353.24
8,2024-04-30T14:45:00-04:00,99038.98
9,2024-05-03T09:30:00-04:00,98684.65
10,2024-05-06T12:45:00-04:00,98542.05
11,2024-05-10T09:30:00-04:00,98092.34
12,2024-05-14T14:00:00-04:00,97791.93
13,2024-05-16T13:15:00-04:00,98073.97
14,2024-05-20T10:30:00-04:00,98817.06
15,2024-05-22T13:30:00-04:00,98658.71
16,2024-05-28T14:30:00-04:00,98395.68
17,2024-05-29T15:45:00-04:00,98206.09
18,2024-05-31T15:45:00-04:00,99066.81
19,2024-06-04T10:30:00-04:00,98640.89
20,2024-06-07T09:30:00-04:00,98448.61
21,2024-06-12T09:30:00-04:00,99395.69
22,2024-07-03T10:00:00-04:00,100380.25
23,2024-06-20T09:45:00-04:00,100828.31
24,2024-06-21T09:45:00-04:00,100333.24
25,2024-06-26T11:45:00-04:00,99837.19
26,2024-07-01T10:30:00-04:00,99655.37
27,2024-07-05T15:30:00-04:00,99470.56
28,2024-07-10T09:30:00-04:00,99866.69
29,2024-07-11T12:45:00-04:00,100852.14
30,2024-07-17T10:00:00-04:00,101849.49
31,2024-07-19T11:15:00-04:00,101325.80
32,2024-07-23T13:00:00-04:00,100804.13
33,2024-07-30T10:45:00-04:00,100292.60
34,2024-07-31T09:30:00-04:00,101281.56
35,2024-08-01T13:30:00-04:00,102286.02
36,2024-08-05T09:30:00-04:00,103296.99
37,2024-08-06T13:00:00-04:00,104319.82
38,2024-08-08T10:45:00-04:00,105349.13
39,2024-08-09T13:00:00-04:00,104802.69
40,2024-08-15T11:30:00-04:00,105844.39
41,2024-08-15T09:30:00-04:00,105299.59
42,2024-08-16T12:00:00-04:00,104765.93
43,2024-08-19T12:45:00-04:00,104538.05
44,2024-08-22T09:30:00-04:00,103998.92
45,2024-08-26T10:30:00-04:00,103472.57
46,2024-08-27T09:30:00-04:00,102936.82
47,2024-08-29T14:00:00-04:00,103339.28
48,2024-09-06T10:30:00-04:00,104366.87
49,2024-09-06T09:30:00-04:00,103835.33
50,2024-09-10T09:30:00-04:00,103379.55
51,2024-09-11T12:15:00-04:00,102853.38
52,2024-09-17T09:30:00-04:00,103628.58
53,2024-09-17T13:45:00-04:00,103196.36
54,2024-11-07T09:30:00-05:00,104224.07
55,2024-09-24T09:30:00-04:00,103879.27
56,2024-10-01T09:45:00-04:00,104899.50
57,2024-10-04T09:30:00-04:00,105929.63
58,2024-10-08T15:30:00-04:00,106369.40
59,2024-10-10T12:30:00-04:00,106421.41
60,2024-10-25T09:45:00-04:00,105882.28
61,2024-10-17T09:30:00-04:00,105707.97
62,2024-10-21T10:00:00-04:00,105275.65
63,2024-10-24T09:30:00-04:00,106269.67
64,2024-10-29T09:30:00-04:00,105718.62
65,2024-10-31T09:30:00-04:00,105178.45
66,2024-11-06T09:30:00-05:00,106217.74
67,2024-11-05T10:00:00-05:00,107254.90
68,2024-11-07T14:00:00-05:00,107112.24
69,2024-11-18T10:15:00-05:00,107807.48
70,2024-11-20T10:15:00-05:00,107287.29
71,2024-12-02T09:30:00-05:00,108349.33
72,2024-11-27T13:00:00-05:00,108607.60
73,2024-12-03T11:30:00-05:00,108364.52
74,2024-12-09T11:00:00-05:00,107895.10
75,2024-12-10T14:00:00-05:00,107457.03
76,2024-12-13T09:30:00-05:00,106900.34
77,2024-12-18T09:30:00-05:00,106719.17
78,2024-12-26T12:00:00-05:00,107778.55
79,2024-12-30T09:30:00-05:00,107229.16
80,2024-12-27T09:30:00-05:00,106678.75
81,2024-12-30T09:30:00-05:00,106131.18
82,2024-12-31T13:00:00-05:00,105992.14
83,2025-01-03T13:15:00-05:00,105776.37
84,2025-01-07T10:00:00-05:00,105231.93
85,2025-01-08T12:15:00-05:00,104693.18
86,2025-01-13T15:45:00-05:00,104460.36
87,2025-01-17T09:30:00-05:00,103921.38
88,2025-01-21T12:30:00-05:00,103389.05
89,2025-01-23T09:30:00-05:00,103774.00
90,2025-01-27T09:30:00-05:00,104545.64
91,2025-01-28T12:00:00-05:00,105574.33
92,2025-01-31T13:30:00-05:00,106237.98
93,2025-02-04T12:15:00-05:00,106447.79
94,2025-02-13T10:00:00-05:00,105905.98
95,2025-02-12T09:30:00-05:00,105359.21
96,2025-02-13T13:15:00-05:00,105859.80
97,2025-02-19T14:00:00-05:00,105312.06
98,2025-02-19T13:30:00-05:00,105076.29
99,2025-02-21T12:45:00-05:00,106098.80
100,2025-02-26T13:30:00-05:00,106868.28
101,2025-03-03T15:00:00-05:00,106324.52
102,2025-03-04T14:15:00-05:00,107375.13
103,2025-03-10T15:00:00-04:00,108444.39
104,2025-03-10T09:45:00-04:00,107893.28
105,2025-03-11T13:15:00-04:00,107343.34
106,2025-03-13T14:15:00-04:00,107120.88
107,2025-03-17T14:00:00-04:00,106569.11
108,2025-03-19T11:30:00-04:00,106159.63
109,2025-03-24T09:30:00-04:00,107205.64
110,2025-03-24T15:00:00-04:00,106875.24
111,2025-03-28T15:30:00-04:00,106626.02
112,2025-04-02T11:15:00-04:00,106075.51
113,2025-04-07T09:30:00-04:00,107134.11
114,2025-04-04T14:30:00-04:00,106590.74
115,2025-04-08T13:00:00-04:00,107648.64
116,2025-04-25T09:30:00-04:00,107107.54
117,2025-04-14T09:30:00-04:00,106557.17
118,2025-04-16T09:30:00-04:00,106032.56
119,2025-04-21T09:30:00-04:00,107074.69
120,2025-04-25T13:15:00-04:00,108142.14
