sequence,timestamp,equity
0,start,100000.00
1,2010-09-24T16:00:00-04:00,100999.05
2,2010-11-19T16:00:00-05:00,100492.70
3,2011-02-02T16:00:00-05:00,99988.27
4,2011-04-12T16:00:00-04:00,99487.57
5,2011-07-18T16:00:00-04:00,100481.73
6,2011-09-14T16:00:00-04:00,99977.83
7,2011-12-19T16:00:00-05:00,100976.00
8,2012-02-15T16:00:00-05:00,100465.93
9,2012-04-16T16:00:00-04:00,99960.47
10,2012-08-09T16:00:00-04:00,100958.64
11,2012-09-07T16:00:00-04:00,100448.02
12,2012-11-12T16:00:00-05:00,99944.33
13,2013-03-06T16:00:00-05:00,100940.08
14,2013-04-03T16:00:00-04:00,101945.58
15,2013-05-08T16:00:00-04:00,101431.15
16,2013-09-11T16:00:00-04:00,100922.98
17,2013-11-05T16:00:00-05:00,101928.80
18,2014-02-19T16:00:00-05:00,102946.69
19,2014-02-12T16:00:00-05:00,102430.32
20,2014-04-09T16:00:00-04:00,101915.82
21,2014-07-23T16:00:00-04:00,102931.46
22,2014-08-26T16:00:00-04:00,102412.08
23,2015-02-12T16:00:00-05:00,103434.87
24,2015-02-12T16:00:00-05:00,102915.19
25,2015-02-19T16:00:00-05:00,103813.58
26,2015-06-29T16:00:00-04:00,103292.35
27,2015-07-27T16:00:00-04:00,102773.77
28,2015-09-25T16:00:00-04:00,102256.91
29,2016-01-04T16:00:00-05:00,101743.45
30,2016-05-13T16:00:00-04:00,101231.64
31,2016-07-07T16:00:00-04:00,100723.80
32,2016-09-19T16:00:00-04:00,100217.61
33,2016-10-13T16:00:00-04:00,101216.33
34,2016-12-01T16:00:00-05:00,102222.85
35,2017-02-24T16:00:00-05:00,103243.64
36,2017-05-10T16:00:00-04:00,104273.68
37,2017-06-12T16:00:00-04:00,103738.68
38,2017-09-15T16:00:00-04:00,103219.00
39,2017-10-27T16:00:00-04:00,102698.67
40,2018-01-08T16:00:00-05:00,103723.99
41,2018-02-16T16:00:00-05:00,103203.07
42,2018-04-25T16:00:00-04:00,102685.46
43,2018-06-25T16:00:00-04:00,103708.77
44,2018-08-20T16:00:00-04:00,103188.78
45,2018-10-10T16:00:00-04:00,102671.73
46,2018-12-20T16:00:00-05:00,102157.59
47,2019-01-23T16:00:00-05:00,101640.19
48,2019-05-28T16:00:00-04:00,101131.33
49,2019-07-23T16:00:00-04:00,100624.63
50,2019-10-22T16:00:00-04:00,100118.39
51,2020-01-10T16:00:00-05:00,101118.11
52,2020-03-16T16:00:00-04:00,102128.69
53,2020-04-27T16:00:00-04:00,101616.69
54,2020-07-02T16:00:00-04:00,101106.59
55,2020-08-28T16:00:00-04:00,100595.61
56,2020-11-06T16:00:00-05:00,100090.80
57,2021-03-04T16:00:00-05:00,99589.21
58,2021-06-17T16:00:00-04:00,100584.12
59,2021-09-28T16:00:00-04:00,100079.74
60,2022-01-06T16:00:00-05:00,99577.63
61,2022-03-21T16:00:00-04:00,99078.61
62,2022-05-06T16:00:00-04:00,98582.05
63,2022-07-20T16:00:00-04:00,98088.33
64,2022-10-10T16:00:00-04:00,97596.62
65,2023-01-23T16:00:00-05:00,97107.73
66,2023-02-13T16:00:00-05:00,96617.06
67,2023-04-18T16:00:00-04:00,96132.11
68,2023-10-26T16:00:00-04:00,95650.91
69,2023-11-20T16:00:00-05:00,96606.12
70,2024-02-22T16:00:00-05:00,96122.04
71,2024-04-18T16:00:00-04:00,95640.19
72,2024-08-02T16:00:00-04:00,95161.04
73,2025-06-25T16:00:00-04:00,94684.65
74,2025-03-31T16:00:00-04:00,94210.63
75,2025-05-28T16:00:00-04:00,93736.50
76,2025-07-25T16:00:00-04:00,93264.41
77,2025-10-29T16:00:00-04:00,94195.88
78,2025-11-21T16:00:00-05:00,93724.27
79,2026-01-02T16:00:00-05:00,93249.37
80,2026-04-10T16:00:00-04:00,92781.55
