sequence,timestamp,equity
0,start,100000.00
1,2010-09-13T16:00:00-04:00,99498.08
2,2010-12-07T16:00:00-05:00,98996.38
3,2011-04-27T16:00:00-04:00,98498.58
4,2011-06-08T16:00:00-04:00,98004.31
5,2012-01-18T16:00:00-05:00,97512.14
6,2012-03-07T16:00:00-05:00,97032.55
7,2012-05-04T16:00:00-04:00,96541.98
8,2012-06-22T16:00:00-04:00,96047.08
9,2012-09-26T16:00:00-04:00,96997.47
10,2012-11-26T16:00:00-05:00,97957.21
11,2013-01-17T16:00:00-05:00,97458.18
12,2013-04-10T16:00:00-04:00,96966.08
13,2013-08-26T16:00:00-04:00,96476.97
14,2013-11-13T16:00:00-05:00,95990.04
15,2014-03-24T16:00:00-04:00,95505.63
16,2014-10-13T16:00:00-04:00,95026.60
17,2014-11-28T16:00:00-05:00,95975.06
18,2015-01-06T16:00:00-05:00,95492.87
19,2015-07-16T16:00:00-04:00,95012.04
20,2015-07-20T16:00:00-04:00,95958.31
21,2017-06-02T16:00:00-04:00,96917.29
22,2016-01-04T16:00:00-05:00,96430.57
23,2016-03-11T16:00:00-05:00,95942.70
24,2016-07-12T16:00:00-04:00,95460.18
25,2016-07-11T16:00:00-04:00,94979.43
26,2016-09-09T16:00:00-04:00,94499.09
27,2016-12-09T16:00:00-05:00,94023.77
28,2017-03-30T16:00:00-04:00,93548.75
29,2017-05-22T16:00:00-04:00,93076.01
30,2017-10-05T16:00:00-04:00,92606.24
31,2018-01-26T16:00:00-05:00,93529.17
32,2018-06-25T16:00:00-04:00,94454.12
33,2018-10-10T16:00:00-04:00,95395.40
34,2019-03-12T16:00:00-04:00,94912.26
35,2019-07-03T16:00:00-04:00,95858.98
36,2019-10-02T16:00:00-04:00,96811.56
37,2019-11-21T16:00:00-05:00,97051.10
38,2020-04-29T16:00:00-04:00,98020.50
39,2020-09-17T16:00:00-04:00,97528.32
40,2021-01-07T16:00:00-05:00,97035.93
41,2021-04-13T16:00:00-04:00,96549.33
42,2021-06-14T16:00:00-04:00,96063.05
43,2021-09-20T16:00:00-04:00,97014.16
44,2022-01-19T16:00:00-05:00,96527.20
45,2022-03-14T16:00:00-04:00,96042.07
46,2022-07-19T16:00:00-04:00,95560.14
47,2022-10-10T16:00:00-04:00,95080.01
48,2022-12-07T16:00:00-05:00,94601.73
49,2023-06-12T16:00:00-04:00,95546.48
50,2023-09-26T16:00:00-04:00,95066.81
51,2024-05-31T16:00:00-04:00,96009.05
52,2024-08-05T16:00:00-04:00,96967.17
53,2024-10-09T16:00:00-04:00,96478.80
54,2025-02-18T16:00:00-05:00,95993.56
55,2025-02-27T16:00:00-05:00,96949.67
56,2025-07-29T16:00:00-04:00,97918.28
57,2025-08-05T16:00:00-04:00,97421.07
58,2025-10-01T16:00:00-04:00,96928.51
59,2026-03-20T16:00:00-04:00,96442.04
60,2026-01-27T16:00:00-05:00,95956.92
61,2026-04-10T16:00:00-04:00,96913.40
