sequence,timestamp,equity
0,start,100000.00
1,2010-09-09T16:00:00-04:00,100995.25
2,2010-10-21T16:00:00-04:00,100482.88
3,2010-12-31T16:00:00-05:00,100230.63
4,2011-04-26T16:00:00-04:00,99725.98
5,2011-06-02T16:00:00-04:00,99223.44
6,2011-10-03T16:00:00-04:00,98725.74
7,2012-03-13T16:00:00-04:00,98227.36
8,2012-05-17T16:00:00-04:00,99205.40
9,2012-06-29T16:00:00-04:00,98706.46
10,2012-09-06T16:00:00-04:00,98207.89
11,2012-11-07T16:00:00-05:00,97712.61
12,2013-01-02T16:00:00-05:00,97219.51
13,2013-03-05T16:00:00-05:00,96726.47
14,2013-04-30T16:00:00-04:00,96238.36
15,2013-08-16T16:00:00-04:00,97191.71
16,2013-11-14T16:00:00-05:00,98160.02
17,2013-12-04T16:00:00-05:00,98751.42
18,2014-02-11T16:00:00-05:00,99726.53
19,2014-04-08T16:00:00-04:00,99222.91
20,2014-06-18T16:00:00-04:00,98717.80
21,2014-10-13T16:00:00-04:00,99700.01
22,2014-12-03T16:00:00-05:00,99191.38
23,2015-08-21T16:00:00-04:00,98693.12
24,2015-05-19T16:00:00-04:00,99673.43
25,2015-08-20T16:00:00-04:00,99170.85
26,2016-01-20T16:00:00-05:00,98673.64
27,2015-12-18T16:00:00-05:00,98177.89
28,2016-06-06T16:00:00-04:00,99157.70
29,2016-06-02T16:00:00-04:00,98656.99
30,2016-12-07T16:00:00-05:00,99641.07
31,2016-09-09T16:00:00-04:00,99134.02
32,2017-06-09T16:00:00-04:00,98808.95
33,2017-08-17T16:00:00-04:00,99781.22
34,2017-12-15T16:00:00-05:00,99262.64
35,2018-03-23T16:00:00-04:00,100251.52
36,2018-06-04T16:00:00-04:00,99742.98
37,2018-10-24T16:00:00-04:00,99241.95
38,2018-09-20T16:00:00-04:00,98732.39
39,2018-12-06T16:00:00-05:00,98234.70
40,2019-03-13T16:00:00-04:00,97738.08
41,2019-07-01T16:00:00-04:00,97238.34
42,2019-09-19T16:00:00-04:00,96740.53
43,2020-02-05T16:00:00-05:00,96253.63
44,2020-06-03T16:00:00-04:00,97215.30
45,2020-07-20T16:00:00-04:00,96726.64
46,2020-12-21T16:00:00-05:00,97691.98
47,2021-01-20T16:00:00-05:00,97191.74
48,2021-07-02T16:00:00-04:00,98161.67
49,2021-05-07T16:00:00-04:00,97658.55
50,2021-08-05T16:00:00-04:00,97157.46
51,2021-09-30T16:00:00-04:00,96668.32
52,2022-01-20T16:00:00-05:00,97631.02
53,2022-05-02T16:00:00-04:00,97141.48
54,2022-11-23T16:00:00-05:00,96647.27
55,2023-01-31T16:00:00-05:00,96262.88
56,2023-06-13T16:00:00-04:00,97223.29
57,2023-06-02T16:00:00-04:00,98190.55
58,2023-07-12T16:00:00-04:00,97691.95
59,2023-10-23T16:00:00-04:00,97197.89
60,2023-12-22T16:00:00-05:00,96692.77
61,2024-04-19T16:00:00-04:00,97654.89
62,2024-06-05T16:00:00-04:00,97160.58
63,2024-08-02T16:00:00-04:00,98127.86
64,2024-10-09T16:00:00-04:00,97624.12
65,2024-12-18T16:00:00-05:00,98582.49
66,2025-07-23T16:00:00-04:00,99567.17
67,2025-08-22T16:00:00-04:00,99059.91
68,2025-12-24T16:00:00-05:00,98560.02
69,2025-12-31T16:00:00-05:00,99057.93
70,2026-03-03T16:00:00-05:00,98557.04
71,2026-04-21T16:00:00-04:00,98694.14
