sequence,timestamp,equity
0,start,100000.00
1,2024-04-08T09:30:00-04:00,99497.48
2,2024-04-26T14:30:00-04:00,98992.77
3,2024-05-06T09:30:00-04:00,98490.90
4,2024-06-03T09:30:00-04:00,97993.25
5,2024-06-13T15:45:00-04:00,98967.56
6,2024-06-28T10:45:00-04:00,98464.71
7,2024-07-30T11:00:00-04:00,97966.44
8,2024-08-21T11:30:00-04:00,97467.45
9,2024-09-10T09:30:00-04:00,96972.72
10,2024-10-07T14:45:00-04:00,97935.08
11,2024-11-01T12:15:00-04:00,97436.47
12,2025-01-13T15:45:00-05:00,96945.20
13,2025-02-06T09:30:00-05:00,96456.80
14,2025-04-09T12:15:00-04:00,95971.33
15,2025-05-07T10:45:00-04:00,95480.84
16,2025-06-03T10:45:00-04:00,94990.88
17,2025-07-07T09:30:00-04:00,94510.79
18,2025-07-16T10:30:00-04:00,94031.02
19,2025-07-17T13:30:00-04:00,94957.67
20,2025-08-08T09:30:00-04:00,94472.93
21,2025-08-14T10:30:00-04:00,93986.08
22,2025-08-21T12:45:00-04:00,93506.38
23,2025-10-13T12:00:00-04:00,93030.42
24,2025-11-21T13:15:00-05:00,92558.64
25,2025-12-02T09:30:00-05:00,92085.32
26,2025-12-03T09:30:00-05:00,91616.83
27,2026-01-13T10:15:00-05:00,91148.70
28,2026-01-14T10:30:00-05:00,90686.11
29,2026-01-15T14:45:00-05:00,90221.01
30,2026-02-13T11:15:00-05:00,89761.91
31,2026-03-02T09:30:00-05:00,90645.80
32,2026-04-02T10:30:00-04:00,90183.86
33,2026-04-21T12:30:00-04:00,89723.19
