sequence,timestamp,equity
0,start,100000.00
1,2024-04-18T09:30:00-04:00,99481.88
2,2024-04-29T09:30:00-04:00,99175.94
3,2024-05-06T12:30:00-04:00,98978.23
4,2024-05-14T09:30:00-04:00,98467.40
5,2024-05-20T12:30:00-04:00,98363.22
6,2024-06-24T12:30:00-04:00,97901.30
7,2024-07-05T13:30:00-04:00,97853.09
8,2024-07-17T09:30:00-04:00,98822.17
9,2024-07-17T11:30:00-04:00,98608.92
10,2024-07-24T13:30:00-04:00,98384.34
11,2024-07-31T14:30:00-04:00,98019.03
12,2024-08-12T09:30:00-04:00,97536.44
13,2024-08-22T09:30:00-04:00,97031.57
14,2024-08-28T10:30:00-04:00,96536.35
15,2024-09-03T13:30:00-04:00,96305.62
16,2024-09-12T12:30:00-04:00,95805.61
17,2024-09-20T09:30:00-04:00,96240.76
18,2024-11-01T09:30:00-04:00,96887.50
19,2024-11-06T12:30:00-05:00,96665.94
20,2024-11-14T14:30:00-05:00,96285.23
21,2024-11-25T09:30:00-05:00,95798.46
22,2024-11-27T13:30:00-05:00,96224.82
23,2024-12-05T11:30:00-05:00,96071.23
24,2024-12-19T11:30:00-05:00,95575.89
25,2025-01-02T09:30:00-05:00,95085.84
26,2025-01-10T09:30:00-05:00,94601.04
27,2025-01-17T09:30:00-05:00,94111.03
28,2025-02-13T09:30:00-05:00,93631.13
29,2025-02-19T13:30:00-05:00,93146.66
30,2025-02-24T09:30:00-05:00,92762.80
31,2025-03-03T14:30:00-05:00,92292.60
32,2025-03-07T09:30:00-05:00,92637.85
33,2025-03-14T10:30:00-04:00,93552.79
34,2025-03-24T14:30:00-04:00,93349.73
35,2025-04-21T14:30:00-04:00,93060.30
36,2025-04-25T11:30:00-04:00,92581.42
37,2025-05-02T11:30:00-04:00,92319.88
38,2025-05-21T12:30:00-04:00,91848.65
39,2025-05-29T09:30:00-04:00,91371.44
40,2025-06-10T14:30:00-04:00,91188.40
41,2025-06-23T09:30:00-04:00,90714.75
42,2025-06-26T11:30:00-04:00,90513.04
43,2025-07-17T13:30:00-04:00,91403.97
44,2025-07-25T09:30:00-04:00,91173.71
45,2025-07-31T13:30:00-04:00,92016.43
46,2025-08-08T11:30:00-04:00,91855.18
47,2025-08-22T09:30:00-04:00,92762.38
48,2025-08-28T10:30:00-04:00,92305.53
49,2025-09-11T10:30:00-04:00,92142.96
50,2025-09-17T14:30:00-04:00,91667.38
51,2025-10-03T13:30:00-04:00,92221.43
52,2025-10-10T09:30:00-04:00,91901.91
53,2025-10-16T12:30:00-04:00,92804.91
54,2025-10-27T09:30:00-04:00,92708.99
55,2025-11-04T14:30:00-05:00,92489.01
56,2025-11-13T10:30:00-05:00,93399.71
57,2025-11-20T09:30:00-05:00,94325.06
58,2025-12-03T14:30:00-05:00,93841.93
59,2026-01-07T11:30:00-05:00,94773.52
60,2026-01-05T10:30:00-05:00,95704.26
61,2026-01-13T09:30:00-05:00,95444.79
62,2026-02-05T09:30:00-05:00,94952.71
63,2026-02-10T09:30:00-05:00,94755.46
64,2026-02-25T09:30:00-05:00,95694.42
65,2026-02-26T09:30:00-05:00,95914.70
66,2026-03-04T11:30:00-05:00,95695.08
67,2026-03-13T13:30:00-04:00,95428.27
68,2026-03-26T10:30:00-04:00,94999.99
69,2026-04-14T14:30:00-04:00,94762.53
