sequence,timestamp,equity
0,start,100000.00
1,2024-04-01T12:30:00-04:00,100590.15
2,2024-04-01T14:35:00-04:00,100453.96
3,2024-04-02T11:35:00-04:00,100041.82
4,2024-04-03T10:20:00-04:00,99556.01
5,2024-04-03T12:30:00-04:00,99935.09
6,2024-04-03T15:45:00-04:00,99551.10
7,2024-04-04T11:45:00-04:00,99328.19
8,2024-04-04T15:35:00-04:00,98893.75
9,2024-04-05T11:15:00-04:00,99271.00
10,2024-04-08T09:30:00-04:00,99937.70
11,2024-04-08T12:10:00-04:00,99746.37
12,2024-04-08T15:30:00-04:00,99604.10
13,2024-04-09T10:15:00-04:00,99337.99
14,2024-04-09T12:20:00-04:00,99152.45
15,2024-04-09T15:05:00-04:00,98791.02
16,2024-04-10T15:25:00-04:00,99348.60
17,2024-04-10T15:40:00-04:00,99076.13
18,2024-04-11T11:00:00-04:00,98787.42
19,2024-04-11T13:30:00-04:00,98917.29
20,2024-04-11T15:50:00-04:00,98773.84
21,2024-04-12T14:30:00-04:00,98624.89
22,2024-04-15T13:45:00-04:00,98115.58
23,2024-04-16T09:30:00-04:00,98742.09
24,2024-04-16T13:30:00-04:00,98983.69
25,2024-04-17T10:00:00-04:00,98469.86
26,2024-04-17T12:40:00-04:00,98013.14
27,2024-04-17T14:50:00-04:00,98497.60
28,2024-04-18T10:55:00-04:00,98263.34
29,2024-04-19T10:35:00-04:00,97752.43
30,2024-04-19T14:35:00-04:00,97247.85
31,2024-04-22T10:05:00-04:00,98201.38
32,2024-04-22T12:15:00-04:00,97884.12
33,2024-04-22T14:05:00-04:00,97598.48
34,2024-04-23T10:15:00-04:00,97094.39
35,2024-04-23T13:50:00-04:00,97820.54
36,2024-04-24T09:30:00-04:00,97477.35
37,2024-04-24T11:50:00-04:00,97146.86
38,2024-04-24T13:30:00-04:00,96936.61
39,2024-04-25T09:50:00-04:00,97898.10
40,2024-04-25T13:45:00-04:00,97636.81
41,2024-04-25T15:35:00-04:00,98117.79
42,2024-04-26T12:55:00-04:00,97946.54
43,2024-04-29T10:20:00-04:00,98914.25
44,2024-04-29T13:45:00-04:00,99170.96
45,2024-04-30T09:30:00-04:00,98663.01
46,2024-04-30T11:40:00-04:00,98232.29
47,2024-04-30T14:55:00-04:00,98564.86
48,2024-05-01T13:35:00-04:00,99531.19
49,2024-05-01T14:25:00-04:00,99020.49
50,2024-05-02T13:20:00-04:00,98920.45
51,2024-05-03T09:55:00-04:00,98726.28
52,2024-05-03T12:50:00-04:00,98947.02
53,2024-05-03T15:00:00-04:00,99362.22
54,2024-05-06T11:20:00-04:00,98847.70
55,2024-05-06T13:20:00-04:00,99088.33
56,2024-05-06T14:50:00-04:00,98900.18
57,2024-05-07T12:15:00-04:00,98736.30
58,2024-05-08T09:35:00-04:00,99431.60
59,2024-05-08T13:30:00-04:00,99876.39
60,2024-05-09T09:40:00-04:00,100859.51
61,2024-05-09T11:45:00-04:00,101416.29
62,2024-05-09T15:45:00-04:00,101187.90
63,2024-05-10T12:55:00-04:00,101744.29
64,2024-05-10T14:30:00-04:00,101927.37
65,2024-05-13T12:30:00-04:00,101406.63
66,2024-05-13T11:40:00-04:00,101218.40
67,2024-05-15T11:35:00-04:00,100889.71
68,2024-05-15T14:15:00-04:00,100813.01
69,2024-05-16T09:30:00-04:00,100653.42
70,2024-05-16T13:20:00-04:00,100394.03
71,2024-05-17T10:05:00-04:00,99921.14
72,2024-05-17T13:55:00-04:00,99691.55
73,2024-05-20T10:00:00-04:00,99562.97
74,2024-05-20T12:50:00-04:00,99374.13
75,2024-05-20T15:40:00-04:00,99610.37
76,2024-05-21T11:50:00-04:00,99852.96
77,2024-05-21T14:50:00-04:00,99712.12
78,2024-05-22T12:50:00-04:00,99975.47
79,2024-05-22T15:45:00-04:00,99700.59
80,2024-05-23T12:30:00-04:00,99182.92
81,2024-05-23T14:05:00-04:00,100159.86
82,2024-05-23T15:50:00-04:00,101147.26
83,2024-05-24T11:15:00-04:00,101329.37
84,2024-05-24T13:40:00-04:00,101077.41
85,2024-05-28T09:55:00-04:00,100559.40
86,2024-05-28T13:00:00-04:00,100363.72
87,2024-05-28T15:25:00-04:00,101348.33
88,2024-05-29T10:50:00-04:00,100953.01
89,2024-05-29T14:20:00-04:00,101142.84
