sequence,timestamp,equity
0,start,100000.00
1,2024-04-02T09:30:00-04:00,99861.14
2,2024-04-01T14:50:00-04:00,99821.08
3,2024-04-02T10:10:00-04:00,99699.84
4,2024-04-02T14:40:00-04:00,99633.69
5,2024-04-03T10:15:00-04:00,99468.96
6,2024-04-03T12:35:00-04:00,99374.49
7,2024-04-03T14:50:00-04:00,99306.86
8,2024-04-04T11:50:00-04:00,99268.96
9,2024-04-04T14:25:00-04:00,99094.37
10,2024-04-05T11:55:00-04:00,98999.10
11,2024-04-08T09:30:00-04:00,98952.60
12,2024-04-08T14:15:00-04:00,98853.68
13,2024-04-09T10:25:00-04:00,98402.83
14,2024-04-09T15:20:00-04:00,98514.71
15,2024-04-10T13:20:00-04:00,98740.91
16,2024-04-11T09:30:00-04:00,98567.55
17,2024-04-11T12:20:00-04:00,98476.07
18,2024-04-11T14:45:00-04:00,98513.27
19,2024-04-12T10:30:00-04:00,98349.92
20,2024-04-12T15:15:00-04:00,98241.50
21,2024-04-15T13:05:00-04:00,98322.05
22,2024-04-15T15:15:00-04:00,98200.13
23,2024-04-16T10:25:00-04:00,98421.81
24,2024-04-16T14:05:00-04:00,98183.49
25,2024-04-17T11:30:00-04:00,98844.75
26,2024-04-17T09:45:00-04:00,98715.48
27,2024-04-17T13:30:00-04:00,99066.82
28,2024-04-17T15:05:00-04:00,99460.66
29,2024-04-18T11:20:00-04:00,99351.89
30,2024-04-18T13:10:00-04:00,99255.65
31,2024-04-19T12:05:00-04:00,99786.34
32,2024-04-19T11:30:00-04:00,99700.25
33,2024-04-19T14:35:00-04:00,100157.54
34,2024-04-22T09:30:00-04:00,100412.91
35,2024-04-22T11:25:00-04:00,100526.50
36,2024-04-22T14:15:00-04:00,100411.15
37,2024-04-22T15:50:00-04:00,100272.54
38,2024-04-23T12:15:00-04:00,100032.72
39,2024-04-23T12:55:00-04:00,100068.13
40,2024-04-24T09:55:00-04:00,100221.85
41,2024-04-24T12:10:00-04:00,100118.30
42,2024-04-25T09:30:00-04:00,99961.48
43,2024-04-25T12:50:00-04:00,99899.60
44,2024-04-25T15:30:00-04:00,99939.08
45,2024-04-26T13:25:00-04:00,99872.01
46,2024-04-29T13:45:00-04:00,99821.70
47,2024-04-30T10:40:00-04:00,99876.35
48,2024-05-01T10:00:00-04:00,99772.43
49,2024-05-01T14:00:00-04:00,99983.72
50,2024-05-01T14:25:00-04:00,99782.23
51,2024-05-02T13:10:00-04:00,100052.42
52,2024-05-03T09:30:00-04:00,99894.76
53,2024-05-03T11:15:00-04:00,99976.86
54,2024-05-03T13:40:00-04:00,99898.38
55,2024-05-06T09:30:00-04:00,100050.22
56,2024-05-06T13:50:00-04:00,99996.20
57,2024-05-07T11:30:00-04:00,100051.48
58,2024-05-07T13:30:00-04:00,100017.96
59,2024-05-09T10:05:00-04:00,100241.42
60,2024-05-09T09:30:00-04:00,100184.57
61,2024-05-09T13:20:00-04:00,100269.48
62,2024-05-10T13:10:00-04:00,100339.97
63,2024-05-10T15:05:00-04:00,100317.97
64,2024-05-13T13:05:00-04:00,100199.70
65,2024-05-14T10:05:00-04:00,100443.41
66,2024-05-14T09:30:00-04:00,100340.75
67,2024-05-14T12:30:00-04:00,100295.65
68,2024-05-15T11:25:00-04:00,100239.49
69,2024-05-15T13:10:00-04:00,100181.50
70,2024-05-15T15:50:00-04:00,100129.29
71,2024-05-16T11:10:00-04:00,100155.24
72,2024-05-16T13:45:00-04:00,100069.05
73,2024-05-16T15:50:00-04:00,100105.77
74,2024-05-17T11:45:00-04:00,100062.07
75,2024-05-17T14:20:00-04:00,99993.92
76,2024-05-20T10:15:00-04:00,99914.59
77,2024-05-20T12:10:00-04:00,99859.80
78,2024-05-20T14:00:00-04:00,99805.93
79,2024-05-21T13:10:00-04:00,99745.49
80,2024-05-22T13:30:00-04:00,99777.75
81,2024-05-23T11:50:00-04:00,99728.29
82,2024-05-23T14:15:00-04:00,99579.54
83,2024-05-24T10:00:00-04:00,99466.19
84,2024-05-24T11:35:00-04:00,99543.90
85,2024-05-29T09:40:00-04:00,99444.49
86,2024-05-29T15:50:00-04:00,99330.17
87,2024-05-29T15:50:00-04:00,99221.64
88,2024-05-30T11:05:00-04:00,99135.45
89,2024-05-30T12:45:00-04:00,99085.37
90,2024-05-31T10:20:00-04:00,98811.55
91,2024-05-31T11:15:00-04:00,98721.56
92,2024-05-31T13:50:00-04:00,98654.41
93,2024-05-31T15:40:00-04:00,98538.33
94,2024-06-03T12:10:00-04:00,98373.50
95,2024-06-03T14:40:00-04:00,98232.05
96,2024-06-04T11:30:00-04:00,98139.58
97,2024-06-04T14:00:00-04:00,98004.37
98,2024-06-05T11:00:00-04:00,97942.31
99,2024-06-05T13:50:00-04:00,97880.44
100,2024-06-06T12:10:00-04:00,97831.55
101,2024-06-06T14:50:00-04:00,98006.45
102,2024-06-07T12:55:00-04:00,97893.35
103,2024-06-07T14:25:00-04:00,98027.77
104,2024-06-10T12:15:00-04:00,97927.48
105,2024-06-11T09:30:00-04:00,98076.14
106,2024-06-11T13:10:00-04:00,97986.78
107,2024-06-12T09:55:00-04:00,97869.62
108,2024-06-12T12:25:00-04:00,97788.75
109,2024-06-17T12:10:00-04:00,97422.88
110,2024-06-13T12:15:00-04:00,97284.53
111,2024-06-13T14:20:00-04:00,97232.76
112,2024-06-17T11:00:00-04:00,96776.44
113,2024-06-14T13:00:00-04:00,96689.17
114,2024-06-17T12:45:00-04:00,96639.68
115,2024-06-18T14:00:00-04:00,96732.82
116,2024-06-18T15:50:00-04:00,96667.57
117,2024-06-20T15:00:00-04:00,96789.42
