grain,strategy_id,timeframe,symbol,cost_tier,account_count,initial_capital,final_equity,net_profit,return_percent,trade_count,win_rate,profit_factor,max_drawdown,max_drawdown_percent,max_consecutive_losses,average_win,average_loss,average_holding_bars,best_symbol,worst_symbol,best_timeframe,worst_timeframe,quality_flag,status
strategy_timeframe_symbol,M10-PA-003,15m,NVDA,baseline,1,100000.00,101901.00,1901.00,1.9010,264,0.3447,1.0210,11418.04,11.4180,11,1016.11,-523.50,217.9280,NVDA,NVDA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,15m,NVDA,stress_high,1,100000.00,92680.86,-7319.14,-7.3191,264,0.3447,0.9212,13697.40,13.6974,11,939.73,-536.62,217.9280,NVDA,NVDA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,15m,NVDA,stress_low,1,100000.00,99513.77,-486.23,-0.4862,264,0.3447,0.9947,11773.62,11.7736,11,996.49,-526.98,217.9280,NVDA,NVDA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,15m,QQQ,baseline,1,100000.00,93450.82,-6549.18,-6.5492,284,0.3275,0.9202,17910.61,17.9106,13,812.24,-429.78,220.2357,QQQ,QQQ,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,15m,QQQ,stress_high,1,100000.00,78527.60,-21472.40,-21.4724,284,0.3275,0.7502,27807.37,27.8074,13,693.40,-450.04,220.2357,QQQ,QQQ,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,15m,QQQ,stress_low,1,100000.00,89474.19,-10525.81,-10.5258,284,0.3275,0.8734,20598.80,20.5988,13,781.01,-435.39,220.2357,QQQ,QQQ,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,15m,SPY,baseline,1,100000.00,93617.90,-6382.10,-6.3821,291,0.3505,0.9192,23230.65,23.2307,11,712.01,-418.03,229.2612,SPY,SPY,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,15m,SPY,stress_high,1,100000.00,76775.15,-23224.85,-23.2249,291,0.3471,0.7213,33616.27,33.6163,11,595.11,-438.59,229.2612,SPY,SPY,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,15m,SPY,stress_low,1,100000.00,89090.26,-10909.74,-10.9097,291,0.3505,0.8640,26072.73,26.0727,11,679.60,-424.49,229.2612,SPY,SPY,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,15m,TSLA,baseline,1,100000.00,104796.37,4796.37,4.7964,279,0.3548,1.0520,11761.37,11.7614,10,980.28,-512.51,262.9508,TSLA,TSLA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,15m,TSLA,stress_high,1,100000.00,96579.45,-3420.55,-3.4206,279,0.3548,0.9636,13779.46,13.7795,10,915.37,-522.45,262.9508,TSLA,TSLA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,15m,TSLA,stress_low,1,100000.00,102679.16,2679.16,2.6792,279,0.3548,1.0289,12294.11,12.2941,10,963.65,-515.12,262.9508,TSLA,TSLA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,1h,NVDA,baseline,1,100000.00,103705.33,3705.33,3.7053,62,0.3871,1.1887,4617.82,4.6178,8,972.60,-516.76,195.2903,NVDA,NVDA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,1h,NVDA,stress_high,1,100000.00,102614.07,2614.07,2.6141,62,0.3871,1.1295,4915.02,4.9150,8,950.28,-531.39,195.2903,NVDA,NVDA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,1h,NVDA,stress_low,1,100000.00,103431.46,3431.46,3.4315,62,0.3871,1.1735,4692.28,4.6923,8,967.00,-520.43,195.2903,NVDA,NVDA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,1h,QQQ,baseline,1,100000.00,92568.33,-7431.67,-7.4317,72,0.2778,0.7090,9587.00,9.5870,9,905.23,-491.08,172.4306,QQQ,QQQ,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,1h,QQQ,stress_high,1,100000.00,90462.52,-9537.48,-9.5375,72,0.2778,0.6447,11587.69,11.5877,9,865.20,-516.18,172.4306,QQQ,QQQ,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,1h,QQQ,stress_low,1,100000.00,92037.41,-7962.59,-7.9626,72,0.2778,0.6922,10091.30,10.0913,9,895.15,-497.42,172.4306,QQQ,QQQ,1h,1h,normal_density_review,completed_capital_test
