sequence,timestamp,equity
0,start,100000.00
1,2010-09-03T16:00:00-04:00,99497.39
2,2010-10-18T16:00:00-04:00,100490.66
3,2010-12-07T16:00:00-05:00,101494.20
4,2011-01-11T16:00:00-05:00,102506.82
5,2011-02-07T16:00:00-05:00,103529.23
6,2011-02-08T16:00:00-05:00,104561.76
7,2011-02-16T16:00:00-05:00,105603.58
8,2011-03-16T16:00:00-04:00,105072.34
9,2011-03-16T16:00:00-04:00,104544.19
10,2011-04-21T16:00:00-04:00,104019.69
11,2011-06-16T16:00:00-04:00,103497.86
12,2011-06-08T16:00:00-04:00,102978.46
13,2011-06-08T16:00:00-04:00,102461.80
14,2011-07-07T16:00:00-04:00,101946.83
15,2012-01-19T16:00:00-05:00,101435.94
16,2011-08-30T16:00:00-04:00,100927.35
17,2011-10-03T16:00:00-04:00,100421.45
18,2011-09-30T16:00:00-04:00,99917.42
19,2011-10-14T16:00:00-04:00,99416.51
20,2011-10-14T16:00:00-04:00,98918.40
21,2011-11-23T16:00:00-05:00,98422.36
22,2011-11-21T16:00:00-05:00,97928.60
23,2011-11-17T16:00:00-05:00,97436.89
24,2012-01-18T16:00:00-05:00,96947.92
25,2012-01-18T16:00:00-05:00,96461.90
26,2012-03-26T16:00:00-04:00,97423.35
27,2012-03-27T16:00:00-04:00,98393.90
28,2012-04-10T16:00:00-04:00,97898.37
29,2012-05-16T16:00:00-04:00,98873.91
30,2012-05-17T16:00:00-04:00,99859.49
31,2012-06-04T16:00:00-04:00,100855.84
32,2013-05-03T16:00:00-04:00,101862.63
33,2012-06-28T16:00:00-04:00,101343.11
34,2012-09-14T16:00:00-04:00,102354.14
35,2012-07-30T16:00:00-04:00,101838.85
36,2012-11-14T16:00:00-05:00,101328.11
37,2012-10-09T16:00:00-04:00,100818.96
38,2012-11-07T16:00:00-05:00,101823.65
39,2012-11-16T16:00:00-05:00,102839.57
40,2012-11-14T16:00:00-05:00,103865.13
41,2013-04-10T16:00:00-04:00,103344.12
42,2013-03-05T16:00:00-05:00,102824.72
43,2012-12-03T16:00:00-05:00,102308.39
44,2012-12-03T16:00:00-05:00,101794.59
45,2013-05-17T16:00:00-04:00,102810.52
46,2013-02-26T16:00:00-05:00,102288.32
47,2013-02-21T16:00:00-05:00,101772.47
48,2013-02-21T16:00:00-05:00,101259.75
49,2013-03-05T16:00:00-05:00,100748.64
50,2013-03-05T16:00:00-05:00,100241.21
51,2013-04-05T16:00:00-04:00,99734.25
52,2013-05-16T16:00:00-04:00,100728.59
53,2013-09-16T16:00:00-04:00,101733.92
54,2013-07-11T16:00:00-04:00,101222.58
55,2013-06-21T16:00:00-04:00,102229.69
56,2013-07-11T16:00:00-04:00,101715.58
57,2013-12-23T16:00:00-05:00,102730.39
58,2013-12-09T16:00:00-05:00,103755.20
59,2013-10-08T16:00:00-04:00,103229.34
60,2013-10-14T16:00:00-04:00,102709.76
61,2013-12-09T16:00:00-05:00,103734.33
62,2014-01-22T16:00:00-05:00,104768.03
63,2014-02-14T16:00:00-05:00,105812.43
64,2014-01-22T16:00:00-05:00,106866.44
65,2014-02-05T16:00:00-05:00,106329.39
66,2014-02-05T16:00:00-05:00,105795.18
67,2014-02-12T16:00:00-05:00,105263.62
68,2014-04-15T16:00:00-04:00,104735.15
69,2014-04-07T16:00:00-04:00,105778.20
70,2014-04-11T16:00:00-04:00,106832.12
71,2014-05-27T16:00:00-04:00,106295.36
72,2014-05-27T16:00:00-04:00,105761.38
73,2014-07-01T16:00:00-04:00,106815.98
74,2014-06-18T16:00:00-04:00,107880.27
75,2014-07-14T16:00:00-04:00,108956.15
76,2014-07-23T16:00:00-04:00,110039.90
77,2014-10-13T16:00:00-04:00,109485.97
78,2014-10-13T16:00:00-04:00,108935.39
79,2014-10-13T16:00:00-04:00,108387.95
80,2014-08-15T16:00:00-04:00,107842.02
81,2014-10-13T16:00:00-04:00,107299.92
82,2014-09-25T16:00:00-04:00,106759.00
83,2014-10-15T16:00:00-04:00,107823.62
84,2014-10-28T16:00:00-04:00,107282.42
85,2014-10-27T16:00:00-04:00,106744.79
86,2015-04-24T16:00:00-04:00,107809.38
87,2015-02-19T16:00:00-05:00,108883.43
88,2015-02-12T16:00:00-05:00,108336.74
89,2015-02-12T16:00:00-05:00,107793.11
90,2015-02-11T16:00:00-05:00,107251.18
91,2015-07-20T16:00:00-04:00,108321.24
92,2015-08-24T16:00:00-04:00,107777.69
93,2015-08-24T16:00:00-04:00,107237.10
94,2015-04-23T16:00:00-04:00,106698.30
95,2015-04-23T16:00:00-04:00,106161.94
96,2015-04-23T16:00:00-04:00,105627.85
97,2015-04-23T16:00:00-04:00,105096.82
98,2015-07-17T16:00:00-04:00,106143.97
99,2015-07-20T16:00:00-04:00,107201.18
100,2015-07-20T16:00:00-04:00,108268.83
101,2015-08-21T16:00:00-04:00,107724.98
102,2015-05-06T16:00:00-04:00,107181.31
103,2015-07-16T16:00:00-04:00,106642.80
104,2015-07-07T16:00:00-04:00,106106.83
105,2015-06-24T16:00:00-04:00,105572.61
106,2015-06-18T16:00:00-04:00,105040.48
107,2015-08-24T16:00:00-04:00,106088.05
108,2015-08-24T16:00:00-04:00,107147.42
109,2015-10-23T16:00:00-04:00,106611.05
110,2015-09-28T16:00:00-04:00,106076.12
111,2015-09-28T16:00:00-04:00,105544.00
112,2015-10-19T16:00:00-04:00,105014.98
113,2016-01-15T16:00:00-05:00,104488.44
114,2016-01-15T16:00:00-05:00,103964.54
115,2016-01-08T16:00:00-05:00,103442.19
116,2016-01-07T16:00:00-05:00,102923.41
117,2016-01-06T16:00:00-05:00,102407.14
118,2016-01-06T16:00:00-05:00,101893.66
119,2016-01-14T16:00:00-05:00,102910.33
120,2016-02-08T16:00:00-05:00,103936.63
121,2016-03-04T16:00:00-05:00,103414.27
122,2016-09-22T16:00:00-04:00,104446.69
123,2016-08-01T16:00:00-04:00,105489.20
124,2016-06-27T16:00:00-04:00,104958.83
125,2016-06-27T16:00:00-04:00,104431.18
126,2016-06-27T16:00:00-04:00,103906.63
127,2016-04-29T16:00:00-04:00,103383.93
128,2016-04-29T16:00:00-04:00,102863.68
129,2016-04-28T16:00:00-04:00,102346.42
130,2016-04-28T16:00:00-04:00,101831.53
131,2016-04-27T16:00:00-04:00,101316.78
132,2016-04-27T16:00:00-04:00,100806.95
133,2016-07-08T16:00:00-04:00,100301.06
134,2016-07-08T16:00:00-04:00,99797.65
135,2017-01-13T16:00:00-05:00,100793.53
136,2017-02-10T16:00:00-05:00,101799.72
137,2016-08-26T16:00:00-04:00,101280.64
138,2016-09-09T16:00:00-04:00,100767.11
139,2016-11-04T16:00:00-04:00,100261.06
140,2016-10-11T16:00:00-04:00,99753.68
141,2016-10-24T16:00:00-04:00,99245.80
142,2017-02-08T16:00:00-05:00,100235.48
143,2017-02-15T16:00:00-05:00,101235.32
144,2016-12-30T16:00:00-05:00,100724.47
145,2017-03-01T16:00:00-05:00,101727.84
146,2017-04-25T16:00:00-04:00,102738.20
147,2017-03-27T16:00:00-04:00,102216.39
148,2017-04-24T16:00:00-04:00,101700.27
149,2017-06-02T16:00:00-04:00,102713.91
150,2017-12-15T16:00:00-05:00,103738.41
151,2017-08-31T16:00:00-04:00,103216.21
152,2017-12-18T16:00:00-05:00,104245.82
153,2017-11-06T16:00:00-05:00,105284.59
154,2017-11-28T16:00:00-05:00,106334.36
155,2017-11-22T16:00:00-05:00,107394.42
156,2018-01-12T16:00:00-05:00,108465.40
157,2018-01-23T16:00:00-05:00,109547.68
158,2017-12-18T16:00:00-05:00,110636.43
159,2018-01-12T16:00:00-05:00,111738.46
160,2018-01-16T16:00:00-05:00,112851.78
161,2018-01-16T16:00:00-05:00,113976.41
162,2018-01-26T16:00:00-05:00,115113.18
163,2018-12-21T16:00:00-05:00,114536.71
164,2018-03-23T16:00:00-04:00,113960.47
165,2018-06-01T16:00:00-04:00,113389.44
166,2018-04-17T16:00:00-04:00,112820.13
167,2018-12-19T16:00:00-05:00,112254.53
168,2018-08-28T16:00:00-04:00,113374.97
169,2018-12-17T16:00:00-05:00,112806.56
170,2018-11-20T16:00:00-05:00,112240.70
171,2018-06-13T16:00:00-04:00,113357.96
172,2018-06-13T16:00:00-04:00,114485.49
173,2018-08-29T16:00:00-04:00,115627.07
174,2018-10-24T16:00:00-04:00,115046.41
175,2018-10-24T16:00:00-04:00,114468.76
176,2018-07-30T16:00:00-04:00,113891.94
177,2018-10-08T16:00:00-04:00,113318.60
178,2018-10-08T16:00:00-04:00,112748.93
179,2018-10-29T16:00:00-04:00,113874.05
180,2018-12-20T16:00:00-05:00,115011.09
181,2019-03-04T16:00:00-05:00,114434.21
182,2018-12-17T16:00:00-05:00,113860.86
183,2019-02-25T16:00:00-05:00,113290.26
184,2019-02-13T16:00:00-05:00,112722.77
185,2019-04-23T16:00:00-04:00,113848.49
186,2019-04-23T16:00:00-04:00,114985.35
187,2019-03-21T16:00:00-04:00,116132.35
188,2019-04-23T16:00:00-04:00,117291.47
189,2019-04-15T16:00:00-04:00,118461.13
190,2019-03-08T16:00:00-05:00,117865.14
191,2019-04-25T16:00:00-04:00,119040.80
192,2019-06-03T16:00:00-04:00,118442.95
193,2019-05-29T16:00:00-04:00,117846.96
194,2019-05-29T16:00:00-04:00,117255.39
195,2019-05-13T16:00:00-04:00,116666.16
196,2019-05-10T16:00:00-04:00,116079.22
197,2019-05-06T16:00:00-04:00,117060.97
198,2019-07-01T16:00:00-04:00,116473.16
199,2019-06-18T16:00:00-04:00,115887.65
200,2020-01-08T16:00:00-05:00,117045.01
201,2019-10-25T16:00:00-04:00,116457.75
202,2019-10-03T16:00:00-04:00,115873.28
203,2019-09-24T16:00:00-04:00,115288.64
204,2019-10-17T16:00:00-04:00,114709.47
205,2020-01-02T16:00:00-05:00,115854.45
206,2020-01-02T16:00:00-05:00,117010.92
