sequence,timestamp,equity
0,start,100000.00
1,2010-09-14T16:00:00-04:00,99498.04
2,2010-11-05T16:00:00-04:00,100491.11
3,2010-11-05T16:00:00-04:00,101493.03
4,2010-12-07T16:00:00-05:00,102504.51
5,2011-01-03T16:00:00-05:00,103526.76
6,2011-01-03T16:00:00-05:00,104559.29
7,2010-12-13T16:00:00-05:00,105600.92
8,2011-02-01T16:00:00-05:00,106653.90
9,2011-02-08T16:00:00-05:00,107717.65
10,2011-01-27T16:00:00-05:00,108789.50
11,2011-02-14T16:00:00-05:00,109872.36
12,2011-02-16T16:00:00-05:00,110966.09
13,2011-03-16T16:00:00-04:00,110406.99
14,2011-03-15T16:00:00-04:00,109851.31
15,2011-04-01T16:00:00-04:00,109299.46
16,2011-08-03T16:00:00-04:00,108750.74
17,2011-06-10T16:00:00-04:00,108204.59
18,2011-06-06T16:00:00-04:00,107660.98
19,2011-08-03T16:00:00-04:00,108734.51
20,2011-08-02T16:00:00-04:00,108188.02
21,2011-08-02T16:00:00-04:00,107644.71
22,2011-08-30T16:00:00-04:00,107104.63
23,2011-10-12T16:00:00-04:00,106567.84
24,2011-10-12T16:00:00-04:00,106032.42
25,2011-10-12T16:00:00-04:00,105500.95
26,2012-08-21T16:00:00-04:00,106554.42
27,2011-11-23T16:00:00-05:00,106019.86
28,2011-11-21T16:00:00-05:00,105487.36
29,2012-01-03T16:00:00-05:00,104957.53
30,2012-01-03T16:00:00-05:00,104430.22
31,2012-02-21T16:00:00-05:00,105472.09
32,2012-03-13T16:00:00-04:00,106522.87
33,2012-03-27T16:00:00-04:00,107584.35
34,2012-05-17T16:00:00-04:00,107043.08
35,2012-05-15T16:00:00-04:00,106503.18
36,2012-05-15T16:00:00-04:00,105966.00
37,2012-05-14T16:00:00-04:00,105431.65
38,2012-04-27T16:00:00-04:00,104897.18
39,2012-04-26T16:00:00-04:00,104367.75
40,2012-05-08T16:00:00-04:00,103842.80
41,2012-06-18T16:00:00-04:00,103320.92
42,2012-09-13T16:00:00-04:00,104351.82
43,2012-09-14T16:00:00-04:00,105392.70
44,2012-09-13T16:00:00-04:00,106443.21
45,2013-01-23T16:00:00-05:00,107504.85
46,2012-11-07T16:00:00-05:00,106963.56
47,2012-11-07T16:00:00-05:00,106425.15
48,2012-11-15T16:00:00-05:00,107485.88
49,2012-10-22T16:00:00-04:00,106943.67
50,2013-01-04T16:00:00-05:00,106405.59
51,2012-12-11T16:00:00-05:00,105869.81
52,2012-12-11T16:00:00-05:00,105338.02
53,2012-12-11T16:00:00-05:00,104808.63
54,2012-12-11T16:00:00-05:00,104282.70
55,2013-01-22T16:00:00-05:00,105320.80
56,2013-05-07T16:00:00-04:00,106371.84
57,2013-03-05T16:00:00-05:00,107430.19
58,2013-02-25T16:00:00-05:00,106886.20
59,2013-02-25T16:00:00-05:00,106346.21
60,2013-02-25T16:00:00-05:00,105810.14
61,2013-04-18T16:00:00-04:00,105276.25
62,2013-04-18T16:00:00-04:00,104746.54
63,2013-10-28T16:00:00-04:00,105791.60
64,2013-07-18T16:00:00-04:00,105260.42
65,2013-06-24T16:00:00-04:00,106308.28
66,2013-07-11T16:00:00-04:00,105773.20
67,2013-12-26T16:00:00-05:00,106828.94
68,2013-09-16T16:00:00-04:00,106291.13
69,2013-10-18T16:00:00-04:00,105756.57
70,2013-10-14T16:00:00-04:00,105222.29
71,2013-10-14T16:00:00-04:00,104692.44
72,2013-12-23T16:00:00-05:00,105736.27
73,2013-11-29T16:00:00-05:00,106784.94
74,2014-02-03T16:00:00-05:00,106246.03
75,2014-02-03T16:00:00-05:00,105710.88
76,2014-02-03T16:00:00-05:00,105179.33
77,2013-12-20T16:00:00-05:00,104647.60
78,2014-01-27T16:00:00-05:00,104120.76
79,2014-01-27T16:00:00-05:00,103597.03
80,2014-01-27T16:00:00-05:00,103076.24
81,2014-02-19T16:00:00-05:00,102557.67
82,2014-02-19T16:00:00-05:00,102042.14
83,2014-08-21T16:00:00-04:00,103059.87
84,2014-04-02T16:00:00-04:00,102537.29
85,2014-04-02T16:00:00-04:00,102020.09
86,2014-04-02T16:00:00-04:00,101505.12
87,2014-04-08T16:00:00-04:00,100994.01
88,2014-08-25T16:00:00-04:00,102000.06
89,2014-07-01T16:00:00-04:00,103014.84
90,2014-06-18T16:00:00-04:00,104038.90
91,2014-07-31T16:00:00-04:00,103511.51
92,2014-07-31T16:00:00-04:00,102988.02
93,2014-07-31T16:00:00-04:00,102467.70
94,2014-08-20T16:00:00-04:00,101952.12
