sequence,timestamp,equity
0,start,100000.00
1,2010-09-16T16:00:00-04:00,100998.49
2,2010-11-04T16:00:00-04:00,102007.37
3,2010-11-10T16:00:00-05:00,103026.50
4,2010-11-04T16:00:00-04:00,104055.35
5,2010-11-10T16:00:00-05:00,105094.99
6,2010-11-01T16:00:00-04:00,104568.37
7,2010-10-26T16:00:00-04:00,104043.52
8,2010-10-26T16:00:00-04:00,103521.38
9,2010-11-01T16:00:00-04:00,104553.34
10,2010-11-10T16:00:00-05:00,105597.59
11,2010-11-23T16:00:00-05:00,106652.86
12,2011-02-08T16:00:00-05:00,106117.59
13,2011-05-31T16:00:00-04:00,107177.80
14,2011-03-31T16:00:00-04:00,106640.89
15,2011-08-22T16:00:00-04:00,106107.21
16,2011-08-05T16:00:00-04:00,105575.68
17,2011-05-25T16:00:00-04:00,105046.78
18,2011-06-20T16:00:00-04:00,104520.90
19,2011-08-04T16:00:00-04:00,103997.35
20,2011-08-04T16:00:00-04:00,103476.57
21,2011-08-22T16:00:00-04:00,104510.44
22,2011-11-03T16:00:00-04:00,103987.13
23,2011-10-28T16:00:00-04:00,103466.57
24,2011-11-03T16:00:00-04:00,104500.16
25,2011-10-06T16:00:00-04:00,103976.42
26,2011-11-03T16:00:00-04:00,105014.49
27,2011-11-03T16:00:00-04:00,106062.58
28,2011-11-03T16:00:00-04:00,107121.41
29,2011-12-21T16:00:00-05:00,106584.73
30,2011-12-21T16:00:00-05:00,106051.10
31,2011-12-14T16:00:00-05:00,105520.20
32,2011-12-14T16:00:00-05:00,104992.01
33,2011-12-14T16:00:00-05:00,104466.52
34,2011-12-08T16:00:00-05:00,103943.11
35,2012-03-09T16:00:00-05:00,103422.78
36,2012-05-17T16:00:00-04:00,102904.91
37,2012-04-10T16:00:00-04:00,102389.47
38,2012-03-26T16:00:00-04:00,101873.83
39,2013-01-28T16:00:00-05:00,101363.86
40,2012-05-10T16:00:00-04:00,100855.66
41,2012-07-16T16:00:00-04:00,100350.64
42,2012-08-01T16:00:00-04:00,99848.28
43,2012-07-24T16:00:00-04:00,99348.26
44,2012-11-28T16:00:00-05:00,98851.08
45,2012-08-27T16:00:00-04:00,98354.50
46,2012-11-05T16:00:00-05:00,97861.55
47,2012-11-01T16:00:00-04:00,97370.10
48,2013-01-28T16:00:00-05:00,98342.87
49,2013-02-06T16:00:00-05:00,99325.44
50,2013-02-08T16:00:00-05:00,100317.65
51,2013-01-11T16:00:00-05:00,99814.37
52,2013-02-21T16:00:00-05:00,99314.42
53,2013-02-21T16:00:00-05:00,98816.82
54,2013-04-01T16:00:00-04:00,98322.07
55,2013-04-01T16:00:00-04:00,99304.31
56,2013-04-01T16:00:00-04:00,98806.92
57,2013-04-23T16:00:00-04:00,99794.01
58,2013-04-30T16:00:00-04:00,100791.12
59,2013-05-07T16:00:00-04:00,101798.26
60,2013-05-09T16:00:00-04:00,102815.55
61,2013-05-14T16:00:00-04:00,103843.15
62,2013-08-08T16:00:00-04:00,104881.15
63,2013-08-26T16:00:00-04:00,105929.52
64,2013-09-20T16:00:00-04:00,106988.37
65,2013-07-15T16:00:00-04:00,108057.48
66,2013-07-29T16:00:00-04:00,109137.22
67,2013-07-15T16:00:00-04:00,110227.48
68,2013-07-30T16:00:00-04:00,111328.76
69,2013-09-20T16:00:00-04:00,112440.99
