sequence,timestamp,equity
0,start,100000.00
1,2024-04-11T12:30:00-04:00,99484.28
2,2024-04-11T12:30:00-04:00,98976.56
3,2024-04-19T09:30:00-04:00,99961.52
4,2024-05-14T14:30:00-04:00,99458.42
5,2024-05-07T09:30:00-04:00,98956.29
6,2024-04-29T09:30:00-04:00,98456.63
7,2024-05-15T10:30:00-04:00,99428.06
8,2024-05-16T09:30:00-04:00,100411.74
9,2024-05-15T13:30:00-04:00,101402.91
10,2024-06-05T12:30:00-04:00,102410.13
11,2024-06-06T09:30:00-04:00,103427.84
12,2024-05-31T09:30:00-04:00,102902.02
13,2024-05-23T14:30:00-04:00,102373.99
14,2024-05-31T11:30:00-04:00,103389.02
15,2024-05-30T14:30:00-04:00,102865.11
16,2024-05-31T11:30:00-04:00,103885.15
17,2024-06-05T10:30:00-04:00,103358.32
18,2024-06-12T09:30:00-04:00,104386.77
19,2024-06-12T09:30:00-04:00,105415.11
20,2024-06-14T13:30:00-04:00,106460.63
21,2024-07-10T12:30:00-04:00,107521.34
22,2024-06-28T09:30:00-04:00,108586.65
23,2024-07-03T10:30:00-04:00,109662.78
24,2024-07-03T10:30:00-04:00,110748.46
25,2024-07-05T09:30:00-04:00,111847.48
26,2024-06-28T09:30:00-04:00,111279.20
27,2024-06-27T09:30:00-04:00,110715.04
28,2024-06-28T09:30:00-04:00,111808.96
29,2024-07-01T09:30:00-04:00,111240.91
30,2024-07-01T09:30:00-04:00,110669.71
31,2024-07-01T09:30:00-04:00,110109.01
32,2024-07-11T10:30:00-04:00,109543.65
33,2024-07-11T10:30:00-04:00,108982.36
34,2024-07-11T10:30:00-04:00,108426.71
35,2024-07-19T12:30:00-04:00,109505.37
36,2024-07-18T10:30:00-04:00,110593.16
37,2024-08-02T09:30:00-04:00,111695.78
38,2024-08-05T09:30:00-04:00,112809.96
39,2024-07-24T14:30:00-04:00,113930.65
40,2024-07-25T09:30:00-04:00,115064.34
41,2024-07-31T09:30:00-04:00,114482.75
42,2024-08-19T14:30:00-04:00,115622.61
43,2024-08-21T10:30:00-04:00,116774.26
44,2024-08-21T10:30:00-04:00,117937.35
45,2024-09-04T09:30:00-04:00,117343.55
46,2024-09-04T09:30:00-04:00,116752.92
47,2024-09-04T09:30:00-04:00,116165.73
48,2024-08-28T10:30:00-04:00,115573.31
49,2024-08-28T10:30:00-04:00,114985.72
50,2024-08-22T13:30:00-04:00,114402.11
51,2024-08-22T11:30:00-04:00,113818.21
52,2024-09-03T10:30:00-04:00,114947.82
53,2024-09-18T13:30:00-04:00,114368.37
54,2024-09-17T09:30:00-04:00,113792.76
