sequence,timestamp,equity
0,start,100000.00
1,2024-04-16T09:30:00-04:00,99498.74
2,2024-04-16T09:30:00-04:00,99000.24
3,2024-04-15T09:30:00-04:00,98503.17
4,2024-04-19T13:30:00-04:00,99486.52
5,2024-04-24T09:30:00-04:00,98987.35
6,2024-04-24T09:30:00-04:00,98490.92
7,2024-07-01T09:30:00-04:00,99474.95
8,2024-05-06T09:30:00-04:00,98975.31
9,2024-05-21T11:30:00-04:00,98477.75
10,2024-05-15T09:30:00-04:00,97983.02
11,2024-05-14T09:30:00-04:00,97488.55
12,2024-05-14T09:30:00-04:00,96995.46
13,2024-05-14T09:30:00-04:00,96508.03
14,2024-06-11T09:30:00-04:00,96023.50
15,2024-06-11T09:30:00-04:00,95541.53
16,2024-05-30T09:30:00-04:00,95060.12
17,2024-06-13T09:30:00-04:00,94582.67
18,2024-06-13T09:30:00-04:00,94107.28
19,2024-06-12T11:30:00-04:00,93633.96
20,2024-06-06T12:30:00-04:00,93161.65
21,2024-06-28T09:30:00-04:00,94091.66
22,2024-06-28T09:30:00-04:00,95030.21
23,2024-06-26T09:30:00-04:00,94552.58
24,2024-06-26T09:30:00-04:00,94077.73
25,2024-06-26T09:30:00-04:00,95013.25
26,2024-06-26T14:30:00-04:00,95959.81
27,2024-06-26T14:30:00-04:00,96915.58
28,2024-06-26T13:30:00-04:00,97880.65
29,2024-07-01T13:30:00-04:00,98857.50
30,2024-07-02T09:30:00-04:00,99843.41
31,2024-07-03T09:30:00-04:00,100840.40
32,2024-07-03T09:30:00-04:00,101847.30
33,2024-07-03T10:30:00-04:00,102864.39
34,2024-08-05T09:30:00-04:00,102349.43
35,2024-08-05T09:30:00-04:00,101837.04
36,2024-08-02T10:30:00-04:00,101327.21
37,2024-08-02T10:30:00-04:00,100819.95
38,2024-07-12T09:30:00-04:00,100314.73
39,2024-07-11T11:30:00-04:00,99811.08
40,2024-07-11T11:30:00-04:00,99310.32
41,2024-07-11T11:30:00-04:00,98812.48
42,2024-08-05T09:30:00-04:00,99799.82
43,2024-10-28T09:30:00-04:00,99300.11
44,2024-08-02T13:30:00-04:00,100291.79
45,2024-07-24T09:30:00-04:00,99788.60
46,2024-09-23T11:30:00-04:00,99288.96
47,2024-07-31T09:30:00-04:00,98788.91
48,2024-08-09T13:30:00-04:00,98290.70
49,2024-08-20T09:30:00-04:00,99271.57
50,2024-09-24T09:30:00-04:00,100263.07
51,2024-09-24T09:30:00-04:00,101264.38
52,2024-08-21T09:30:00-04:00,100752.06
53,2024-08-22T10:30:00-04:00,100243.54
54,2024-09-05T09:30:00-04:00,99739.41
55,2024-08-26T09:30:00-04:00,99237.12
56,2024-09-04T10:30:00-04:00,98739.09
57,2024-09-03T09:30:00-04:00,98242.80
58,2024-09-03T09:30:00-04:00,97749.61
59,2024-09-03T09:30:00-04:00,97259.21
60,2024-09-05T09:30:00-04:00,98229.58
61,2024-09-18T14:30:00-04:00,97737.21
62,2024-09-19T10:30:00-04:00,98712.13
63,2024-10-11T09:30:00-04:00,98216.78
64,2024-10-10T09:30:00-04:00,97723.89
65,2024-10-02T09:30:00-04:00,97231.99
66,2024-10-01T09:30:00-04:00,96742.49
