sequence,timestamp,equity
0,start,100000.00
1,2024-04-01T15:55:00-04:00,99809.38
2,2024-04-01T15:50:00-04:00,99536.57
3,2024-04-02T09:30:00-04:00,99398.45
4,2024-04-04T09:30:00-04:00,98891.67
5,2024-04-02T12:45:00-04:00,98676.76
6,2024-04-03T10:00:00-04:00,99049.18
7,2024-04-02T12:45:00-04:00,98859.80
8,2024-04-02T15:05:00-04:00,99053.98
9,2024-04-03T10:00:00-04:00,99447.18
10,2024-04-03T10:15:00-04:00,99872.60
11,2024-04-02T14:45:00-04:00,99779.37
12,2024-04-03T10:00:00-04:00,100032.73
13,2024-04-03T10:00:00-04:00,100321.41
14,2024-04-03T10:50:00-04:00,100695.89
15,2024-04-04T09:30:00-04:00,101110.51
16,2024-04-03T15:10:00-04:00,101389.66
17,2024-04-03T15:15:00-04:00,101767.24
18,2024-04-03T14:15:00-04:00,101676.53
19,2024-04-04T14:15:00-04:00,101154.40
20,2024-04-04T11:40:00-04:00,101052.87
21,2024-04-04T13:25:00-04:00,100949.68
22,2024-04-04T13:40:00-04:00,101060.69
23,2024-04-09T09:30:00-04:00,100545.87
24,2024-04-10T09:45:00-04:00,100028.34
25,2024-04-09T10:40:00-04:00,99599.17
26,2024-04-09T10:35:00-04:00,99175.39
27,2024-04-09T10:35:00-04:00,98780.42
28,2024-04-09T10:30:00-04:00,98298.08
29,2024-04-09T10:30:00-04:00,97789.62
30,2024-04-05T13:10:00-04:00,97568.61
31,2024-04-05T13:05:00-04:00,97314.73
32,2024-04-09T09:30:00-04:00,96989.50
33,2024-04-09T09:30:00-04:00,96685.97
34,2024-04-08T12:20:00-04:00,96379.13
35,2024-04-09T09:30:00-04:00,96154.30
36,2024-04-08T15:40:00-04:00,95959.29
37,2024-04-09T09:30:00-04:00,95723.55
38,2024-04-12T12:30:00-04:00,96664.09
39,2024-04-10T09:30:00-04:00,96359.70
40,2024-04-10T09:30:00-04:00,96018.27
41,2024-04-09T15:05:00-04:00,95646.74
42,2024-04-09T15:25:00-04:00,95448.02
43,2024-04-09T15:25:00-04:00,95242.31
44,2024-04-10T09:30:00-04:00,94917.71
45,2024-04-10T09:30:00-04:00,94425.53
46,2024-04-10T09:30:00-04:00,93954.79
47,2024-04-11T14:35:00-04:00,93476.75
48,2024-04-11T09:30:00-04:00,93070.02
49,2024-04-10T13:20:00-04:00,92637.06
50,2024-04-11T10:15:00-04:00,92156.76
51,2024-04-11T09:30:00-04:00,91677.62
52,2024-04-11T10:15:00-04:00,91262.99
53,2024-04-11T13:00:00-04:00,90788.89
54,2024-04-12T09:30:00-04:00,90373.89
55,2024-04-11T15:50:00-04:00,90240.94
56,2024-04-15T15:05:00-04:00,91134.13
57,2024-04-12T13:20:00-04:00,91825.45
58,2024-04-12T15:15:00-04:00,92604.59
59,2024-04-15T13:25:00-04:00,93513.95
60,2024-04-12T12:15:00-04:00,93176.21
61,2024-04-15T09:30:00-04:00,92760.69
62,2024-04-15T09:30:00-04:00,92405.18
63,2024-04-15T09:30:00-04:00,92983.70
64,2024-04-15T13:15:00-04:00,92509.82
65,2024-04-15T15:05:00-04:00,93421.80
66,2024-04-15T15:15:00-04:00,94342.56
67,2024-04-19T10:20:00-04:00,95272.75
68,2024-04-16T14:10:00-04:00,94779.32
69,2024-04-16T11:50:00-04:00,94362.88
70,2024-04-16T11:50:00-04:00,93931.31
71,2024-04-16T13:30:00-04:00,93627.61
72,2024-04-16T13:30:00-04:00,93159.60
73,2024-04-16T13:30:00-04:00,92920.38
74,2024-04-16T13:30:00-04:00,92684.66
75,2024-04-16T15:35:00-04:00,92295.88
76,2024-04-17T10:50:00-04:00,91816.93
77,2024-04-17T12:45:00-04:00,92452.26
78,2024-04-19T10:20:00-04:00,93236.02
79,2024-04-19T10:35:00-04:00,94056.79
80,2024-04-17T14:40:00-04:00,93574.10
81,2024-04-17T14:40:00-04:00,93089.31
82,2024-04-18T09:35:00-04:00,92664.95
83,2024-04-18T11:15:00-04:00,92186.46
84,2024-04-18T10:15:00-04:00,91764.11
85,2024-04-18T13:15:00-04:00,91383.65
86,2024-04-18T13:15:00-04:00,90977.56
87,2024-04-19T11:55:00-04:00,91701.71
88,2024-04-19T12:10:00-04:00,92600.52
89,2024-04-18T14:20:00-04:00,92331.49
90,2024-04-19T09:30:00-04:00,92067.35
91,2024-04-19T12:40:00-04:00,92588.40
92,2024-04-19T14:35:00-04:00,93079.40
93,2024-04-22T13:05:00-04:00,92707.03
94,2024-04-19T14:00:00-04:00,92346.19
95,2024-04-22T12:15:00-04:00,91871.68
96,2024-04-23T09:45:00-04:00,91557.17
97,2024-04-23T09:45:00-04:00,91182.05
98,2024-04-23T09:30:00-04:00,90743.96
99,2024-04-23T09:30:00-04:00,90349.58
100,2024-04-24T12:10:00-04:00,90076.54
101,2024-04-24T10:55:00-04:00,89701.45
102,2024-04-25T09:30:00-04:00,90337.67
103,2024-04-24T15:25:00-04:00,90032.14
104,2024-04-24T15:25:00-04:00,89712.39
105,2024-04-26T09:30:00-04:00,89258.13
106,2024-04-25T13:35:00-04:00,89734.97
107,2024-04-25T13:45:00-04:00,90247.95
108,2024-04-26T09:30:00-04:00,90904.04
109,2024-04-26T09:30:00-04:00,91495.45
110,2024-04-26T09:30:00-04:00,92257.08
111,2024-04-25T15:15:00-04:00,92613.54
112,2024-04-26T09:35:00-04:00,93318.63
113,2024-04-26T09:50:00-04:00,94150.98
114,2024-04-25T15:15:00-04:00,93763.65
115,2024-04-29T09:30:00-04:00,94076.62
116,2024-04-29T09:30:00-04:00,94362.81
117,2024-04-26T15:40:00-04:00,94158.80
118,2024-04-29T15:00:00-04:00,93837.09
119,2024-04-29T12:30:00-04:00,93632.16
120,2024-04-29T12:15:00-04:00,93438.69
121,2024-04-29T15:00:00-04:00,93716.85
122,2024-04-30T14:50:00-04:00,93422.28
123,2024-05-01T09:30:00-04:00,93980.86
124,2024-05-01T09:55:00-04:00,94707.22
125,2024-05-01T09:30:00-04:00,95175.60
126,2024-05-01T09:30:00-04:00,95696.33
127,2024-04-30T15:55:00-04:00,96031.14
128,2024-05-01T12:00:00-04:00,96685.24
129,2024-05-01T14:40:00-04:00,96189.36
130,2024-05-01T14:00:00-04:00,95902.81
131,2024-05-01T14:35:00-04:00,96296.48
132,2024-05-01T15:00:00-04:00,97211.24
133,2024-05-03T09:30:00-04:00,96718.43
134,2024-05-03T09:30:00-04:00,96221.21
135,2024-05-03T09:30:00-04:00,95730.60
136,2024-05-03T09:30:00-04:00,96216.53
137,2024-05-03T09:30:00-04:00,96662.60
138,2024-05-03T09:30:00-04:00,97068.97
139,2024-05-03T09:30:00-04:00,97564.83
140,2024-05-02T15:35:00-04:00,97333.99
141,2024-05-03T13:55:00-04:00,97463.14
142,2024-05-06T09:30:00-04:00,97668.30
143,2024-05-06T09:30:00-04:00,98002.09
144,2024-05-06T09:30:00-04:00,98330.12
145,2024-05-06T09:35:00-04:00,98736.93
146,2024-05-06T09:30:00-04:00,98583.89
147,2024-05-09T13:00:00-04:00,99551.60
148,2024-05-10T09:30:00-04:00,100530.18
149,2024-05-10T09:30:00-04:00,101519.92
150,2024-05-06T12:20:00-04:00,101389.11
151,2024-05-07T09:30:00-04:00,101754.90
152,2024-05-07T09:30:00-04:00,102153.57
153,2024-05-06T14:25:00-04:00,102311.78
154,2024-05-07T09:30:00-04:00,102595.85
155,2024-05-06T15:45:00-04:00,102475.94
156,2024-05-06T15:45:00-04:00,102340.22
157,2024-05-07T09:30:00-04:00,102653.10
158,2024-05-09T10:35:00-04:00,103141.65
159,2024-05-07T13:55:00-04:00,102967.64
160,2024-05-07T13:55:00-04:00,102748.27
161,2024-05-07T12:50:00-04:00,102625.61
162,2024-05-07T13:20:00-04:00,102496.06
163,2024-05-08T09:30:00-04:00,102354.71
164,2024-05-08T09:30:00-04:00,102191.81
165,2024-05-08T09:30:00-04:00,101970.05
166,2024-05-09T10:00:00-04:00,101617.75
167,2024-05-10T09:30:00-04:00,102202.07
168,2024-05-08T14:00:00-04:00,102070.82
169,2024-05-08T13:50:00-04:00,101915.95
170,2024-05-09T10:05:00-04:00,102167.68
171,2024-05-09T10:50:00-04:00,102494.71
172,2024-05-09T10:00:00-04:00,102318.57
173,2024-05-09T11:00:00-04:00,102647.97
174,2024-05-10T09:30:00-04:00,103124.03
175,2024-05-10T09:30:00-04:00,103611.03
176,2024-05-10T09:30:00-04:00,103889.68
177,2024-05-10T09:30:00-04:00,104185.06
178,2024-05-10T09:30:00-04:00,104444.89
179,2024-05-09T15:40:00-04:00,104371.77
180,2024-05-10T13:55:00-04:00,104222.46
181,2024-05-13T13:05:00-04:00,104012.61
182,2024-05-13T11:30:00-04:00,103779.55
183,2024-05-13T11:30:00-04:00,103574.80
184,2024-05-14T09:30:00-04:00,103429.35
185,2024-05-13T15:25:00-04:00,103321.31
186,2024-05-14T10:35:00-04:00,103061.11
187,2024-05-14T10:35:00-04:00,102774.10
188,2024-05-15T09:30:00-04:00,103252.20
189,2024-05-15T09:30:00-04:00,103517.43
190,2024-05-15T09:30:00-04:00,103814.88
191,2024-05-30T10:40:00-04:00,103279.56
192,2024-05-23T09:30:00-04:00,104294.08
193,2024-05-23T09:30:00-04:00,105318.98
194,2024-05-15T15:55:00-04:00,105917.69
195,2024-05-16T10:10:00-04:00,106597.97
196,2024-05-15T14:10:00-04:00,106825.34
197,2024-05-16T09:30:00-04:00,107054.37
198,2024-05-16T10:10:00-04:00,107304.10
199,2024-05-16T10:20:00-04:00,107605.05
200,2024-05-16T09:35:00-04:00,107807.20
201,2024-05-16T10:20:00-04:00,108058.51
202,2024-05-16T11:00:00-04:00,108420.02
203,2024-05-16T15:55:00-04:00,108157.12
204,2024-05-16T15:55:00-04:00,107875.37
205,2024-05-16T14:10:00-04:00,107599.57
206,2024-05-16T13:25:00-04:00,107344.86
207,2024-05-16T13:20:00-04:00,107089.80
208,2024-05-16T12:00:00-04:00,106941.37
209,2024-05-16T12:00:00-04:00,106760.99
210,2024-05-16T14:10:00-04:00,106983.21
211,2024-05-16T13:20:00-04:00,106845.92
212,2024-05-17T14:20:00-04:00,107292.57
213,2024-05-17T11:35:00-04:00,107087.06
214,2024-05-17T15:20:00-04:00,106885.26
215,2024-05-17T15:20:00-04:00,106673.67
216,2024-05-17T15:15:00-04:00,106517.86
217,2024-05-22T14:00:00-04:00,106225.32
218,2024-05-22T14:00:00-04:00,105754.18
219,2024-05-20T12:20:00-04:00,105585.79
220,2024-05-20T11:45:00-04:00,105475.27
221,2024-05-20T14:05:00-04:00,105684.62
222,2024-05-20T14:05:00-04:00,105926.28
223,2024-05-21T13:35:00-04:00,105815.12
224,2024-05-21T13:35:00-04:00,105698.08
225,2024-05-22T13:40:00-04:00,105533.46
226,2024-05-22T13:40:00-04:00,105344.27
227,2024-05-22T13:40:00-04:00,105136.59
228,2024-05-22T11:50:00-04:00,104970.22
229,2024-05-22T11:50:00-04:00,104857.32
230,2024-05-22T11:50:00-04:00,104737.64
231,2024-05-23T13:40:00-04:00,104337.74
232,2024-05-23T13:35:00-04:00,103918.30
233,2024-05-23T13:35:00-04:00,103378.95
234,2024-05-23T13:20:00-04:00,103020.35
235,2024-05-23T13:20:00-04:00,102591.45
236,2024-05-30T15:35:00-04:00,103591.48
237,2024-05-24T09:30:00-04:00,103186.19
238,2024-05-24T09:30:00-04:00,102794.01
239,2024-05-30T09:30:00-04:00,102263.24
240,2024-05-24T14:05:00-04:00,102080.44
241,2024-05-24T14:05:00-04:00,101886.37
242,2024-05-28T09:30:00-04:00,101708.12
243,2024-05-28T09:30:00-04:00,101493.61
244,2024-05-24T15:55:00-04:00,101340.87
245,2024-05-28T13:50:00-04:00,100988.10
246,2024-05-28T13:50:00-04:00,100654.70
247,2024-05-28T13:50:00-04:00,100484.44
248,2024-05-28T13:50:00-04:00,100278.55
249,2024-05-28T14:30:00-04:00,100547.54
250,2024-05-28T13:50:00-04:00,100740.08
