sequence,timestamp,equity
0,start,100000.00
1,2010-08-06T16:00:00-04:00,99496.21
2,2010-09-21T16:00:00-04:00,100485.75
3,2010-10-07T16:00:00-04:00,99982.04
4,2010-09-28T16:00:00-04:00,99476.72
5,2010-12-01T16:00:00-05:00,100467.29
6,2010-12-07T16:00:00-05:00,101468.66
7,2010-12-15T16:00:00-05:00,100958.73
8,2011-01-06T16:00:00-05:00,101966.37
9,2011-01-06T16:00:00-05:00,102983.01
10,2011-02-02T16:00:00-05:00,104012.13
11,2011-01-13T16:00:00-05:00,105051.20
12,2011-02-02T16:00:00-05:00,106100.62
13,2011-01-12T16:00:00-05:00,107159.27
14,2011-03-02T16:00:00-05:00,106622.63
15,2011-02-09T16:00:00-05:00,106088.18
16,2011-02-08T16:00:00-05:00,105555.38
17,2011-03-11T16:00:00-05:00,106609.77
18,2011-07-12T16:00:00-04:00,107675.02
19,2011-03-24T16:00:00-04:00,107133.58
20,2011-08-05T16:00:00-04:00,108203.80
21,2011-07-22T16:00:00-04:00,107660.88
22,2011-08-12T16:00:00-04:00,107121.92
23,2011-08-12T16:00:00-04:00,106585.50
24,2011-12-06T16:00:00-05:00,106050.38
25,2011-12-05T16:00:00-05:00,105517.10
26,2012-01-27T16:00:00-05:00,104986.78
27,2012-03-05T16:00:00-05:00,104460.02
28,2012-02-16T16:00:00-05:00,103934.26
29,2012-03-28T16:00:00-04:00,103411.46
30,2012-05-08T16:00:00-04:00,104442.99
31,2012-05-11T16:00:00-04:00,103917.98
32,2012-05-10T16:00:00-04:00,103393.40
33,2012-07-05T16:00:00-04:00,102868.14
34,2012-08-10T16:00:00-04:00,103892.03
35,2012-08-28T16:00:00-04:00,103368.91
36,2012-09-06T16:00:00-04:00,102848.79
37,2012-10-16T16:00:00-04:00,102331.21
38,2012-10-16T16:00:00-04:00,101814.10
39,2012-11-05T16:00:00-05:00,101303.64
40,2012-11-23T16:00:00-05:00,100794.34
41,2013-04-03T16:00:00-04:00,100288.56
42,2013-04-05T16:00:00-04:00,99783.70
