sequence,timestamp,equity
0,start,100000.00
1,2024-04-05T10:30:00-04:00,99493.04
2,2024-04-15T09:30:00-04:00,98983.90
3,2024-04-15T09:30:00-04:00,98704.34
4,2024-04-29T09:30:00-04:00,98201.77
5,2024-04-17T11:30:00-04:00,98925.13
6,2024-04-23T10:30:00-04:00,98418.14
7,2024-04-17T13:30:00-04:00,98323.92
8,2024-04-19T13:30:00-04:00,97951.75
9,2024-04-25T09:30:00-04:00,97448.33
10,2024-04-24T10:30:00-04:00,97217.11
11,2024-04-30T12:30:00-04:00,96719.49
12,2024-04-29T14:30:00-04:00,96422.39
13,2024-05-14T14:30:00-04:00,97369.96
14,2024-05-07T13:30:00-04:00,97174.81
15,2024-05-10T09:30:00-04:00,97436.30
16,2024-05-31T09:30:00-04:00,96937.03
17,2024-05-16T10:30:00-04:00,97545.80
18,2024-05-16T10:30:00-04:00,97909.80
19,2024-05-16T12:30:00-04:00,97599.92
20,2024-05-24T10:30:00-04:00,97282.68
21,2024-06-03T09:30:00-04:00,96785.42
22,2024-05-31T13:30:00-04:00,96327.62
23,2024-06-07T10:30:00-04:00,96970.84
24,2024-06-07T10:30:00-04:00,97463.98
25,2024-06-07T09:30:00-04:00,97016.40
26,2024-06-12T13:30:00-04:00,96638.06
27,2024-06-21T09:30:00-04:00,96136.71
28,2024-06-21T09:30:00-04:00,95637.53
29,2024-06-20T09:30:00-04:00,95915.51
30,2024-06-28T11:30:00-04:00,95708.98
31,2024-07-09T09:30:00-04:00,96462.92
32,2024-07-10T09:30:00-04:00,97071.55
33,2024-07-08T09:30:00-04:00,97408.57
34,2024-07-11T10:30:00-04:00,97096.55
35,2024-07-17T09:30:00-04:00,96637.22
36,2024-07-25T09:30:00-04:00,97594.71
37,2024-07-22T09:30:00-04:00,97238.06
38,2024-07-19T14:30:00-04:00,96954.53
39,2024-07-31T09:30:00-04:00,96457.73
40,2024-07-25T09:30:00-04:00,97147.53
41,2024-07-25T11:30:00-04:00,96647.13
42,2024-07-25T10:30:00-04:00,96147.00
43,2024-08-05T09:30:00-04:00,97101.73
44,2024-08-14T09:30:00-04:00,98059.62
45,2024-08-15T09:30:00-04:00,98852.33
46,2024-08-14T11:30:00-04:00,99435.57
