sequence,timestamp,equity
0,start,100000.00
1,2024-04-02T11:15:00-04:00,100983.98
2,2024-04-04T14:00:00-04:00,100468.90
3,2024-04-04T14:00:00-04:00,99956.45
4,2024-04-04T14:30:00-04:00,100946.14
5,2024-04-09T10:00:00-04:00,100434.97
6,2024-04-09T10:00:00-04:00,99926.39
7,2024-04-09T10:00:00-04:00,99420.39
8,2024-04-09T10:15:00-04:00,100408.82
9,2024-04-08T12:15:00-04:00,99894.54
10,2024-04-09T09:30:00-04:00,99378.76
11,2024-04-10T09:30:00-04:00,100362.58
12,2024-04-10T10:30:00-04:00,99851.09
13,2024-04-11T09:30:00-04:00,99340.84
14,2024-04-11T11:45:00-04:00,99000.78
15,2024-04-11T11:45:00-04:00,98550.79
16,2024-04-11T14:00:00-04:00,98460.85
17,2024-04-11T15:30:00-04:00,98244.34
18,2024-04-11T15:30:00-04:00,97894.66
19,2024-04-15T13:30:00-04:00,98867.23
20,2024-04-15T13:30:00-04:00,99849.46
21,2024-04-12T11:30:00-04:00,100721.06
22,2024-04-12T14:15:00-04:00,100208.28
23,2024-04-15T09:30:00-04:00,100930.01
24,2024-04-15T09:30:00-04:00,101890.83
25,2024-04-15T11:00:00-04:00,102896.34
26,2024-04-15T13:30:00-04:00,103918.75
27,2024-04-15T15:15:00-04:00,103383.94
28,2024-04-15T15:15:00-04:00,102950.03
29,2024-04-16T09:45:00-04:00,103910.67
30,2024-04-16T09:45:00-04:00,104931.83
31,2024-04-17T09:30:00-04:00,104395.65
32,2024-04-17T15:15:00-04:00,105433.87
33,2024-04-17T10:45:00-04:00,104892.63
34,2024-04-17T12:00:00-04:00,104354.24
35,2024-04-17T14:30:00-04:00,105377.02
36,2024-04-17T15:15:00-04:00,104837.48
37,2024-04-18T09:30:00-04:00,104293.48
38,2024-04-19T10:15:00-04:00,103767.28
39,2024-04-19T10:15:00-04:00,103243.75
40,2024-04-18T12:15:00-04:00,102711.71
41,2024-04-18T12:15:00-04:00,102182.42
42,2024-04-18T12:15:00-04:00,101655.85
43,2024-04-18T13:15:00-04:00,102659.44
44,2024-04-19T11:45:00-04:00,102138.30
45,2024-04-19T13:30:00-04:00,101616.49
46,2024-04-19T15:30:00-04:00,101101.84
47,2024-04-19T15:30:00-04:00,100585.81
48,2024-04-26T09:45:00-04:00,101588.96
49,2024-04-26T09:45:00-04:00,102602.11
50,2024-04-23T09:30:00-04:00,102069.89
51,2024-04-23T09:30:00-04:00,101546.94
52,2024-04-23T09:30:00-04:00,101026.67
53,2024-04-23T10:15:00-04:00,100757.57
54,2024-04-23T12:45:00-04:00,101644.97
55,2024-04-24T14:30:00-04:00,102655.58
56,2024-04-24T12:45:00-04:00,103662.17
57,2024-04-24T14:15:00-04:00,103137.15
58,2024-04-24T14:15:00-04:00,102614.78
59,2024-04-24T14:45:00-04:00,102084.69
60,2024-04-25T09:30:00-04:00,101564.75
61,2024-04-25T09:30:00-04:00,101047.46
62,2024-04-25T09:30:00-04:00,100529.95
63,2024-04-26T10:15:00-04:00,101532.26
64,2024-04-25T13:00:00-04:00,101014.67
65,2024-04-25T15:15:00-04:00,100537.68
66,2024-04-25T15:15:00-04:00,100022.25
67,2024-04-26T09:30:00-04:00,99510.83
68,2024-04-26T11:00:00-04:00,98998.14
69,2024-04-26T12:30:00-04:00,98489.10
70,2024-04-29T09:30:00-04:00,99463.45
71,2024-04-29T09:30:00-04:00,100447.44
72,2024-05-01T09:30:00-04:00,99939.03
73,2024-05-01T09:30:00-04:00,99434.80
74,2024-04-29T14:00:00-04:00,99948.65
75,2024-04-30T09:30:00-04:00,99432.70
76,2024-05-01T09:30:00-04:00,100420.75
77,2024-05-01T09:30:00-04:00,101418.61
78,2024-05-01T09:30:00-04:00,102426.39
79,2024-04-30T15:30:00-04:00,103115.49
80,2024-05-01T11:00:00-04:00,102592.49
81,2024-05-01T14:30:00-04:00,103610.14
82,2024-05-01T15:45:00-04:00,104637.27
83,2024-05-02T15:00:00-04:00,104095.07
84,2024-05-03T13:00:00-04:00,103566.77
85,2024-05-03T13:00:00-04:00,103040.30
86,2024-05-03T14:00:00-04:00,102687.88
87,2024-05-03T14:00:00-04:00,102174.03
88,2024-05-06T09:30:00-04:00,101792.94
89,2024-05-06T09:30:00-04:00,101413.28
90,2024-05-06T09:30:00-04:00,100886.01
91,2024-05-06T11:15:00-04:00,100445.15
92,2024-05-06T12:45:00-04:00,100196.90
93,2024-05-06T12:45:00-04:00,99949.26
94,2024-05-06T14:30:00-04:00,99690.30
95,2024-05-06T14:30:00-04:00,99403.03
96,2024-05-07T09:30:00-04:00,99930.12
97,2024-05-07T09:30:00-04:00,100460.00
98,2024-05-07T13:30:00-04:00,101454.36
99,2024-05-09T09:30:00-04:00,100940.85
100,2024-05-10T09:45:00-04:00,100431.59
101,2024-05-10T09:30:00-04:00,101423.80
102,2024-05-16T09:45:00-04:00,102434.08
103,2024-05-14T14:00:00-04:00,101915.41
104,2024-05-14T14:00:00-04:00,101400.90
105,2024-05-13T12:30:00-04:00,100887.03
106,2024-05-14T14:30:00-04:00,101886.82
107,2024-05-13T13:00:00-04:00,102687.19
108,2024-05-15T09:30:00-04:00,103703.95
109,2024-05-14T14:00:00-04:00,103178.52
110,2024-05-15T09:30:00-04:00,103007.92
111,2024-05-15T11:45:00-04:00,102861.67
112,2024-05-15T12:00:00-04:00,102713.02
113,2024-05-15T14:00:00-04:00,102349.60
114,2024-05-15T14:00:00-04:00,101987.47
115,2024-05-15T14:00:00-04:00,101626.61
116,2024-05-15T13:15:00-04:00,101954.67
117,2024-05-15T15:30:00-04:00,101665.35
118,2024-05-15T15:30:00-04:00,101441.15
119,2024-05-17T14:00:00-04:00,102446.04
120,2024-05-17T14:00:00-04:00,103460.88
121,2024-05-17T14:00:00-04:00,104485.77
122,2024-05-17T09:30:00-04:00,103942.93
123,2024-05-17T14:00:00-04:00,103412.04
124,2024-05-17T14:00:00-04:00,102883.86
125,2024-05-20T09:30:00-04:00,103899.19
126,2024-05-20T09:30:00-04:00,104924.53
127,2024-05-21T09:30:00-04:00,105954.01
128,2024-05-20T11:30:00-04:00,106777.65
129,2024-05-21T10:30:00-04:00,107641.76
130,2024-05-22T09:30:00-04:00,108706.80
131,2024-05-21T12:45:00-04:00,108984.39
132,2024-05-21T15:30:00-04:00,108643.10
133,2024-05-23T09:30:00-04:00,108091.46
134,2024-05-23T09:30:00-04:00,107542.61
135,2024-05-23T09:30:00-04:00,106996.68
136,2024-05-22T14:15:00-04:00,106449.55
137,2024-05-22T15:30:00-04:00,107371.47
138,2024-05-22T15:30:00-04:00,108301.37
139,2024-05-23T10:15:00-04:00,107921.78
140,2024-05-23T11:30:00-04:00,107372.54
141,2024-05-23T11:30:00-04:00,106826.10
142,2024-05-23T11:30:00-04:00,106274.41
143,2024-05-23T12:30:00-04:00,105722.62
144,2024-05-23T12:30:00-04:00,105174.88
145,2024-05-24T15:45:00-04:00,104642.11
146,2024-05-28T09:30:00-04:00,105682.14
147,2024-05-28T09:30:00-04:00,106732.49
148,2024-05-24T13:30:00-04:00,106417.54
149,2024-05-24T15:15:00-04:00,105927.40
150,2024-05-24T15:15:00-04:00,105439.51
151,2024-05-28T10:45:00-04:00,104900.74
152,2024-05-28T11:45:00-04:00,104358.85
153,2024-05-29T12:45:00-04:00,103829.72
154,2024-05-29T12:45:00-04:00,103303.27
155,2024-05-29T12:45:00-04:00,102779.49
156,2024-05-30T09:30:00-04:00,103799.92
157,2024-05-29T13:45:00-04:00,103294.64
158,2024-05-30T09:30:00-04:00,102757.80
159,2024-05-30T09:30:00-04:00,102223.74
160,2024-05-29T14:45:00-04:00,102627.30
161,2024-05-30T10:30:00-04:00,103634.84
162,2024-05-30T15:15:00-04:00,103099.12
163,2024-05-31T10:15:00-04:00,102579.48
164,2024-05-31T10:15:00-04:00,102062.46
165,2024-05-31T12:00:00-04:00,101543.69
166,2024-05-31T15:45:00-04:00,102549.41
167,2024-06-03T15:45:00-04:00,102099.10
168,2024-06-04T14:45:00-04:00,101580.21
169,2024-06-04T14:45:00-04:00,101065.44
170,2024-06-05T09:30:00-04:00,100544.82
171,2024-06-05T12:00:00-04:00,100387.93
172,2024-06-05T12:00:00-04:00,100231.29
173,2024-06-05T12:45:00-04:00,100125.54
174,2024-06-05T13:45:00-04:00,99831.60
175,2024-06-05T14:15:00-04:00,99424.71
176,2024-06-05T14:15:00-04:00,99019.48
177,2024-06-05T15:45:00-04:00,98554.41
178,2024-06-05T15:45:00-04:00,98091.52
179,2024-06-05T15:45:00-04:00,97704.13
180,2024-06-10T09:30:00-04:00,98679.65
181,2024-06-10T09:30:00-04:00,99664.90
182,2024-06-06T13:00:00-04:00,99161.65
183,2024-06-07T09:30:00-04:00,98657.76
184,2024-06-07T12:45:00-04:00,99633.27
185,2024-06-07T14:00:00-04:00,100612.86
186,2024-06-11T11:30:00-04:00,100100.24
187,2024-06-12T09:30:00-04:00,101092.04
188,2024-06-12T09:30:00-04:00,102093.66
189,2024-06-13T09:30:00-04:00,101572.39
190,2024-06-13T09:30:00-04:00,101053.77
191,2024-06-12T15:45:00-04:00,101650.13
192,2024-06-13T15:30:00-04:00,102044.43
193,2024-06-13T15:45:00-04:00,101525.96
194,2024-06-14T09:45:00-04:00,101008.14
195,2024-06-17T09:30:00-04:00,100493.80
196,2024-06-14T11:30:00-04:00,101482.95
197,2024-06-17T10:15:00-04:00,102487.21
198,2024-06-18T11:30:00-04:00,101966.05
199,2024-06-18T11:30:00-04:00,101439.84
