sequence,timestamp,equity
0,start,100000.00
1,2024-04-09T09:30:00-04:00,99494.54
2,2024-04-09T09:30:00-04:00,98993.01
3,2024-04-11T09:30:00-04:00,99977.74
4,2024-04-15T09:30:00-04:00,99469.22
5,2024-04-15T09:30:00-04:00,98963.30
6,2024-04-15T09:30:00-04:00,98459.94
7,2024-04-17T11:30:00-04:00,99440.11
8,2024-04-17T10:30:00-04:00,98934.68
9,2024-04-17T14:30:00-04:00,98430.36
10,2024-04-19T09:30:00-04:00,97934.50
11,2024-04-19T09:30:00-04:00,97442.17
12,2024-04-30T09:30:00-04:00,96946.23
13,2024-05-01T09:30:00-04:00,97909.28
14,2024-05-03T09:30:00-04:00,98884.99
15,2024-05-03T09:30:00-04:00,99870.42
16,2024-05-03T12:30:00-04:00,99361.22
17,2024-05-15T09:30:00-04:00,100347.99
18,2024-05-16T09:30:00-04:00,100063.23
19,2024-05-22T09:30:00-04:00,99556.00
20,2024-05-23T09:30:00-04:00,99048.61
21,2024-05-30T09:30:00-04:00,98533.83
22,2024-05-31T09:30:00-04:00,99512.13
23,2024-06-03T09:30:00-04:00,100501.69
24,2024-06-04T14:30:00-04:00,99992.76
25,2024-06-17T09:30:00-04:00,99486.71
26,2024-06-18T11:30:00-04:00,98984.02
27,2024-06-24T09:30:00-04:00,99971.96
28,2024-07-10T10:30:00-04:00,100969.22
29,2024-07-08T09:30:00-04:00,100456.88
30,2024-07-08T09:30:00-04:00,99947.78
31,2024-07-09T09:30:00-04:00,99441.78
32,2024-07-10T09:30:00-04:00,98941.31
33,2024-07-11T09:30:00-04:00,98598.17
34,2024-07-11T09:30:00-04:00,98086.96
35,2024-07-25T09:30:00-04:00,99066.34
36,2024-07-12T10:30:00-04:00,100046.41
37,2024-07-18T09:30:00-04:00,101038.91
38,2024-07-18T09:30:00-04:00,102042.24
39,2024-07-23T09:30:00-04:00,101522.27
40,2024-07-23T12:30:00-04:00,102518.51
41,2024-07-30T10:30:00-04:00,102004.56
42,2024-07-30T10:30:00-04:00,101493.38
43,2024-07-31T09:30:00-04:00,102504.38
44,2024-07-31T09:30:00-04:00,103526.11
45,2024-08-22T09:30:00-04:00,103003.29
46,2024-08-22T09:30:00-04:00,102483.10
47,2024-08-22T09:30:00-04:00,101965.65
48,2024-08-26T09:30:00-04:00,101451.30
49,2024-08-28T10:30:00-04:00,100941.94
50,2024-08-28T10:30:00-04:00,100435.13
51,2024-08-29T14:30:00-04:00,101436.55
52,2024-08-29T09:30:00-04:00,100924.92
53,2024-09-03T09:30:00-04:00,100415.68
54,2024-09-03T09:30:00-04:00,99909.01
55,2024-09-11T11:30:00-04:00,99405.26
56,2024-09-18T14:30:00-04:00,98900.20
57,2024-10-07T13:30:00-04:00,99887.03
58,2024-09-19T12:30:00-04:00,99456.30
59,2024-09-19T12:30:00-04:00,99027.43
60,2024-09-19T13:30:00-04:00,99272.83
61,2024-10-02T09:30:00-04:00,100262.69
62,2024-10-01T09:30:00-04:00,99755.25
63,2024-10-01T09:30:00-04:00,99252.30
64,2024-10-02T09:30:00-04:00,98750.31
65,2024-10-02T09:30:00-04:00,98250.86
66,2024-10-07T09:30:00-04:00,99230.15
67,2024-10-07T09:30:00-04:00,98725.31
68,2024-10-08T09:30:00-04:00,98417.53
69,2024-10-08T09:30:00-04:00,98110.71
70,2024-10-08T09:30:00-04:00,97804.85
71,2024-10-10T10:30:00-04:00,97306.28
72,2024-10-10T10:30:00-04:00,96813.89
73,2024-10-11T09:30:00-04:00,96340.57
74,2024-10-11T09:30:00-04:00,95841.45
75,2024-10-14T09:30:00-04:00,95346.76
76,2024-10-15T09:30:00-04:00,96288.43
77,2024-10-17T09:30:00-04:00,97247.11
78,2024-10-21T09:30:00-04:00,96751.31
79,2024-10-21T13:30:00-04:00,96258.14
80,2024-10-31T09:30:00-04:00,95772.88
81,2024-10-31T14:30:00-04:00,95281.61
82,2024-11-07T09:30:00-05:00,96231.75
83,2024-11-06T09:30:00-05:00,95733.76
84,2024-11-15T09:30:00-05:00,96685.57
85,2024-11-21T09:30:00-05:00,97648.81
86,2024-12-17T09:30:00-05:00,98623.60
87,2024-11-26T09:30:00-05:00,99591.73
88,2024-11-26T13:30:00-05:00,99095.10
89,2024-11-27T13:30:00-05:00,100066.91
90,2024-11-29T09:30:00-05:00,101059.84
91,2024-12-03T09:30:00-05:00,100544.87
92,2024-12-04T09:30:00-05:00,100031.77
93,2024-12-05T10:30:00-05:00,99521.65
94,2024-12-05T10:30:00-05:00,99014.13
95,2024-12-05T12:30:00-05:00,99740.45
96,2024-12-06T11:30:00-05:00,100729.06
97,2024-12-06T11:30:00-05:00,101727.47
98,2024-12-10T09:30:00-05:00,102734.01
99,2024-12-10T10:30:00-05:00,102214.52
100,2024-12-13T10:30:00-05:00,101697.69
101,2024-12-13T10:30:00-05:00,101183.48
102,2024-12-16T09:30:00-05:00,100670.75
103,2024-12-24T09:30:00-05:00,101674.32
104,2025-01-03T09:30:00-05:00,101161.47
105,2024-12-31T13:30:00-05:00,100651.78
106,2025-01-03T09:30:00-05:00,101651.88
107,2025-01-10T09:30:00-05:00,101138.43
108,2025-01-10T09:30:00-05:00,100627.73
109,2025-01-21T09:30:00-05:00,100120.60
110,2025-01-24T09:30:00-05:00,99614.64
111,2025-01-24T09:30:00-05:00,99110.73
112,2025-01-27T09:30:00-05:00,100098.13
113,2025-02-07T09:30:00-05:00,99580.31
114,2025-02-10T09:30:00-05:00,99076.39
115,2025-02-11T11:30:00-05:00,100054.74
116,2025-02-14T09:30:00-05:00,99547.70
117,2025-02-14T14:30:00-05:00,99041.19
118,2025-02-25T09:30:00-05:00,98542.69
119,2025-02-25T09:30:00-05:00,98046.70
120,2025-03-03T12:30:00-05:00,97554.45
121,2025-03-10T10:30:00-04:00,97063.09
122,2025-03-10T10:30:00-04:00,96574.21
123,2025-03-10T14:30:00-04:00,96085.92
124,2025-03-11T10:30:00-04:00,95593.45
125,2025-03-13T09:30:00-04:00,96546.72
126,2025-03-14T09:30:00-04:00,96057.26
127,2025-03-27T09:30:00-04:00,95565.41
128,2025-03-28T09:30:00-04:00,95083.86
129,2025-03-28T09:30:00-04:00,94604.74
130,2025-03-28T14:30:00-04:00,95449.08
131,2025-04-03T09:30:00-04:00,96399.77
132,2025-04-04T09:30:00-04:00,95911.80
133,2025-04-04T09:30:00-04:00,95426.30
134,2025-04-16T13:30:00-04:00,94936.66
135,2025-04-24T09:30:00-04:00,94455.99
136,2025-05-01T09:30:00-04:00,93980.64
137,2025-05-01T09:30:00-04:00,94916.00
138,2025-05-02T09:30:00-04:00,94433.01
139,2025-05-05T09:30:00-04:00,95362.80
140,2025-05-12T09:30:00-04:00,94881.60
141,2025-05-12T14:30:00-04:00,94704.13
142,2025-05-16T09:30:00-04:00,94216.92
143,2025-05-21T11:30:00-04:00,93737.03
144,2025-05-29T09:30:00-04:00,93265.30
145,2025-05-23T09:30:00-04:00,92793.95
146,2025-05-23T09:30:00-04:00,92324.99
147,2025-05-27T09:30:00-04:00,93241.40
148,2025-05-28T12:30:00-04:00,92757.21
149,2025-06-03T09:30:00-04:00,93677.97
150,2025-06-05T09:30:00-04:00,93197.16
151,2025-06-05T12:30:00-04:00,94115.89
152,2025-06-09T09:30:00-04:00,93639.78
153,2025-06-09T09:30:00-04:00,93166.07
154,2025-06-12T10:30:00-04:00,92692.82
155,2025-06-12T10:30:00-04:00,92224.55
156,2025-06-13T14:30:00-04:00,91756.31
157,2025-06-25T09:30:00-04:00,92670.12
158,2025-06-24T09:30:00-04:00,92200.88
159,2025-06-23T12:30:00-04:00,91730.46
160,2025-06-24T09:30:00-04:00,92640.65
161,2025-06-25T12:30:00-04:00,92160.92
162,2025-06-27T09:30:00-04:00,91686.91
163,2025-07-01T09:30:00-04:00,92592.03
164,2025-07-01T10:30:00-04:00,93512.03
165,2025-07-02T10:30:00-04:00,94439.53
166,2025-07-09T09:30:00-04:00,93961.66
167,2025-07-11T09:30:00-04:00,93498.02
168,2025-07-14T09:30:00-04:00,94422.10
169,2025-07-16T10:30:00-04:00,95350.70
170,2025-07-18T09:30:00-04:00,94854.91
171,2025-07-22T09:30:00-04:00,95795.66
172,2025-07-24T12:30:00-04:00,95355.99
173,2025-07-25T09:30:00-04:00,95216.07
174,2025-07-30T12:30:00-04:00,94735.19
175,2025-08-07T09:30:00-04:00,94257.51
176,2025-08-20T09:30:00-04:00,93782.91
177,2025-08-13T09:30:00-04:00,93309.64
178,2025-08-20T09:30:00-04:00,94238.44
179,2025-08-18T09:30:00-04:00,95169.14
180,2025-08-26T09:30:00-04:00,96102.00
181,2025-08-26T13:30:00-04:00,96437.35
182,2025-08-27T10:30:00-04:00,95940.66
183,2025-08-27T13:30:00-04:00,95444.17
184,2025-08-28T09:30:00-04:00,94956.57
185,2025-09-02T11:30:00-04:00,95903.03
186,2025-08-29T12:30:00-04:00,95454.35
187,2025-09-02T09:30:00-04:00,95199.36
188,2025-09-05T09:30:00-04:00,94715.40
189,2025-09-05T09:30:00-04:00,94233.89
190,2025-09-10T09:30:00-04:00,95169.32
191,2025-09-11T09:30:00-04:00,94680.50
192,2025-09-17T09:30:00-04:00,95619.70
193,2025-09-17T12:30:00-04:00,95274.16
194,2025-09-17T13:30:00-04:00,94781.29
195,2025-09-17T14:30:00-04:00,94297.09
196,2025-09-30T10:30:00-04:00,95237.02
197,2025-10-02T09:30:00-04:00,96187.02
198,2025-09-22T11:30:00-04:00,95697.65
199,2025-09-30T09:30:00-04:00,95214.67
200,2025-10-01T10:30:00-04:00,96163.27
201,2025-10-01T12:30:00-04:00,95668.05
202,2025-10-02T09:30:00-04:00,95314.65
203,2025-10-09T09:30:00-04:00,96261.01
204,2025-10-28T12:30:00-04:00,95776.98
205,2025-10-28T12:30:00-04:00,95295.25
206,2025-10-20T09:30:00-04:00,96241.26
207,2025-10-21T09:30:00-04:00,97191.32
208,2025-10-21T09:30:00-04:00,98150.48
209,2025-10-27T09:30:00-04:00,99127.03
210,2025-10-27T09:30:00-04:00,100113.30
211,2025-10-27T09:30:00-04:00,101109.39
212,2025-10-27T12:30:00-04:00,100803.17
213,2025-10-28T09:30:00-04:00,100283.36
