sequence,timestamp,equity
0,start,100000.00
1,2024-04-02T09:30:00-04:00,100996.11
2,2024-04-03T09:55:00-04:00,100487.00
3,2024-04-04T11:55:00-04:00,101487.55
4,2024-04-04T12:40:00-04:00,102496.45
5,2024-04-08T09:30:00-04:00,101981.35
6,2024-04-15T09:35:00-04:00,101468.34
7,2024-04-10T09:45:00-04:00,100957.95
8,2024-04-11T14:10:00-04:00,100449.51
9,2024-04-11T13:25:00-04:00,99943.27
10,2024-04-15T09:35:00-04:00,100934.97
11,2024-04-18T09:30:00-04:00,101941.71
12,2024-04-18T09:30:00-04:00,101428.35
13,2024-04-17T13:50:00-04:00,100916.27
14,2024-04-22T09:30:00-04:00,101920.81
15,2024-04-24T09:30:00-04:00,102936.71
16,2024-04-24T12:20:00-04:00,102419.97
17,2024-04-29T09:30:00-04:00,103441.85
18,2024-04-26T14:35:00-04:00,102920.33
19,2024-04-30T11:10:00-04:00,102402.77
20,2024-05-08T09:30:00-04:00,103423.36
21,2024-05-01T14:40:00-04:00,102901.40
22,2024-05-03T10:00:00-04:00,102384.27
23,2024-05-06T09:30:00-04:00,101866.79
24,2024-05-08T09:30:00-04:00,102881.54
25,2024-05-21T13:35:00-04:00,102363.82
26,2024-05-10T09:45:00-04:00,101847.34
27,2024-05-14T09:30:00-04:00,101332.12
28,2024-05-13T09:45:00-04:00,100820.81
29,2024-05-15T09:35:00-04:00,100312.47
30,2024-05-21T12:00:00-04:00,101309.80
31,2024-05-21T12:05:00-04:00,102316.93
32,2024-05-21T09:30:00-04:00,101800.81
33,2024-05-23T13:50:00-04:00,101289.02
34,2024-05-23T13:50:00-04:00,102295.96
35,2024-05-30T10:05:00-04:00,101781.04
36,2024-05-28T09:35:00-04:00,101267.32
37,2024-06-05T09:30:00-04:00,100756.43
38,2024-05-30T11:00:00-04:00,100249.06
39,2024-06-03T09:30:00-04:00,99743.40
40,2024-06-13T09:30:00-04:00,99241.58
41,2024-06-05T09:30:00-04:00,98739.75
42,2024-06-11T09:30:00-04:00,98240.94
43,2024-06-11T09:30:00-04:00,97746.01
44,2024-06-11T09:50:00-04:00,98718.65
45,2024-06-11T09:50:00-04:00,99700.64
46,2024-06-13T09:30:00-04:00,100694.47
47,2024-06-26T09:30:00-04:00,100187.68
48,2024-06-17T11:00:00-04:00,99684.06
49,2024-06-26T09:40:00-04:00,100677.20
50,2024-06-24T09:35:00-04:00,100169.44
51,2024-06-24T09:30:00-04:00,99664.94
52,2024-06-26T09:30:00-04:00,99163.01
53,2024-06-26T10:05:00-04:00,100149.80
54,2024-07-01T10:30:00-04:00,101148.76
55,2024-07-01T09:35:00-04:00,102154.38
56,2024-06-28T12:05:00-04:00,101638.77
57,2024-07-02T09:50:00-04:00,102652.44
58,2024-07-03T10:40:00-04:00,103676.41
59,2024-07-08T11:15:00-04:00,104709.71
60,2024-07-11T09:55:00-04:00,105753.54
61,2024-07-11T11:40:00-04:00,105221.20
62,2024-07-10T13:35:00-04:00,104691.11
63,2024-07-11T11:55:00-04:00,105734.85
64,2024-07-24T09:30:00-04:00,105204.62
65,2024-07-15T15:45:00-04:00,104676.10
66,2024-07-24T09:30:00-04:00,105720.60
67,2024-07-19T12:45:00-04:00,106774.21
68,2024-07-19T09:30:00-04:00,106236.70
69,2024-07-22T09:35:00-04:00,105700.21
70,2024-07-24T09:30:00-04:00,105168.41
71,2024-07-24T09:30:00-04:00,106217.49
72,2024-07-26T10:10:00-04:00,105683.14
73,2024-07-29T09:30:00-04:00,105150.71
74,2024-07-30T11:35:00-04:00,104621.63
75,2024-07-31T09:45:00-04:00,104094.22
76,2024-08-01T15:00:00-04:00,105130.74
77,2024-08-05T09:30:00-04:00,106177.85
78,2024-09-19T10:05:00-04:00,107238.38
79,2024-08-07T14:10:00-04:00,106699.80
80,2024-08-13T09:45:00-04:00,106162.41
81,2024-08-13T13:10:00-04:00,107220.02
82,2024-08-09T13:25:00-04:00,106678.58
83,2024-08-16T10:10:00-04:00,107742.36
84,2024-08-15T09:30:00-04:00,107200.86
85,2024-08-28T11:10:00-04:00,106662.23
86,2024-08-22T15:50:00-04:00,106126.15
