grain,strategy_id,timeframe,symbol,cost_tier,account_count,initial_capital,final_equity,net_profit,return_percent,trade_count,win_rate,profit_factor,max_drawdown,max_drawdown_percent,max_consecutive_losses,average_win,average_loss,average_holding_bars,best_symbol,worst_symbol,best_timeframe,worst_timeframe,quality_flag,status
strategy_timeframe_symbol,M10-PA-001,15m,NVDA,baseline,1,100000.00,157471.77,57471.77,57.4718,1042,0.3676,1.1257,31869.30,31.8693,20,1344.30,-694.07,357.7333,NVDA,NVDA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,15m,NVDA,stress_high,1,100000.00,118957.71,18957.71,18.9577,1042,0.3676,1.0449,37509.91,37.5099,20,1151.87,-640.68,357.7333,NVDA,NVDA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,15m,NVDA,stress_low,1,100000.00,146809.67,46809.67,46.8097,1042,0.3676,1.1044,33642.52,33.6425,20,1292.58,-680.19,357.7333,NVDA,NVDA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,15m,QQQ,baseline,1,100000.00,115339.20,15339.20,15.3392,1101,0.3606,1.0365,53961.50,53.9615,19,1098.21,-597.51,305.3127,QQQ,QQQ,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,15m,QQQ,stress_high,1,100000.00,64258.98,-35741.02,-35.7410,1101,0.3597,0.8982,72659.08,72.6591,19,796.74,-498.23,305.3127,QQQ,QQQ,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,15m,QQQ,stress_low,1,100000.00,99650.87,-349.13,-0.3491,1101,0.3606,0.9991,58544.83,58.5448,19,1010.76,-570.48,305.3127,QQQ,QQQ,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,15m,SPY,baseline,1,100000.00,96193.53,-3806.47,-3.8065,1117,0.3563,0.9876,45589.17,45.5892,19,764.59,-428.53,333.0242,SPY,SPY,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,15m,SPY,stress_high,1,100000.00,47845.75,-52154.25,-52.1543,1117,0.3563,0.7960,64554.85,64.5549,19,511.35,-355.59,333.0242,SPY,SPY,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,15m,SPY,stress_low,1,100000.00,80786.71,-19213.29,-19.2133,1117,0.3563,0.9345,51517.79,51.5178,19,689.19,-408.22,333.0242,SPY,SPY,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,15m,TSLA,baseline,1,100000.00,180584.63,80584.63,80.5846,1071,0.3772,1.1634,43385.46,43.3855,22,1420.37,-739.50,316.6087,TSLA,TSLA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,15m,TSLA,stress_high,1,100000.00,142315.71,42315.71,42.3157,1071,0.3772,1.0926,48577.39,48.5774,22,1235.27,-684.76,316.6087,TSLA,TSLA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,15m,TSLA,stress_low,1,100000.00,170148.02,70148.02,70.1480,1071,0.3772,1.1450,43881.93,43.8819,22,1371.10,-725.30,316.6087,TSLA,TSLA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1d,NVDA,baseline,1,100000.00,109713.27,9713.27,9.7133,363,0.3526,1.0831,21845.36,21.8454,18,988.68,-497.18,214.8031,NVDA,NVDA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1d,NVDA,stress_high,1,100000.00,107943.33,7943.33,7.9433,363,0.3526,1.0680,22278.06,22.2781,18,974.94,-497.23,214.8031,NVDA,NVDA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1d,NVDA,stress_low,1,100000.00,109268.10,9268.10,9.2681,363,0.3526,1.0793,21953.78,21.9538,18,985.22,-497.19,214.8031,NVDA,NVDA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1d,QQQ,baseline,1,100000.00,131429.87,31429.87,31.4299,388,0.3840,1.2267,16367.01,16.3670,18,1141.61,-580.21,201.2268,QQQ,QQQ,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1d,QQQ,stress_high,1,100000.00,126291.40,26291.40,26.2914,388,0.3840,1.1902,16237.22,16.2372,18,1104.35,-578.48,201.2268,QQQ,QQQ,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1d,QQQ,stress_low,1,100000.00,130126.05,30126.05,30.1261,388,0.3840,1.2174,16335.23,16.3352,18,1132.18,-579.79,201.2268,QQQ,QQQ,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1d,SPY,baseline,1,100000.00,127226.37,27226.37,27.2264,394,0.3782,1.1932,19091.62,19.0916,16,1128.70,-575.31,196.7442,SPY,SPY,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1d,SPY,stress_high,1,100000.00,120301.22,20301.22,20.3012,394,0.3782,1.1445,20329.03,20.3290,16,1079.21,-573.48,196.7442,SPY,SPY,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1d,SPY,stress_low,1,100000.00,125458.71,25458.71,25.4587,394,0.3782,1.1808,19246.05,19.2461,16,1116.12,-574.87,196.7442,SPY,SPY,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1d,TSLA,baseline,1,100000.00,132282.85,32282.85,32.2829,373,0.3914,1.2404,16291.15,16.2912,20,1140.72,-591.46,215.0546,TSLA,TSLA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1d,TSLA,stress_high,1,100000.00,130352.60,30352.60,30.3526,373,0.3914,1.2262,16365.45,16.3655,20,1127.13,-591.23,215.0546,TSLA,TSLA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1d,TSLA,stress_low,1,100000.00,131797.64,31797.64,31.7976,373,0.3914,1.2369,16309.90,16.3099,20,1137.30,-591.40,215.0546,TSLA,TSLA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1h,NVDA,baseline,1,100000.00,75223.98,-24776.02,-24.7760,239,0.2636,0.6792,31565.42,31.5654,17,832.60,-438.81,227.9414,NVDA,NVDA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1h,NVDA,stress_high,1,100000.00,73131.65,-26868.35,-26.8684,239,0.2636,0.6562,33353.29,33.3533,17,814.11,-444.08,227.9414,NVDA,NVDA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1h,NVDA,stress_low,1,100000.00,74695.39,-25304.61,-25.3046,239,0.2636,0.6733,32017.01,32.0170,17,827.94,-440.14,227.9414,NVDA,NVDA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1h,QQQ,baseline,1,100000.00,114801.58,14801.58,14.8016,264,0.3750,1.1583,15622.54,15.6225,23,1094.20,-566.81,238.5985,QQQ,QQQ,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1h,QQQ,stress_high,1,100000.00,106712.38,6712.38,6.7124,264,0.3750,1.0705,17399.53,17.3995,23,1029.72,-577.15,238.5985,QQQ,QQQ,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1h,QQQ,stress_low,1,100000.00,112723.81,12723.81,12.7238,264,0.3750,1.1354,16075.48,16.0755,23,1077.74,-569.53,238.5985,QQQ,QQQ,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1h,SPY,baseline,1,100000.00,102199.26,2199.26,2.1993,256,0.3516,1.0257,15122.89,15.1229,15,974.57,-515.13,255.9609,SPY,SPY,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1h,SPY,stress_high,1,100000.00,92737.54,-7262.46,-7.2625,256,0.3516,0.9174,17757.55,17.7576,15,895.86,-529.46,255.9609,SPY,SPY,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1h,SPY,stress_low,1,100000.00,99747.41,-252.59,-0.2526,256,0.3516,0.9971,15827.55,15.8276,15,954.33,-518.93,255.9609,SPY,SPY,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1h,TSLA,baseline,1,100000.00,89816.81,-10183.19,-10.1832,252,0.3135,0.8826,21153.92,21.1539,19,969.18,-501.43,241.3296,TSLA,TSLA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1h,TSLA,stress_high,1,100000.00,87778.09,-12221.91,-12.2219,252,0.3095,0.8601,22015.34,22.0153,19,962.94,-501.90,241.3296,TSLA,TSLA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,1h,TSLA,stress_low,1,100000.00,89302.76,-10697.24,-10.6972,252,0.3135,0.8769,21372.48,21.3725,19,964.54,-502.29,241.3296,TSLA,TSLA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,5m,NVDA,baseline,1,100000.00,94018.75,-5981.25,-5.9813,3023,0.3411,0.9930,39310.51,39.3105,30,818.55,-426.66,543.0713,NVDA,NVDA,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,5m,NVDA,stress_high,1,100000.00,21727.81,-78272.19,-78.2722,3023,0.3411,0.8480,79249.96,79.2500,30,423.49,-258.48,543.0713,NVDA,NVDA,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,5m,NVDA,stress_low,1,100000.00,65192.94,-34807.06,-34.8071,3023,0.3411,0.9529,44198.27,44.1983,30,682.82,-370.88,543.0713,NVDA,NVDA,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,5m,QQQ,baseline,1,100000.00,95329.49,-4670.51,-4.6705,3146,0.3522,0.9945,75974.61,75.9746,35,760.73,-415.88,352.9122,QQQ,QQQ,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,5m,QQQ,stress_high,1,100000.00,10211.02,-89788.98,-89.7890,3146,0.3519,0.7811,93178.47,93.1785,35,289.45,-201.18,352.9122,QQQ,QQQ,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,5m,QQQ,stress_low,1,100000.00,54545.10,-45454.90,-45.4549,3146,0.3522,0.9337,84139.33,84.1393,35,578.19,-336.65,352.9122,QQQ,QQQ,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,5m,SPY,baseline,1,100000.00,139168.64,39168.64,39.1686,3180,0.3695,1.0565,27649.49,27.6495,41,623.44,-345.82,375.3745,SPY,SPY,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,5m,SPY,stress_high,1,100000.00,12870.31,-87129.69,-87.1297,3180,0.3682,0.7122,89117.49,89.1175,41,184.11,-150.69,375.3745,SPY,SPY,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-001,5m,SPY,stress_low,1,100000.00,76758.78,-23241.22,-23.2412,3180,0.3695,0.9571,40986.91,40.9869,41,441.64,-270.41,375.3745,SPY,SPY,5m,5m,normal_density_review,completed_capital_test
