strategy_id,strategy_title,symbol,timeframe,direction,bar_timestamp,hypothetical_entry_price,hypothetical_stop_price,hypothetical_target_price,current_reference_price,simulated_unrealized_pnl,simulated_unrealized_return_percent,review_status,risk_level
M10-PA-002,突破后续跟进,SPY,1d,看涨,2026-04-27T16:00:00-04:00,715.1700,712.2950,720.9200,715.17,0.00,0.00,等待收盘复核,低
M10-PA-012,开盘区间突破,SPY,15m,看涨,2026-04-27T13:25:00,714.6100,712.6000,716.4190,715.17,139.30,0.14,等待收盘复核,低
M10-PA-012,开盘区间突破,SPY,5m,看跌,2026-04-27T11:20:00,712.5550,714.4090,710.7460,715.17,-705.23,-0.71,等待收盘复核,低
M12-FTD-001,方方土日线趋势顺势信号K,SPY,1d,看涨,2026-04-27T16:00:00-04:00,715.63,712.30,722.30,715.17,-68.86,-0.07,等待收盘复核,中
M10-PA-012,开盘区间突破,QQQ,15m,看涨,2026-04-27T13:40:00,663.9000,660.6900,667.0600,664.23,51.40,0.05,等待收盘复核,低
M10-PA-012,开盘区间突破,QQQ,5m,看涨,2026-04-27T13:30:00,664.0650,660.6900,667.2250,664.23,24.44,0.02,等待收盘复核,中
M10-PA-001,趋势回调二次入场,DIA,1d,看跌,2026-04-27T16:00:00-04:00,490.2900,498.3800,474.1100,491.83,-95.18,-0.10,等待收盘复核,高
M10-PA-012,开盘区间突破,DIA,15m,看跌,2026-04-27T11:10:00,490.7000,493.5500,488.3900,491.83,-198.25,-0.20,等待收盘复核,中
M10-PA-012,开盘区间突破,DIA,5m,看跌,2026-04-27T11:00:00,490.6700,493.5500,488.3600,491.83,-201.39,-0.20,等待收盘复核,中
M10-PA-012,开盘区间突破,VTI,15m,看涨,2026-04-27T13:40:00,352.4550,351.3450,353.5000,352.53,33.78,0.03,等待收盘复核,低
M10-PA-012,开盘区间突破,VTI,5m,看涨,2026-04-27T13:30:00,352.6700,351.3450,353.7150,352.53,-52.83,-0.05,等待收盘复核,低
M10-PA-002,突破后续跟进,VOO,1d,看涨,2026-04-27T16:00:00-04:00,657.5000,654.8400,662.8200,657.50,0.00,0.00,等待收盘复核,低
M10-PA-012,开盘区间突破,VOO,15m,看涨,2026-04-27T13:25:00,656.9800,655.1500,658.5600,657.50,142.08,0.14,等待收盘复核,低
M10-PA-012,开盘区间突破,VOO,5m,看跌,2026-04-27T11:20:00,655.0800,656.7300,653.5000,657.50,-733.33,-0.73,等待收盘复核,低
M12-FTD-001,方方土日线趋势顺势信号K,VOO,1d,看涨,2026-04-27T16:00:00-04:00,657.90,654.84,664.02,657.50,-65.36,-0.07,等待收盘复核,中
M10-PA-002,突破后续跟进,IVV,1d,看涨,2026-04-27T16:00:00-04:00,718.5000,715.6110,724.2780,718.50,0.00,0.00,等待收盘复核,低
M10-PA-012,开盘区间突破,IVV,15m,看涨,2026-04-27T13:25:00,717.9200,715.9300,719.6650,718.50,145.73,0.15,等待收盘复核,低
M10-PA-012,开盘区间突破,IVV,5m,看跌,2026-04-27T11:20:00,715.8400,717.6750,714.0950,718.50,-724.80,-0.72,等待收盘复核,低
M12-FTD-001,方方土日线趋势顺势信号K,IVV,1d,看涨,2026-04-27T16:00:00-04:00,718.95,715.61,725.63,718.50,-67.37,-0.07,等待收盘复核,中
M10-PA-002,突破后续跟进,XLK,15m,看涨,2026-04-27T15:55:00,160.5700,160.2850,161.1400,160.57,0.00,0.00,等待收盘复核,低
M10-PA-012,开盘区间突破,XLK,5m,看涨,2026-04-27T15:45:00,160.4900,158.8100,162.0100,160.57,23.81,0.02,等待收盘复核,中
M10-PA-012,开盘区间突破,XLF,15m,看涨,2026-04-27T10:40:00,51.8800,51.3100,52.4050,51.81,-61.40,-0.06,等待收盘复核,中
M10-PA-012,开盘区间突破,XLF,5m,看涨,2026-04-27T10:35:00,51.8450,51.3100,52.3700,51.81,-32.71,-0.03,等待收盘复核,中
M10-PA-001,趋势回调二次入场,XLE,1d,看涨,2026-04-27T16:00:00-04:00,57.6800,53.4100,66.2200,56.77,-106.56,-0.11,等待收盘复核,高
M10-PA-002,突破后续跟进,XLE,5m,看跌,2026-04-27T15:55:00,56.7700,56.9550,56.4000,56.77,0.00,0.00,等待收盘复核,低
M10-PA-012,开盘区间突破,XLE,15m,看跌,2026-04-27T10:40:00,57.0000,57.6800,56.4000,56.77,169.12,0.17,等待收盘复核,中
M10-PA-012,开盘区间突破,XLE,5m,看跌,2026-04-27T10:40:00,57.0000,57.6800,56.4000,56.77,169.12,0.17,等待收盘复核,中
M10-PA-001,趋势回调二次入场,XLV,1d,看跌,2026-04-27T16:00:00-04:00,143.4200,149.1150,132.0300,143.46,-3.51,-0.00,等待收盘复核,高
M10-PA-001,趋势回调二次入场,XLV,5m,看跌,2026-04-27T15:55:00,143.4200,143.7650,142.7300,143.46,-57.97,-0.06,等待收盘复核,低
M10-PA-002,突破后续跟进,XLV,15m,看跌,2026-04-27T15:55:00,143.4600,143.7400,142.9000,143.46,0.00,0.00,等待收盘复核,低
M10-PA-001,趋势回调二次入场,XLY,1d,看跌,2026-04-27T16:00:00-04:00,117.2750,121.8500,108.1250,117.84,-61.75,-0.06,等待收盘复核,高
M10-PA-001,趋势回调二次入场,XLY,5m,看跌,2026-04-27T15:55:00,117.8300,118.0600,117.3700,117.84,-21.74,-0.02,等待收盘复核,低
M10-PA-002,突破后续跟进,XLY,5m,看跌,2026-04-27T15:55:00,117.8400,117.9500,117.6200,117.84,0.00,0.00,等待收盘复核,低
M10-PA-012,开盘区间突破,XLY,15m,看跌,2026-04-27T10:10:00,117.4950,118.3500,116.6450,117.84,-201.75,-0.20,等待收盘复核,中
M10-PA-012,开盘区间突破,XLY,5m,看跌,2026-04-27T10:10:00,117.4950,118.3500,116.6450,117.84,-201.75,-0.20,等待收盘复核,中
M10-PA-001,趋势回调二次入场,XLI,1d,看跌,2026-04-27T16:00:00-04:00,171.5200,175.1300,164.3000,172.51,-137.12,-0.14,等待收盘复核,高
M10-PA-001,趋势回调二次入场,XLP,1d,看跌,2026-04-27T16:00:00-04:00,82.2700,83.8600,79.0900,82.34,-22.01,-0.02,等待收盘复核,高
M10-PA-012,开盘区间突破,XLP,15m,看跌,2026-04-27T11:25:00,82.7550,83.3400,82.2650,82.34,354.70,0.35,等待收盘复核,中
M10-PA-012,开盘区间突破,XLP,5m,看跌,2026-04-27T11:15:00,82.7800,83.3400,82.2900,82.34,392.86,0.39,等待收盘复核,中
M12-FTD-001,方方土日线趋势顺势信号K,XLP,1d,看跌,2026-04-27T16:00:00-04:00,82.27,83.34,80.13,82.34,-32.71,-0.03,等待收盘复核,中
M10-PA-001,趋势回调二次入场,XLU,5m,看跌,2026-04-27T15:55:00,46.1700,46.2850,45.9400,46.19,-86.96,-0.09,等待收盘复核,低
M10-PA-012,开盘区间突破,XLU,15m,看跌,2026-04-27T15:25:00,46.2200,46.4950,45.9750,46.19,54.55,0.05,等待收盘复核,中
M10-PA-012,开盘区间突破,XLU,5m,看跌,2026-04-27T11:35:00,46.2450,46.4950,46.0000,46.19,110.00,0.11,等待收盘复核,中
M10-PA-012,开盘区间突破,XLC,15m,看涨,2026-04-27T10:10:00,116.1400,115.4100,116.8400,115.81,-226.03,-0.23,等待收盘复核,中
M10-PA-012,开盘区间突破,XLC,5m,看涨,2026-04-27T10:05:00,116.1700,115.4100,116.8700,115.81,-236.84,-0.24,等待收盘复核,中
M10-PA-001,趋势回调二次入场,SMH,5m,看涨,2026-04-27T15:55:00,506.2900,503.9500,510.9700,506.26,-6.41,-0.01,等待收盘复核,低
M10-PA-002,突破后续跟进,SMH,15m,看涨,2026-04-27T15:55:00,506.2600,504.7800,509.2200,506.26,0.00,0.00,等待收盘复核,低
M10-PA-002,突破后续跟进,SOXX,15m,看涨,2026-04-27T15:55:00,455.4100,454.3500,457.5300,455.41,0.00,0.00,等待收盘复核,低
M10-PA-012,开盘区间突破,TQQQ,15m,看涨,2026-04-27T13:40:00,62.5450,61.6400,63.4450,62.64,52.49,0.05,等待收盘复核,中
M10-PA-012,开盘区间突破,TQQQ,5m,看涨,2026-04-27T13:30:00,62.5930,61.6400,63.4930,62.64,24.66,0.02,等待收盘复核,高
M10-PA-002,突破后续跟进,SQQQ,15m,看跌,2026-04-27T15:55:00,52.4500,52.5600,52.2300,52.45,0.00,0.00,等待收盘复核,低
M10-PA-012,开盘区间突破,SQQQ,15m,看跌,2026-04-27T13:40:00,52.5550,53.3100,51.8050,52.45,69.54,0.07,等待收盘复核,中
M10-PA-012,开盘区间突破,SQQQ,5m,看跌,2026-04-27T13:30:00,52.5050,53.3100,51.7550,52.45,34.16,0.03,等待收盘复核,高
M10-PA-001,趋势回调二次入场,GLD,1d,看跌,2026-04-27T16:00:00-04:00,428.5200,448.7000,388.1600,429.89,-33.94,-0.03,等待收盘复核,高
M10-PA-001,趋势回调二次入场,GLD,5m,看涨,2026-04-27T15:55:00,429.9100,429.4350,430.8600,429.89,-21.05,-0.02,等待收盘复核,低
M10-PA-012,开盘区间突破,GLD,15m,看跌,2026-04-27T10:55:00,429.5700,431.8000,428.3700,429.89,-71.75,-0.07,等待收盘复核,中
M10-PA-012,开盘区间突破,GLD,5m,看跌,2026-04-27T10:05:00,430.5300,431.8000,429.3300,429.89,251.97,0.25,等待收盘复核,低
M10-PA-001,趋势回调二次入场,SLV,1d,看跌,2026-04-27T16:00:00-04:00,67.5500,75.1600,52.3300,68.33,-51.25,-0.05,等待收盘复核,高
M10-PA-012,开盘区间突破,SLV,15m,看跌,2026-04-27T10:55:00,67.8600,68.3650,67.3750,68.33,-465.35,-0.47,等待收盘复核,中
