direction,entry_timestamp,exit_timestamp,holding_bars,hypothetical_entry_price,hypothetical_exit_price,hypothetical_stop_price,hypothetical_target_price,outcome,signal_timestamp,simulated_profit,strategy_id,symbol
看涨,2010-07-08T16:00:00-04:00,2010-08-04T16:00:00-04:00,20,107.00,112.97,103.02,114.96,到期退出,2010-07-07T16:00:00-04:00,750.00,M12-FTD-001,SPY
看涨,2010-07-12T16:00:00-04:00,2010-07-13T16:00:00-04:00,2,107.60,108.94,106.93,108.94,止盈,2010-07-09T16:00:00-04:00,1000.00,M12-FTD-001,SPY
看涨,2010-07-13T16:00:00-04:00,2010-07-16T16:00:00-04:00,4,109.15,107.15,107.15,113.15,止损,2010-07-12T16:00:00-04:00,-500.00,M12-FTD-001,SPY
看涨,2010-07-21T16:00:00-04:00,2010-08-17T16:00:00-04:00,20,109.04,109.59,105.82,115.48,到期退出,2010-07-20T16:00:00-04:00,85.40,M12-FTD-001,SPY
看涨,2010-07-26T16:00:00-04:00,2010-08-12T16:00:00-04:00,14,110.60,108.93,108.93,113.94,止损,2010-07-23T16:00:00-04:00,-500.00,M12-FTD-001,SPY
看涨,2010-07-27T16:00:00-04:00,2010-07-29T16:00:00-04:00,3,112.17,110.29,110.29,115.93,止损,2010-07-26T16:00:00-04:00,-500.00,M12-FTD-001,SPY
看跌,2010-07-29T16:00:00-04:00,2010-07-29T16:00:00-04:00,1,111.52,111.66,111.66,111.24,止损,2010-07-28T16:00:00-04:00,-500.00,M12-FTD-001,SPY
看跌,2010-08-12T16:00:00-04:00,2010-09-03T16:00:00-04:00,17,107.65,110.69,110.69,101.57,止损,2010-08-11T16:00:00-04:00,-500.00,M12-FTD-001,SPY
看涨,2010-09-03T16:00:00-04:00,2010-09-21T16:00:00-04:00,12,110.54,114.64,108.49,114.64,止盈,2010-09-02T16:00:00-04:00,1000.00,M12-FTD-001,SPY
看跌,2010-09-20T16:00:00-04:00,2010-09-20T16:00:00-04:00,1,112.88,113.15,113.15,112.34,止损,2010-09-17T16:00:00-04:00,-500.00,M12-FTD-001,SPY
看跌,2010-10-01T16:00:00-04:00,2010-10-04T16:00:00-04:00,2,114.99,113.39,115.79,113.39,止盈,2010-09-30T16:00:00-04:00,1000.00,M12-FTD-001,SPY
看涨,2010-10-13T16:00:00-04:00,2010-11-04T16:00:00-04:00,17,117.66,121.68,115.65,121.68,止盈,2010-10-12T16:00:00-04:00,1000.00,M12-FTD-001,SPY
看涨,2010-10-19T16:00:00-04:00,2010-10-19T16:00:00-04:00,1,117.19,117.31,117.31,116.95,止损,2010-10-18T16:00:00-04:00,500.00,M12-FTD-001,SPY
看涨,2010-11-05T16:00:00-04:00,2010-11-12T16:00:00-05:00,6,122.34,119.97,119.97,127.08,止损,2010-11-04T16:00:00-04:00,-500.00,M12-FTD-001,SPY
看涨,2010-11-08T16:00:00-05:00,2010-11-08T16:00:00-05:00,1,122.34,122.18,122.18,122.66,止损,2010-11-05T16:00:00-04:00,-500.00,M12-FTD-001,SPY
看跌,2010-11-10T16:00:00-05:00,2010-11-16T16:00:00-05:00,5,121.58,118.84,122.95,118.84,止盈,2010-11-09T16:00:00-05:00,1000.00,M12-FTD-001,SPY
看跌,2010-11-15T16:00:00-05:00,2010-11-16T16:00:00-05:00,2,120.58,119.04,121.35,119.04,止盈,2010-11-12T16:00:00-05:00,1000.00,M12-FTD-001,SPY
看跌,2010-11-17T16:00:00-05:00,2010-11-18T16:00:00-05:00,2,118.21,119.49,119.49,115.65,止损,2010-11-16T16:00:00-05:00,-500.00,M12-FTD-001,SPY
看涨,2010-12-03T16:00:00-05:00,2010-12-10T16:00:00-05:00,6,122.14,124.16,121.13,124.16,止盈,2010-12-02T16:00:00-05:00,1000.00,M12-FTD-001,SPY
看涨,2010-12-06T16:00:00-05:00,2010-12-07T16:00:00-05:00,2,122.63,123.67,122.11,123.67,止盈,2010-12-03T16:00:00-05:00,1000.00,M12-FTD-001,SPY
看涨,2010-12-13T16:00:00-05:00,2011-01-05T16:00:00-05:00,17,125.05,127.69,123.73,127.69,止盈,2010-12-10T16:00:00-05:00,1000.00,M12-FTD-001,SPY
看涨,2010-12-22T16:00:00-05:00,2011-01-03T16:00:00-05:00,8,125.48,126.70,124.87,126.70,止盈,2010-12-21T16:00:00-05:00,1000.00,M12-FTD-001,SPY
看涨,2010-12-23T16:00:00-05:00,2010-12-23T16:00:00-05:00,1,125.64,125.41,125.41,126.10,止损,2010-12-22T16:00:00-05:00,-500.00,M12-FTD-001,SPY
看涨,2011-01-19T16:00:00-05:00,2011-01-19T16:00:00-05:00,1,129.41,129.03,129.03,130.17,止损,2011-01-18T16:00:00-05:00,-500.00,M12-FTD-001,SPY
看涨,2011-01-25T16:00:00-05:00,2011-01-25T16:00:00-05:00,1,128.76,128.26,128.26,129.76,止损,2011-01-24T16:00:00-05:00,-500.00,M12-FTD-001,SPY
看涨,2011-01-26T16:00:00-05:00,2011-01-28T16:00:00-05:00,3,129.49,128.11,128.11,132.25,止损,2011-01-25T16:00:00-05:00,-500.00,M12-FTD-001,SPY
