direction,display_name,entry_price,lane,latest_price,opened_at,pnl,position_size_multiplier,quantity,record_type,runtime_id,runtime_repair_policy,signal_time,state,stop_price,strategy_id,symbol,target_price,timeframe
看跌,M12-FTD-001 连亏保护日线账户,119.02,mainline,118.19,2026-06-01T15:20:31Z,0.00,1.00,0.0001,open_position,M12-FTD-001-loss-streak-guard-1d,trend_filter_loss_streak_guard,2026-06-01T16:00:00-04:00,观察中,119.83,M12-FTD-001,XLY,117.40,1d
看跌,M12-FTD-001 连亏保护日线账户,618.46,mainline,600.47,2026-06-01T15:32:07Z,105.80,1.00,5.8809,open_position,M12-FTD-001-loss-streak-guard-1d,trend_filter_loss_streak_guard,2026-06-01T16:00:00-04:00,观察中,635.75,M12-FTD-001,META,583.88,1d
看跌,M12-FTD-001 连亏保护日线账户,423.60,mainline,415.88,2026-06-01T15:32:07Z,130.83,1.00,16.9467,open_position,M12-FTD-001-loss-streak-guard-1d,trend_filter_loss_streak_guard,2026-06-01T16:00:00-04:00,观察中,429.60,M12-FTD-001,TSLA,411.60,1d
看跌,M12-FTD-001 原版日线账户,119.02,mainline,118.19,2026-06-01T15:32:07Z,110.08,1.00,132.6296,open_position,M12-FTD-001-baseline-1d,trend_filter_reference_only,2026-06-01T16:00:00-04:00,观察中,119.83,M12-FTD-001,XLY,117.40,1d
看跌,M12-FTD-001 原版日线账户,618.46,mainline,600.47,2026-06-01T15:32:07Z,111.78,1.00,6.2134,open_position,M12-FTD-001-baseline-1d,trend_filter_reference_only,2026-06-01T16:00:00-04:00,观察中,635.75,M12-FTD-001,META,583.88,1d
看跌,M12-FTD-001 原版日线账户,423.60,mainline,415.88,2026-06-01T15:32:07Z,33.24,1.00,4.3055,open_position,M12-FTD-001-baseline-1d,trend_filter_reference_only,2026-06-01T16:00:00-04:00,观察中,429.60,M12-FTD-001,TSLA,411.60,1d
看跌,M10-PA-013 日线实验账户,108.55,experimental,108.93,2026-06-01T13:30:06Z,-18.24,0.50,47.9905,open_position,M10-PA-013-1d,,2026-06-01T16:00:00-04:00,观察中,109.60,M10-PA-013,LQD,106.45,1d
看跌,M10-PA-013 日线实验账户,103.99,experimental,104.44,2026-06-01T13:30:06Z,-14.82,0.50,32.9346,open_position,M10-PA-013-1d,,2026-06-01T16:00:00-04:00,观察中,105.52,M10-PA-013,EFA,100.93,1d
看涨,PA004-MBF-QC 风险压缩救援账户,134.18,rescue,135.86,2026-06-01T13:30:06Z,50.29,1.00,29.9343,open_position,M10-PA-004-MBF-QC-m14-modify-20260522-1d,,2026-06-01T16:00:00-04:00,观察中,130.83,M10-PA-004-MBF-QC-m14-modify-20260522,NOW,139.21,1d
看涨,PA004 强势突破质量确认实验账户,134.18,experimental,135.86,2026-06-01T13:30:06Z,5.39,0.10,3.2060,open_position,M10-PA-004-MBF-QC-1d,confirmation_quality_risk_compression,2026-06-01T16:00:00-04:00,观察中,130.83,M10-PA-004-MBF-QC,NOW,139.21,1d
