cash,closed_trade_count,cumulative_return_percent,display_name,equity,historical_average_holding_bars,historical_final_equity,historical_initial_capital,historical_max_drawdown_percent,historical_net_profit,historical_profit_factor,historical_return_percent,historical_win_rate_percent,lane,losing_trade_count,max_drawdown_percent,open_position_count,paper_trial_candidate_now,realized_pnl,runtime_id,starting_capital,strategy_id,symbols,timeframe,today_closed_count,today_opened_count,today_realized_pnl,today_signal_count,today_total_pnl,today_unrealized_pnl,unrealized_pnl,variant_id,variant_label,win_rate_percent,winning_trade_count
0.00,6,-2.25,M10-PA-001 日线账户,19550.04,368.2969,1995723.86,1600000.00,34.1783,395723.86,1.0580,24.7327,35.84,mainline,6,2.25,14,false,-399.50,M10-PA-001-1d,20000.00,M10-PA-001,"DIA, GLD, IWM, QQQ, SLV, SMH, SOXX, TLT, VTI, XLB",1d,1,1,-99.05,1,-149.51,-50.46,-50.46,base,,0.00,0
0.00,5,2.33,M10-PA-001 五分钟账户,20466.52,368.2969,1995723.86,1600000.00,34.1783,395723.86,1.0580,24.7327,35.84,mainline,1,0.03,1,false,390.78,M10-PA-001-5m,20000.00,M10-PA-001,"DIA, QQQ, XLC, XLE",5m,3,3,281.64,3,357.38,75.74,75.74,base,,80.00,4
15660.56,27,-1.80,M10-PA-002 日线账户,19639.58,83.2629,1652496.28,1600000.00,23.5592,52496.28,1.0144,3.2810,34.92,mainline,18,1.80,2,false,-395.14,M10-PA-002-1d,20000.00,M10-PA-002,"EEM, INTC, IVV, IWM, LQD, MU, NVDA, PANW, QQQ, SMH",1d,5,1,-108.74,1,-74.02,34.72,34.72,base,,33.33,9
0.00,42,0.49,M10-PA-002 五分钟账户,20098.06,83.2629,1652496.28,1600000.00,23.5592,52496.28,1.0144,3.2810,34.92,mainline,32,0.15,1,false,86.99,M10-PA-002-5m,20000.00,M10-PA-002,"AAPL, ARKK, CRM, DIA, EEM, GLD, HYG, INTC, IWM, META",5m,22,22,121.89,22,132.96,11.07,11.07,base,,23.81,10
20200.00,1,1.00,M10-PA-004 只做多日线账户,20200.00,44.8673,4725989.23,4700000.00,2.0479,25989.23,1.1594,0.5530,40.24,mainline,0,0.00,0,false,200.00,M10-PA-004-long-1d,20000.00,M10-PA-004,SQQQ,1d,0,0,0.00,0,0.00,0.00,0.00,long_only,,100.00,1
-0.04,29,-1.75,M10-PA-012 五分钟账户,19650.54,488.3762,1015141.29,800000.00,12.7415,215141.29,1.1674,26.8927,38.15,mainline,18,1.75,2,false,-276.75,M10-PA-012-5m,20000.00,M10-PA-012,"DIA, GLD, IVV, IWM, QQQ, SPY, SQQQ, USO, VOO, VTI",5m,4,2,-158.32,2,-231.03,-72.71,-72.71,base,,37.93,11
0.00,21,-4.05,M12-FTD-001 原版日线账户,19189.39,,710436.65,,48.65,610436.65,1.09,610.44,3736.00,mainline,18,4.05,3,false,-848.90,M12-FTD-001-baseline-1d,20000.00,M12-FTD-001,"AVGO, DIA, GLD, LQD, META, SLV, SPY, VTI, XLB, XLC",1d,5,4,-96.00,4,-57.71,38.29,38.29,baseline,baseline,14.29,3
0.00,18,-2.99,M12-FTD-001 连亏保护日线账户,19401.19,,1236150.29,,25.07,1136150.29,1.19,1136.15,3948.00,mainline,14,2.99,4,false,-659.76,M12-FTD-001-loss-streak-guard-1d,20000.00,M12-FTD-001,"AVGO, DIA, EFA, GLD, LQD, SLV, SPY, TLT, VOO, VTI",1d,4,5,-94.60,5,-33.65,60.95,60.95,loss_streak_guard,loss_streak_guard,22.22,4
20000.00,0,0.00,M10-PA-005 日线实验账户,20000.00,,1489245.04,1600000.00,,-110754.96,,-6.9222,33.33,experimental,0,0.00,0,false,0.00,M10-PA-005-1d,20000.00,M10-PA-005,,1d,0,0,0.00,0,0.00,0.00,0.00,base,,0.00,0
0.00,5,1.70,M10-PA-005 五分钟实验账户,20340.90,,1489245.04,1600000.00,,-110754.96,,-6.9222,33.33,experimental,1,0.32,1,false,348.11,M10-PA-005-5m,20000.00,M10-PA-005,"AAPL, QCOM, XLI, XLP, XLU, XLV",5m,1,1,106.05,1,98.84,-7.21,-7.21,base,,80.00,4
0.00,2,0.20,M10-PA-007 日线实验账户,20040.59,59.9109,5032367.04,5000000.00,3.8796,32367.04,1.0563,0.6473,41.15,experimental,2,0.37,9,false,-199.91,M10-PA-007-1d,20000.00,M10-PA-007,"AMZN, AVGO, GLD, MSFT, NVDA, ORCL, SLV, SNOW, XLB, XLF",1d,1,2,-99.91,2,140.59,240.50,240.50,base,,0.00,0
4524.46,5,-1.39,PA004 强势突破跟进实验账户,19722.15,,,,,,,,,experimental,5,1.84,6,false,-496.67,M10-PA-004-MBF-1d,20000.00,M10-PA-004-MBF,"AVGO, MU, NOW, NVDA, ORCL, PANW, QCOM, SLV, USO",1d,2,1,-196.67,1,22.15,218.82,218.82,momentum_breakout_followthrough,,0.00,0
15983.59,0,-0.04,PA004 强势突破质量确认实验账户,19991.92,,,,,,,,,experimental,0,0.21,2,false,0.00,M10-PA-004-MBF-QC-1d,20000.00,M10-PA-004-MBF-QC,"AVGO, PANW",1d,0,0,0.00,0,-8.08,-8.08,-8.08,momentum_breakout_quality_confirmed,,0.00,0
13719.72,0,1.01,M10-PA-008 日线实验账户,20201.28,227.1160,1664057.47,1600000.00,9.2807,64057.47,1.0532,4.0036,35.41,experimental,0,0.01,2,false,0.00,M10-PA-008-1d,20000.00,M10-PA-008,"SNOW, XLB",1d,0,0,0.00,0,201.28,201.28,201.28,base,,0.00,0
9833.70,0,0.08,M10-PA-009 日线实验账户,20016.45,199.6932,1616277.18,1600000.00,9.1580,16277.18,1.0159,1.0173,33.95,experimental,0,0.50,4,false,0.00,M10-PA-009-1d,20000.00,M10-PA-009,"ADBE, AMZN, META, ORCL",1d,0,0,0.00,0,16.45,16.45,16.45,base,,0.00,0
20000.00,0,0.00,M10-PA-011 五分钟实验账户,20000.00,66.2441,786985.82,800000.00,3.8072,-13014.18,0.8270,-1.6268,28.81,experimental,0,0.00,0,false,0.00,M10-PA-011-5m,20000.00,M10-PA-011,,5m,0,0,0.00,0,0.00,0.00,0.00,base,,0.00,0
3683.19,0,1.03,M10-PA-013 日线实验账户,20206.23,35.0377,1472972.46,1600000.00,12.8117,-127027.54,0.8763,-7.9392,32.55,experimental,0,0.00,2,false,0.00,M10-PA-013-1d,20000.00,M10-PA-013,"DIA, XLB",1d,0,1,0.00,1,206.23,206.23,206.23,base,,0.00,0
0.00,43,-2.74,M10-PA-013 五分钟实验账户,19451.37,35.0377,1472972.46,1600000.00,12.8117,-127027.54,0.8763,-7.9392,32.55,experimental,34,4.09,1,false,-589.82,M10-PA-013-5m,20000.00,M10-PA-013,"ADBE, ARKK, AVGO, CRM, DIA, EEM, GOOG, HYG, IWM, LQD",5m,13,10,-867.61,10,-826.42,41.19,41.19,base,,20.93,9
