cash,closed_trade_count,cumulative_return_percent,display_name,equity,historical_average_holding_bars,historical_final_equity,historical_initial_capital,historical_max_drawdown_percent,historical_net_profit,historical_profit_factor,historical_return_percent,historical_win_rate_percent,lane,losing_trade_count,max_drawdown_percent,open_position_count,paper_trial_candidate_now,realized_pnl,runtime_id,starting_capital,strategy_id,symbols,timeframe,today_closed_count,today_opened_count,today_realized_pnl,today_signal_count,today_total_pnl,today_unrealized_pnl,unrealized_pnl,variant_id,variant_label,win_rate_percent,winning_trade_count
20000.00,0,0.00,M10-PA-005 日线实验账户,20000.00,,1489245.04,1600000.00,,-110754.96,,-6.9222,33.33,experimental,0,0.00,0,false,0.00,M10-PA-005-1d,20000.00,M10-PA-005,,1d,0,0,0.00,0,0.00,0.00,0.00,base,,0.00,0
0.00,24,1.59,M10-PA-005 五分钟实验账户,20317.41,,1489245.04,1600000.00,,-110754.96,,-6.9222,33.33,experimental,13,0.63,2,false,352.30,M10-PA-005-5m,20000.00,M10-PA-005,"AAPL, ADBE, HYG, MU, NOW, QCOM, SLV, SNOW, XLC, XLE",5m,19,20,4.19,20,-30.70,-34.89,-34.89,base,,45.83,11
0.00,2,-0.21,M10-PA-007 日线实验账户,19957.99,59.9109,5032367.04,5000000.00,3.8796,32367.04,1.0563,0.6473,41.15,experimental,2,0.78,9,false,-199.91,M10-PA-007-1d,20000.00,M10-PA-007,"AMZN, AVGO, GLD, MSFT, NVDA, ORCL, SLV, SNOW, XLB, XLF",1d,0,0,0.00,0,157.90,157.90,157.90,base,,0.00,0
17773.66,14,-0.84,PA004 强势突破跟进实验账户,19831.05,,,,,,,,,experimental,10,1.30,1,false,-255.14,M10-PA-004-MBF-1d,20000.00,M10-PA-004-MBF,"AMD, AVGO, MU, NOW, NVDA, ORCL, PANW, QCOM, SLV, USO",1d,9,4,241.53,4,327.72,86.19,86.19,momentum_breakout_followthrough,,28.57,4
17939.97,3,0.19,PA004 强势突破质量确认实验账户,20037.86,,,,,,,,,experimental,2,0.16,1,false,-50.02,M10-PA-004-MBF-QC-1d,20000.00,M10-PA-004-MBF-QC,"AVGO, MU, NOW, PANW",1d,3,2,-50.02,2,37.86,87.88,87.88,momentum_breakout_quality_confirmed,,33.33,1
10500.91,0,1.41,M10-PA-008 日线实验账户,20282.51,227.1160,1664057.47,1600000.00,9.2807,64057.47,1.0532,4.0036,35.41,experimental,0,0.13,3,false,0.00,M10-PA-008-1d,20000.00,M10-PA-008,"IWM, SNOW, XLB",1d,0,1,0.00,1,282.51,282.51,282.51,base,,0.00,0
5787.14,0,0.13,M10-PA-009 日线实验账户,20026.96,199.6932,1616277.18,1600000.00,9.1580,16277.18,1.0159,1.0173,33.95,experimental,0,0.44,6,false,0.00,M10-PA-009-1d,20000.00,M10-PA-009,"ADBE, AMZN, ARKK, META, ORCL, XLI",1d,0,2,0.00,2,26.96,26.96,26.96,base,,0.00,0
20000.00,0,0.00,M10-PA-011 五分钟实验账户,20000.00,66.2441,786985.82,800000.00,3.8072,-13014.18,0.8270,-1.6268,28.81,experimental,0,0.00,0,false,0.00,M10-PA-011-5m,20000.00,M10-PA-011,,5m,0,0,0.00,0,0.00,0.00,0.00,base,,0.00,0
3683.19,0,0.89,M10-PA-013 日线实验账户,20178.58,35.0377,1472972.46,1600000.00,12.8117,-127027.54,0.8763,-7.9392,32.55,experimental,0,0.40,2,false,0.00,M10-PA-013-1d,20000.00,M10-PA-013,"DIA, XLB",1d,0,0,0.00,0,178.58,178.58,178.58,base,,0.00,0
0.00,73,0.94,M10-PA-013 五分钟实验账户,20188.58,35.0377,1472972.46,1600000.00,12.8117,-127027.54,0.8763,-7.9392,32.55,experimental,49,0.46,1,false,192.13,M10-PA-013-5m,20000.00,M10-PA-013,"AAPL, ADBE, ARKK, AVGO, CRM, DIA, EEM, EFA, GOOG, HYG",5m,30,30,781.95,30,778.40,-3.55,-3.55,base,,32.88,24
