cash,closed_trade_count,cumulative_return_percent,display_name,equity,historical_average_holding_bars,historical_final_equity,historical_initial_capital,historical_max_drawdown_percent,historical_net_profit,historical_profit_factor,historical_return_percent,historical_win_rate_percent,lane,losing_trade_count,max_drawdown_percent,open_position_count,paper_trial_candidate_now,realized_pnl,runtime_id,starting_capital,strategy_id,symbols,timeframe,today_closed_count,today_opened_count,today_realized_pnl,today_signal_count,today_total_pnl,today_unrealized_pnl,unrealized_pnl,variant_id,variant_label,win_rate_percent,winning_trade_count
0.00,12,-3.10,M10-PA-001 日线账户,19379.61,368.2969,1995723.86,1600000.00,34.1783,395723.86,1.0580,24.7327,35.84,mainline,11,3.10,18,false,-473.14,M10-PA-001-1d,20000.00,M10-PA-001,"ADBE, DIA, EEM, EFA, GLD, IWM, LQD, MSFT, QQQ, SLV",1d,0,0,0.00,0,-147.25,-147.25,-147.25,base,,8.33,1
-0.01,22,0.18,M10-PA-001 五分钟账户,20036.07,368.2969,1995723.86,1600000.00,34.1783,395723.86,1.0580,24.7327,35.84,mainline,15,2.14,1,false,59.55,M10-PA-001-5m,20000.00,M10-PA-001,"DIA, LQD, MSFT, QQQ, SPY, XLC, XLE, XLF, XLK, XLU",5m,3,2,54.36,2,30.88,-23.48,-23.48,base,,31.82,7
14716.42,32,-3.03,M10-PA-002 日线账户,19393.59,83.2629,1652496.28,1600000.00,23.5592,52496.28,1.0144,3.2810,34.92,mainline,23,3.03,2,false,-761.35,M10-PA-002-1d,20000.00,M10-PA-002,"EEM, INTC, IVV, IWM, LQD, MU, NVDA, PANW, QQQ, SMH",1d,2,1,-121.21,1,33.73,154.94,154.94,base,,28.12,9
0.00,108,-1.63,M10-PA-002 五分钟账户,19674.52,83.2629,1652496.28,1600000.00,23.5592,52496.28,1.0144,3.2810,34.92,mainline,80,2.25,3,false,-295.66,M10-PA-002-5m,20000.00,M10-PA-002,"AAPL, AMD, AMZN, ARKK, CRM, DIA, EEM, GLD, GOOG, GOOGL",5m,20,21,138.59,21,108.77,-29.82,-29.82,base,,25.93,28
17687.03,1,1.25,M10-PA-004 只做多日线账户,20249.01,44.8673,4725989.23,4700000.00,2.0479,25989.23,1.1594,0.5530,40.24,mainline,0,0.90,2,false,200.00,M10-PA-004-long-1d,20000.00,M10-PA-004,"CRM, NOW, SQQQ",1d,0,0,0.00,0,49.01,49.01,49.01,long_only,,100.00,1
0.00,77,2.38,M10-PA-012 五分钟账户,20476.54,488.3762,1015141.29,800000.00,12.7415,215141.29,1.1674,26.8927,38.15,mainline,40,0.00,7,false,403.27,M10-PA-012-5m,20000.00,M10-PA-012,"DIA, GLD, IVV, IWM, QQQ, SLV, SMH, SPY, SQQQ, TQQQ",5m,17,20,569.16,20,642.43,73.27,73.27,base,,48.05,37
0.00,40,-4.19,M12-FTD-001 原版日线账户,19162.33,,710436.65,,48.65,610436.65,1.09,610.44,3736.00,mainline,34,4.19,5,false,-1040.76,M12-FTD-001-baseline-1d,20000.00,M12-FTD-001,"AAPL, AVGO, CRM, DIA, GLD, GOOG, IWM, LQD, META, MU",1d,5,7,-245.74,7,-42.65,203.09,203.09,baseline,baseline,15.00,6
0.00,32,-4.28,M12-FTD-001 连亏保护日线账户,19144.93,,1236150.29,,25.07,1136150.29,1.19,1136.15,3948.00,mainline,27,4.28,4,false,-1081.90,M12-FTD-001-loss-streak-guard-1d,20000.00,M12-FTD-001,"AAPL, AVGO, DIA, EFA, GLD, GOOG, IWM, LQD, MU, ORCL",1d,4,5,-279.09,5,-52.26,226.83,226.83,loss_streak_guard,loss_streak_guard,15.62,5
0.00,0,0.32,M10-PA-005 日线实验账户,20064.03,,1489245.04,1600000.00,,-110754.96,,-6.9222,33.33,experimental,0,0.02,3,false,0.00,M10-PA-005-1d,20000.00,M10-PA-005,"HYG, LQD, XLU",1d,0,3,0.00,3,64.03,64.03,64.03,base,,0.00,0
0.00,64,3.76,M10-PA-005 五分钟实验账户,20752.58,,1489245.04,1600000.00,,-110754.96,,-6.9222,33.33,experimental,45,1.51,2,false,758.19,M10-PA-005-5m,20000.00,M10-PA-005,"AAPL, ADBE, AMD, AMZN, GOOG, HYG, INTC, META, MU, NOW",5m,26,27,6.28,27,0.67,-5.61,-5.61,base,,29.69,19
0.00,3,-0.40,M10-PA-007 日线实验账户,19920.89,59.9109,5032367.04,5000000.00,3.8796,32367.04,1.0563,0.6473,41.15,experimental,2,1.18,10,false,-0.43,M10-PA-007-1d,20000.00,M10-PA-007,"AMZN, AVGO, GLD, MSFT, NVDA, ORCL, SLV, SNOW, XLB, XLE",1d,0,0,0.00,0,-78.68,-78.68,-78.68,base,,33.33,1
15569.41,18,-1.51,PA004 强势突破跟进实验账户,19698.67,,,,,,,,,experimental,13,1.96,1,false,-488.14,M10-PA-004-MBF-1d,20000.00,M10-PA-004-MBF,"AMD, AVGO, INTC, MU, NOW, NVDA, ORCL, PANW, QCOM, SLV",1d,1,1,-98.87,1,87.94,186.81,186.81,momentum_breakout_followthrough,,27.78,5
19914.74,5,-0.43,PA004 强势突破质量确认实验账户,19914.74,,,,,,,,,experimental,3,0.77,0,false,-85.26,M10-PA-004-MBF-QC-1d,20000.00,M10-PA-004-MBF-QC,"AVGO, MU, NOW, PANW, USO",1d,1,1,-100.07,1,-100.07,0.00,0.00,momentum_breakout_quality_confirmed,,40.00,2
13439.73,1,0.79,M10-PA-008 日线实验账户,20157.56,227.1160,1664057.47,1600000.00,9.2807,64057.47,1.0532,4.0036,35.41,experimental,0,1.36,4,false,200.00,M10-PA-008-1d,20000.00,M10-PA-008,"EEM, IWM, ORCL, SNOW, XLB",1d,0,0,0.00,0,-42.44,-42.44,-42.44,base,,100.00,1
10886.73,3,-0.38,M10-PA-009 日线实验账户,19924.38,199.6932,1616277.18,1600000.00,9.1580,16277.18,1.0159,1.0173,33.95,experimental,2,1.49,5,false,-0.25,M10-PA-009-1d,20000.00,M10-PA-009,"ADBE, AMD, AMZN, ARKK, GOOG, META, ORCL, XLI",1d,0,0,0.00,0,-75.37,-75.37,-75.37,base,,33.33,1
20000.00,0,0.00,M10-PA-011 五分钟实验账户,20000.00,66.2441,786985.82,800000.00,3.8072,-13014.18,0.8270,-1.6268,28.81,experimental,0,0.00,0,false,0.00,M10-PA-011-5m,20000.00,M10-PA-011,,5m,0,0,0.00,0,0.00,0.00,0.00,base,,0.00,0
12571.14,2,0.69,M10-PA-013 日线实验账户,20137.96,35.0377,1472972.46,1600000.00,12.8117,-127027.54,0.8763,-7.9392,32.55,experimental,1,0.82,1,false,99.93,M10-PA-013-1d,20000.00,M10-PA-013,"DIA, XLB, XLF",1d,1,1,-100.07,1,-62.04,38.03,38.03,base,,50.00,1
0.00,151,3.55,M10-PA-013 五分钟实验账户,20710.02,35.0377,1472972.46,1600000.00,12.8117,-127027.54,0.8763,-7.9392,32.55,experimental,114,0.80,1,false,715.61,M10-PA-013-5m,20000.00,M10-PA-013,"AAPL, ADBE, AMD, AMZN, ARKK, AVGO, CRM, DIA, EEM, EFA",5m,19,17,-116.18,17,-121.77,-5.59,-5.59,base,,24.50,37
