variant_id,variant_title,symbol,initial_capital,final_equity,net_profit,return_percent,trade_count,win_rate,profit_factor,max_drawdown_percent,average_holding_bars,max_consecutive_losses
baseline,M12.12 简化版,SPY,100000.00,112882.03,12882.03,12.88,928,36.31,1.04,14.96,4.79,18
baseline,M12.12 简化版,QQQ,100000.00,140730.10,40730.10,40.73,935,38.07,1.14,10.01,4.90,15
baseline,M12.12 简化版,IWM,100000.00,90192.79,-9807.21,-9.81,900,34.44,0.97,21.51,4.86,17
baseline,M12.12 简化版,DIA,100000.00,119827.14,19827.14,19.83,875,37.03,1.07,17.04,4.90,15
baseline,M12.12 简化版,VTI,100000.00,97545.95,-2454.05,-2.45,924,35.06,0.99,22.42,4.65,14
baseline,M12.12 简化版,VOO,100000.00,117743.42,17743.42,17.74,918,36.60,1.06,11.89,4.46,28
baseline,M12.12 简化版,IVV,100000.00,118943.81,18943.81,18.94,938,36.78,1.06,12.11,4.52,31
baseline,M12.12 简化版,XLK,100000.00,136644.48,36644.48,36.64,932,37.88,1.13,10.69,4.86,14
baseline,M12.12 简化版,XLF,100000.00,98274.63,-1725.37,-1.73,810,35.43,0.99,26.21,4.80,13
baseline,M12.12 简化版,XLE,100000.00,116211.09,16211.09,16.21,841,37.10,1.06,10.81,4.81,11
baseline,M12.12 简化版,XLV,100000.00,119767.54,19767.54,19.77,884,36.65,1.07,16.84,4.99,20
baseline,M12.12 简化版,XLY,100000.00,120542.96,20542.96,20.54,942,36.84,1.07,13.30,4.54,16
baseline,M12.12 简化版,XLI,100000.00,133923.81,33923.81,33.92,887,37.88,1.12,11.56,4.72,12
baseline,M12.12 简化版,XLP,100000.00,111943.99,11943.99,11.94,893,36.51,1.04,23.75,4.86,18
baseline,M12.12 简化版,XLU,100000.00,98886.35,-1113.65,-1.11,931,34.59,1.00,21.33,4.73,14
baseline,M12.12 简化版,XLC,100000.00,107422.20,7422.20,7.42,475,36.84,1.05,13.06,4.68,14
baseline,M12.12 简化版,XLB,100000.00,93796.08,-6203.92,-6.20,878,34.74,0.98,24.97,4.70,19
