strategy_id,symbol,timeframe,direction,signal_timestamp,entry_timestamp,entry_price,stop_price,target_price,risk_per_share,exit_timestamp,exit_price,exit_reason,gross_r,baseline_net_r,setup_notes
M10-PA-012,SPY,5m,short,2024-04-01T10:20:00-04:00,2024-04-01T10:25:00-04:00,523.220,524.380,520.900,1.160,2024-04-02T09:30:00-04:00,520.900,target_hit,2.0000,1.9100,opening_range_breakout_2024-04-01
M10-PA-012,SPY,5m,short,2024-04-02T10:15:00-04:00,2024-04-02T10:20:00-04:00,516.820,518.460,513.540,1.640,2024-04-02T15:05:00-04:00,518.460,stop_hit,-1.0000,-1.0631,opening_range_breakout_2024-04-02
M10-PA-012,SPY,5m,long,2024-04-03T10:05:00-04:00,2024-04-03T10:10:00-04:00,519.550,517.670,523.310,1.880,2024-04-04T09:30:00-04:00,523.310,target_hit,2.0000,1.9445,opening_range_breakout_2024-04-03
M10-PA-012,SPY,5m,short,2024-04-04T13:55:00-04:00,2024-04-04T14:00:00-04:00,521.865,523.700,518.195,1.835,2024-04-04T14:25:00-04:00,518.195,target_hit,2.0000,1.9433,opening_range_breakout_2024-04-04
M10-PA-012,SPY,5m,long,2024-04-05T10:50:00-04:00,2024-04-05T10:55:00-04:00,517.450,514.010,524.330,3.440,2024-04-10T09:30:00-04:00,514.010,stop_hit,-1.0000,-1.0300,opening_range_breakout_2024-04-05
M10-PA-012,SPY,5m,long,2024-04-08T10:30:00-04:00,2024-04-08T10:35:00-04:00,519.800,517.985,523.430,1.815,2024-04-08T12:20:00-04:00,517.985,stop_hit,-1.0000,-1.0572,opening_range_breakout_2024-04-08
M10-PA-012,SPY,5m,short,2024-04-09T10:30:00-04:00,2024-04-09T10:35:00-04:00,516.695,520.750,508.585,4.055,2024-04-15T13:20:00-04:00,508.585,target_hit,2.0000,1.9747,opening_range_breakout_2024-04-09
M10-PA-012,SPY,5m,long,2024-04-10T10:20:00-04:00,2024-04-10T10:25:00-04:00,514.690,512.670,518.730,2.020,2024-04-10T13:00:00-04:00,512.670,stop_hit,-1.0000,-1.0509,opening_range_breakout_2024-04-10
M10-PA-012,SPY,5m,short,2024-04-11T10:05:00-04:00,2024-04-11T10:10:00-04:00,513.220,515.860,507.940,2.640,2024-04-11T13:00:00-04:00,515.860,stop_hit,-1.0000,-1.0390,opening_range_breakout_2024-04-11
M10-PA-012,SPY,5m,short,2024-04-12T10:30:00-04:00,2024-04-12T10:35:00-04:00,513.580,515.810,509.120,2.230,2024-04-12T15:15:00-04:00,509.120,target_hit,2.0000,1.9541,opening_range_breakout_2024-04-12
M10-PA-012,SPY,5m,short,2024-04-15T10:10:00-04:00,2024-04-15T10:15:00-04:00,512.540,515.300,507.020,2.760,2024-04-15T13:25:00-04:00,507.020,target_hit,2.0000,1.9631,opening_range_breakout_2024-04-15
M10-PA-012,SPY,5m,long,2024-04-16T14:55:00-04:00,2024-04-16T15:00:00-04:00,505.820,502.960,511.540,2.860,2024-04-17T10:50:00-04:00,502.960,stop_hit,-1.0000,-1.0353,opening_range_breakout_2024-04-16
M10-PA-012,SPY,5m,short,2024-04-17T10:05:00-04:00,2024-04-17T10:10:00-04:00,504.740,506.220,501.780,1.480,2024-04-17T11:30:00-04:00,501.780,target_hit,2.0000,1.9320,opening_range_breakout_2024-04-17
M10-PA-012,SPY,5m,long,2024-04-18T10:35:00-04:00,2024-04-18T10:40:00-04:00,502.491,499.730,508.013,2.761,2024-04-18T13:15:00-04:00,499.730,stop_hit,-1.0000,-1.0363,opening_range_breakout_2024-04-18
M10-PA-012,SPY,5m,short,2024-04-19T10:20:00-04:00,2024-04-19T10:25:00-04:00,497.910,500.455,492.820,2.545,2024-04-22T13:45:00-04:00,500.455,stop_hit,-1.0000,-1.0392,opening_range_breakout_2024-04-19
M10-PA-012,SPY,5m,short,2024-04-22T10:30:00-04:00,2024-04-22T10:35:00-04:00,496.570,498.070,493.570,1.500,2024-04-22T12:15:00-04:00,498.070,stop_hit,-1.0000,-1.0663,opening_range_breakout_2024-04-22
M10-PA-012,SPY,5m,long,2024-04-23T10:30:00-04:00,2024-04-23T10:35:00-04:00,504.990,501.225,512.520,3.765,2024-04-25T09:30:00-04:00,501.225,stop_hit,-1.0000,-1.0267,opening_range_breakout_2024-04-23
M10-PA-012,SPY,5m,short,2024-04-24T10:40:00-04:00,2024-04-24T10:45:00-04:00,505.410,507.360,501.510,1.950,2024-04-25T09:30:00-04:00,501.510,target_hit,2.0000,1.9484,opening_range_breakout_2024-04-24
M10-PA-012,SPY,5m,long,2024-04-25T11:35:00-04:00,2024-04-25T11:40:00-04:00,499.560,497.865,502.950,1.695,2024-04-25T13:35:00-04:00,502.950,target_hit,2.0000,1.9409,opening_range_breakout_2024-04-25
M10-PA-012,SPY,5m,long,2024-04-26T10:05:00-04:00,2024-04-26T10:10:00-04:00,508.580,505.710,514.320,2.870,2024-04-30T12:30:00-04:00,505.710,stop_hit,-1.0000,-1.0353,opening_range_breakout_2024-04-26
M10-PA-012,SPY,5m,short,2024-04-29T14:35:00-04:00,2024-04-29T14:40:00-04:00,509.010,510.750,505.530,1.740,2024-04-30T12:30:00-04:00,505.530,target_hit,2.0000,1.9417,opening_range_breakout_2024-04-29
M10-PA-012,SPY,5m,short,2024-04-30T11:05:00-04:00,2024-04-30T11:10:00-04:00,507.363,509.530,503.029,2.167,2024-04-30T15:55:00-04:00,503.029,target_hit,2.0000,1.9534,opening_range_breakout_2024-04-30
M10-PA-012,SPY,5m,short,2024-05-01T13:15:00-04:00,2024-05-01T13:20:00-04:00,499.950,501.830,496.190,1.880,2024-05-01T14:00:00-04:00,501.830,stop_hit,-1.0000,-1.0533,opening_range_breakout_2024-05-01
