row_id,symbol,strategy_id,strategy_title,timeframe,signal_date,signal_time,direction,simulated_intraday_pnl,simulated_state,has_event,event_ids,event_types,event_titles,event_move_percent,news_direction_alignment,event_effect,plain_effect,m12_41_preliminary_conclusion,source_refs,paper_simulated_only,broker_connection,real_orders,live_execution
m12_40_00001,QQQ,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:35:00,看跌,-349.51,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00002,IWM,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:20:00,看涨,621.79,触及目标参考,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00003,DIA,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:05:00,看涨,697.26,触及目标参考,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00004,VTI,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T11:05:00,看涨,54.40,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00005,XLK,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:05:00,看跌,-227.58,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00006,XLF,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:15:00,看涨,32.54,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00007,XLE,M10-PA-001,趋势回调二次入场,1d,2026-04-30,2026-04-30T16:00:00-04:00,看跌,-746.81,触及止损参考,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00008,XLE,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:30:00,看涨,175.00,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00009,XLE,M12-FTD-001,方方土日线趋势顺势信号K,1d,2026-04-30,2026-04-30T16:00:00-04:00,看涨,-11.17,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00010,XLV,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:05:00,看涨,367.82,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00011,XLI,M10-PA-001,趋势回调二次入场,1d,2026-04-30,2026-04-30T16:00:00-04:00,看涨,-10.10,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00012,XLI,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:05:00,看涨,407.17,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00013,XLP,M10-PA-002,突破后续跟进,1d,2026-04-30,2026-04-30T16:00:00-04:00,看涨,-8.33,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00014,XLP,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:15:00,看涨,-55.28,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00015,XLU,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:15:00,看涨,-26.32,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00016,XLC,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:45:00,看涨,264.71,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00017,XLB,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:10:00,看涨,657.41,触及目标参考,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00018,SMH,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:35:00,看跌,-393.52,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00019,SOXX,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:35:00,看跌,-558.97,触及止损参考,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00020,TQQQ,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:35:00,看跌,-345.63,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00021,SQQQ,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:35:00,看涨,-343.92,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00022,SLV,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:35:00,看跌,-200.00,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00023,USO,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:35:00,看涨,-554.38,触及止损参考,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00024,TLT,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:10:00,看跌,-156.25,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00025,HYG,M10-PA-001,趋势回调二次入场,1d,2026-04-30,2026-04-30T16:00:00-04:00,看涨,-81.08,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00026,HYG,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:30:00,看涨,166.67,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00027,LQD,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:05:00,看跌,-518.52,触及止损参考,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00028,EEM,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T11:05:00,看涨,59.52,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00029,EFA,M10-PA-001,趋势回调二次入场,1d,2026-04-30,2026-04-30T16:00:00-04:00,看涨,-16.89,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00030,EFA,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:10:00,看涨,934.78,触及目标参考,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00031,ARKK,M10-PA-001,趋势回调二次入场,1d,2026-04-30,2026-04-30T16:00:00-04:00,看涨,-28.45,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00032,ARKK,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:40:00,看涨,457.39,触及目标参考,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00033,AAPL,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:00:00,看涨,58.74,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00034,MSFT,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:00:00,看跌,6.84,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00035,MSFT,M12-FTD-001,方方土日线趋势顺势信号K,1d,2026-04-30,2026-04-30T16:00:00-04:00,看跌,-111.27,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00036,NVDA,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:05:00,看跌,95.18,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00037,NVDA,M12-FTD-001,方方土日线趋势顺势信号K,1d,2026-04-30,2026-04-30T16:00:00-04:00,看跌,-74.14,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00038,AMZN,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T11:35:00,看跌,-31.13,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00039,GOOGL,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:30:00,看跌,-388.32,观察中,true,alphabet-q1-2026-earnings-postmarket,earnings,Alphabet Q1 2026 earnings post-market gap,7.17,相反,earnings_gap_opposite,财报/盘前盘后异动与策略方向相反，优先做风险拦截候选,risk_filter_only,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000043/googexhibit991q12026.htm | local:longbridge_quote_post_market_snapshot_2026-04-29,true,false,false,false
m12_40_00040,GOOG,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:35:00,看跌,-376.32,观察中,true,alphabet-q1-2026-earnings-postmarket,earnings,Alphabet Q1 2026 earnings post-market gap,7.05,相反,earnings_gap_opposite,财报/盘前盘后异动与策略方向相反，优先做风险拦截候选,risk_filter_only,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000043/googexhibit991q12026.htm | local:longbridge_quote_post_market_snapshot_2026-04-29,true,false,false,false
m12_40_00041,META,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:15:00,看跌,-208.96,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00042,TSLA,M10-PA-001,趋势回调二次入场,1d,2026-04-30,2026-04-30T16:00:00-04:00,看跌,-209.46,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00043,TSLA,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:45:00,看涨,423.68,触及目标参考,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00044,AVGO,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:25:00,看跌,-256.27,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00045,AMD,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:00:00,看涨,158.82,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00046,INTC,M10-PA-001,趋势回调二次入场,1d,2026-04-30,2026-04-30T16:00:00-04:00,看涨,-33.48,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00047,INTC,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:35:00,看跌,-247.60,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00048,MU,M10-PA-001,趋势回调二次入场,1d,2026-04-30,2026-04-30T16:00:00-04:00,看涨,-145.15,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00049,MU,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:05:00,看跌,76.33,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
