symbol,timeframe,coverage_status,ready_for_daily_test,lineage,cache_path,cache_start,cache_end,row_count,coverage_reason
SPY,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_SPY_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3980,覆盖目标窗口。
SPY,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_SPY_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
SPY,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_SPY_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
SPY,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_SPY_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
SPY,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_SPY_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
QQQ,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_QQQ_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3981,覆盖目标窗口。
QQQ,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_QQQ_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
QQQ,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_QQQ_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
QQQ,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_QQQ_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
QQQ,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_QQQ_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
IWM,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_IWM_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3978,覆盖目标窗口。
IWM,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_IWM_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
IWM,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_IWM_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
IWM,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_IWM_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
IWM,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_IWM_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
DIA,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_DIA_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3980,覆盖目标窗口。
DIA,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_DIA_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
DIA,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_DIA_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
DIA,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_DIA_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
DIA,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_DIA_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
VTI,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_VTI_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3979,覆盖目标窗口。
VTI,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_VTI_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
VTI,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_VTI_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
VTI,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_VTI_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
VTI,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_VTI_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
VOO,1d,complete_from_first_available_bar,true,native_daily_cache,local_data/longbridge_history/us_VOO_1d_2010-06-29_2026-04-27_longbridge.csv,2010-09-09,2026-04-27,3930,已从目标起点请求，首根K线晚于目标起点，视作上市/数据起点较晚。
VOO,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_VOO_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
VOO,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_VOO_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
