symbol,in_first50,daily_ready,current_5m_ready,long_5m_full_ready,scanner_ready_scope,m12_8_daily_status,m12_8_5m_status
SPY,true,true,true,false,daily_and_current_session,stale_cache,stale_cache
QQQ,true,true,true,false,daily_and_current_session,stale_cache,stale_cache
IWM,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
DIA,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
VTI,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
VOO,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
IVV,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
XLK,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
XLF,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
XLE,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
XLV,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
XLY,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
XLI,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
XLP,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
XLU,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
XLC,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
XLB,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
SMH,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
SOXX,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
TQQQ,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
SQQQ,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
GLD,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
SLV,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
USO,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
TLT,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
HYG,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
LQD,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
EEM,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
EFA,true,true,true,false,daily_and_current_session,missing_cache,missing_cache
