grain,strategy_id,timeframe,symbol,cost_tier,account_count,initial_capital,final_equity,net_profit,return_percent,trade_count,win_rate,profit_factor,max_drawdown,max_drawdown_percent,max_consecutive_losses,average_win,average_loss,average_holding_bars,best_symbol,worst_symbol,best_timeframe,worst_timeframe,quality_flag,status
strategy_timeframe_symbol,M10-PA-004,1d,AAPL,baseline,1,100000.00,102391.07,2391.07,2.3911,50,0.4000,1.1722,4435.61,4.4356,4,813.87,-462.88,37.2185,AAPL,AAPL,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-004,1d,AAPL,stress_high,1,100000.00,101409.49,1409.49,1.4095,50,0.4000,1.0976,4923.99,4.9240,4,792.83,-481.57,37.2185,AAPL,AAPL,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-004,1d,AAPL,stress_low,1,100000.00,102144.82,2144.82,2.1448,50,0.4000,1.1529,4557.94,4.5579,4,808.59,-467.57,37.2185,AAPL,AAPL,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-004,1d,ADBE,baseline,1,100000.00,95450.13,-4549.87,-4.5499,47,0.2979,0.6962,7190.34,7.1903,6,744.86,-453.87,39.2766,ADBE,ADBE,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-004,1d,ADBE,stress_high,1,100000.00,94726.97,-5273.03,-5.2730,47,0.2979,0.6601,7604.66,7.6047,6,731.35,-470.06,39.2766,ADBE,ADBE,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-004,1d,ADBE,stress_low,1,100000.00,95268.84,-4731.16,-4.7312,47,0.2979,0.6869,7294.08,7.2941,6,741.47,-457.93,39.2766,ADBE,ADBE,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-004,1d,AMD,baseline,1,100000.00,99520.93,-479.07,-0.4791,48,0.3542,0.9688,4563.59,4.5636,6,875.58,-495.61,40.0769,AMD,AMD,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-004,1d,AMD,stress_high,1,100000.00,99170.10,-829.90,-0.8299,48,0.3542,0.9466,4706.21,4.7062,6,866.17,-501.77,40.0769,AMD,AMD,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-004,1d,AMD,stress_low,1,100000.00,99433.11,-566.89,-0.5669,48,0.3542,0.9632,4599.28,4.5993,6,873.23,-497.15,40.0769,AMD,AMD,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-004,1d,AMZN,baseline,1,100000.00,105446.59,5446.59,5.4466,48,0.4167,1.3993,3797.19,3.7972,7,954.27,-487.10,24.5385,AMZN,AMZN,1d,1d,normal_density_review,completed_capital_test
