strategy_id,symbol,timeframe,cost_tier,sequence,event_id,trade_id,direction,signal_timestamp,entry_timestamp,exit_timestamp,entry_price,stop_price,target_price,exit_price,risk_per_share,risk_budget,risk_budget_quantity,notional_cap_quantity,quantity,equity_before,gross_pnl,cost_pnl,pnl,equity_after,win,exit_reason,holding_bars_approx,quality_flag,spec_ref,source_ledger_ref,skip_reason
M10-PA-004,AAPL,1d,baseline,1,03bc158d580629cd,03bc158d580629cd:baseline,short,2012-04-13T16:00:00-04:00,2012-04-16T16:00:00-04:00,2012-05-14T16:00:00-04:00,610.0600,644.0000,542.1800,558.2200,33.9400,500.00,14.7319,163.9183,14.7319,100000.00,763.70,1.72,761.98,100761.98,true,max_holding_exit,103.3846,m12_23_tightened_detector_small_pilot,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_detector_tightening_summary.json,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_tightened_detector_events.jsonl,
M10-PA-004,AAPL,1d,baseline,2,95663d14546d6c4d,95663d14546d6c4d:baseline,short,2012-08-30T16:00:00-04:00,2012-08-31T16:00:00-04:00,2012-09-07T16:00:00-04:00,667.2500,680.8700,640.0100,680.8700,13.6200,503.81,36.9904,151.0108,36.9904,100761.98,-503.81,4.99,-508.80,100253.18,false,stop_hit,25.8462,m12_23_tightened_detector_small_pilot,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_detector_tightening_summary.json,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_tightened_detector_events.jsonl,
M10-PA-004,AAPL,1d,baseline,3,b27f486c33e0d0ab,b27f486c33e0d0ab:baseline,long,2012-11-19T16:00:00-05:00,2012-11-20T16:00:00-05:00,2012-12-06T16:00:00-05:00,571.9100,522.6200,670.4900,522.6200,49.2900,501.27,10.1697,175.2954,10.1697,100253.18,-501.27,1.11,-502.38,99750.80,false,stop_hit,59.0769,m12_23_tightened_detector_small_pilot,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_detector_tightening_summary.json,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_tightened_detector_events.jsonl,
M10-PA-004,AAPL,1d,baseline,4,626ea3d3036480c4,626ea3d3036480c4:baseline,long,2012-12-31T16:00:00-05:00,2013-01-02T16:00:00-05:00,2013-01-14T16:00:00-05:00,553.8200,501.2300,659.0000,501.2300,52.5900,498.75,9.4838,180.1141,9.4838,99750.80,-498.75,1.00,-499.75,99251.05,false,stop_hit,44.3077,m12_23_tightened_detector_small_pilot,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_detector_tightening_summary.json,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_tightened_detector_events.jsonl,
M10-PA-004,AAPL,1d,baseline,5,a1aae8786dbd75dd,a1aae8786dbd75dd:baseline,long,2013-01-16T16:00:00-05:00,2013-01-17T16:00:00-05:00,2013-01-18T16:00:00-05:00,510.3100,498.5100,533.9100,498.5100,11.8000,496.26,42.0555,194.4917,42.0555,99251.05,-496.26,4.24,-500.50,98750.55,false,stop_hit,3.6923,m12_23_tightened_detector_small_pilot,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_detector_tightening_summary.json,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_tightened_detector_events.jsonl,
M10-PA-004,AAPL,1d,baseline,6,d4f49fe6597343f1,d4f49fe6597343f1:baseline,long,2013-03-11T16:00:00-04:00,2013-03-12T16:00:00-04:00,2013-03-25T16:00:00-04:00,435.6000,419.0000,468.8000,468.8000,16.6000,493.75,29.7441,226.7001,29.7441,98750.55,987.51,2.69,984.82,99735.37,true,target_hit,48.0000,m12_23_tightened_detector_small_pilot,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_detector_tightening_summary.json,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_tightened_detector_events.jsonl,
M10-PA-004,AAPL,1d,baseline,7,4b181220455abdc0,4b181220455abdc0:baseline,long,2013-04-08T16:00:00-04:00,2013-04-09T16:00:00-04:00,2013-04-17T16:00:00-04:00,426.3600,419.0000,441.0800,419.0000,7.3600,498.68,67.7550,233.9229,67.7550,99735.37,-498.68,5.73,-504.40,99230.96,false,stop_hit,29.5385,m12_23_tightened_detector_small_pilot,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_detector_tightening_summary.json,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_tightened_detector_events.jsonl,
M10-PA-004,AAPL,1d,baseline,8,b887420875d66ccd,b887420875d66ccd:baseline,short,2013-05-10T16:00:00-04:00,2013-05-13T16:00:00-04:00,2013-06-11T16:00:00-04:00,451.5100,469.9500,414.6300,437.6000,18.4400,496.15,26.9064,219.7758,26.9064,99230.96,374.27,2.39,371.88,99602.84,true,max_holding_exit,107.0769,m12_23_tightened_detector_small_pilot,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_detector_tightening_summary.json,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_tightened_detector_events.jsonl,
M10-PA-004,AAPL,1d,baseline,9,451e7c304d3a083a,451e7c304d3a083a:baseline,short,2013-08-08T16:00:00-04:00,2013-08-09T16:00:00-04:00,2013-08-13T16:00:00-04:00,458.6400,471.8900,432.1400,471.8900,13.2500,498.01,37.5860,217.1700,37.5860,99602.84,-498.01,3.50,-501.51,99101.33,false,stop_hit,14.7692,m12_23_tightened_detector_small_pilot,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_detector_tightening_summary.json,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_tightened_detector_events.jsonl,
M10-PA-004,AAPL,1d,baseline,10,6d2e6d41e4d44817,6d2e6d41e4d44817:baseline,short,2013-12-06T16:00:00-05:00,2013-12-09T16:00:00-05:00,2013-12-09T16:00:00-05:00,560.9000,569.1900,544.3200,569.1900,8.2900,495.51,59.7716,176.6827,59.7716,99101.33,-495.51,6.75,-502.26,98599.07,false,stop_hit,0.0000,m12_23_tightened_detector_small_pilot,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_detector_tightening_summary.json,reports/strategy_lab/m10_price_action_strategy_refresh/visual_detectors/m12_23/m12_23_tightened_detector_events.jsonl,
