account_count,average_holding_bars,average_loss,average_win,best_symbol,best_timeframe,cohort_id,cohort_label,cost_tier,final_equity,grain,initial_capital,max_consecutive_losses,max_drawdown,max_drawdown_percent,net_profit,profit_factor,quality_flag,return_percent,status,strategy_id,symbol,timeframe,trade_count,win_rate,worst_symbol,worst_timeframe
1,37.2185,-462.88,813.87,AAPL,1d,all_m12_24,原小范围全样本,baseline,102391.07,strategy_timeframe_symbol,100000.00,4,4435.61,4.4356,2391.07,1.1722,normal_density_review,2.3911,completed_capital_test,M10-PA-004,AAPL,1d,50,0.4000,AAPL,1d
1,37.2185,-481.57,792.83,AAPL,1d,all_m12_24,原小范围全样本,stress_high,101409.49,strategy_timeframe_symbol,100000.00,4,4923.99,4.9240,1409.49,1.0976,normal_density_review,1.4095,completed_capital_test,M10-PA-004,AAPL,1d,50,0.4000,AAPL,1d
1,37.2185,-467.57,808.59,AAPL,1d,all_m12_24,原小范围全样本,stress_low,102144.82,strategy_timeframe_symbol,100000.00,4,4557.94,4.5579,2144.82,1.1529,normal_density_review,2.1448,completed_capital_test,M10-PA-004,AAPL,1d,50,0.4000,AAPL,1d
1,39.2766,-453.87,744.86,ADBE,1d,all_m12_24,原小范围全样本,baseline,95450.13,strategy_timeframe_symbol,100000.00,6,7190.34,7.1903,-4549.87,0.6962,normal_density_review,-4.5499,completed_capital_test,M10-PA-004,ADBE,1d,47,0.2979,ADBE,1d
1,39.2766,-470.06,731.35,ADBE,1d,all_m12_24,原小范围全样本,stress_high,94726.97,strategy_timeframe_symbol,100000.00,6,7604.66,7.6047,-5273.03,0.6601,normal_density_review,-5.2730,completed_capital_test,M10-PA-004,ADBE,1d,47,0.2979,ADBE,1d
1,39.2766,-457.93,741.47,ADBE,1d,all_m12_24,原小范围全样本,stress_low,95268.84,strategy_timeframe_symbol,100000.00,6,7294.08,7.2941,-4731.16,0.6869,normal_density_review,-4.7312,completed_capital_test,M10-PA-004,ADBE,1d,47,0.2979,ADBE,1d
1,40.0769,-495.61,875.58,AMD,1d,all_m12_24,原小范围全样本,baseline,99520.93,strategy_timeframe_symbol,100000.00,6,4563.59,4.5636,-479.07,0.9688,normal_density_review,-0.4791,completed_capital_test,M10-PA-004,AMD,1d,48,0.3542,AMD,1d
1,40.0769,-501.77,866.17,AMD,1d,all_m12_24,原小范围全样本,stress_high,99170.10,strategy_timeframe_symbol,100000.00,6,4706.21,4.7062,-829.90,0.9466,normal_density_review,-0.8299,completed_capital_test,M10-PA-004,AMD,1d,48,0.3542,AMD,1d
1,40.0769,-497.15,873.23,AMD,1d,all_m12_24,原小范围全样本,stress_low,99433.11,strategy_timeframe_symbol,100000.00,6,4599.28,4.5993,-566.89,0.9632,normal_density_review,-0.5669,completed_capital_test,M10-PA-004,AMD,1d,48,0.3542,AMD,1d
1,24.5385,-487.10,954.27,AMZN,1d,all_m12_24,原小范围全样本,baseline,105446.59,strategy_timeframe_symbol,100000.00,7,3797.19,3.7972,5446.59,1.3993,normal_density_review,5.4466,completed_capital_test,M10-PA-004,AMZN,1d,48,0.4167,AMZN,1d
1,24.5385,-505.92,930.47,AMZN,1d,all_m12_24,原小范围全样本,stress_high,104443.57,strategy_timeframe_symbol,100000.00,7,4107.72,4.1077,4443.57,1.3137,normal_density_review,4.4436,completed_capital_test,M10-PA-004,AMZN,1d,48,0.4167,AMZN,1d
1,24.5385,-491.82,948.30,AMZN,1d,all_m12_24,原小范围全样本,stress_low,105194.97,strategy_timeframe_symbol,100000.00,7,3874.91,3.8749,5194.97,1.3772,normal_density_review,5.1950,completed_capital_test,M10-PA-004,AMZN,1d,48,0.4167,AMZN,1d
1,34.6218,-469.78,944.39,ARKK,1d,all_m12_24,原小范围全样本,baseline,101491.50,strategy_timeframe_symbol,100000.00,5,2659.71,2.6597,1491.50,1.1024,normal_density_review,1.4915,completed_capital_test,M10-PA-004,ARKK,1d,48,0.3542,ARKK,1d
1,34.6218,-482.33,929.72,ARKK,1d,all_m12_24,原小范围全样本,stress_high,100853.09,strategy_timeframe_symbol,100000.00,5,2829.81,2.8298,853.09,1.0571,normal_density_review,0.8531,completed_capital_test,M10-PA-004,ARKK,1d,48,0.3542,ARKK,1d
1,34.6218,-472.92,940.72,ARKK,1d,all_m12_24,原小范围全样本,stress_low,101331.54,strategy_timeframe_symbol,100000.00,5,2702.26,2.7023,1331.54,1.0908,normal_density_review,1.3315,completed_capital_test,M10-PA-004,ARKK,1d,48,0.3542,ARKK,1d
1,37.5417,-483.45,838.56,AVGO,1d,all_m12_24,原小范围全样本,baseline,101912.54,strategy_timeframe_symbol,100000.00,8,4278.81,4.2788,1912.54,1.1364,normal_density_review,1.9125,completed_capital_test,M10-PA-004,AVGO,1d,48,0.3958,AVGO,1d
1,37.5417,-493.83,823.27,AVGO,1d,all_m12_24,原小范围全样本,stress_high,101320.96,strategy_timeframe_symbol,100000.00,8,4464.05,4.4641,1320.96,1.0922,normal_density_review,1.3210,completed_capital_test,M10-PA-004,AVGO,1d,48,0.3958,AVGO,1d
1,37.5417,-486.05,834.73,AVGO,1d,all_m12_24,原小范围全样本,stress_low,101764.33,strategy_timeframe_symbol,100000.00,8,4325.29,4.3253,1764.33,1.1252,normal_density_review,1.7643,completed_capital_test,M10-PA-004,AVGO,1d,48,0.3958,AVGO,1d
1,36.3925,-463.67,959.20,CRM,1d,all_m12_24,原小范围全样本,baseline,98623.14,strategy_timeframe_symbol,100000.00,10,5748.12,5.7481,-1376.86,0.9127,normal_density_review,-1.3769,completed_capital_test,M10-PA-004,CRM,1d,49,0.3061,CRM,1d
1,36.3925,-480.66,942.96,CRM,1d,all_m12_24,原小范围全样本,stress_high,97802.10,strategy_timeframe_symbol,100000.00,10,6335.87,6.3359,-2197.90,0.8655,normal_density_review,-2.1979,completed_capital_test,M10-PA-004,CRM,1d,49,0.3061,CRM,1d
1,36.3925,-467.93,955.13,CRM,1d,all_m12_24,原小范围全样本,stress_low,98417.27,strategy_timeframe_symbol,100000.00,10,5895.57,5.8956,-1582.73,0.9005,normal_density_review,-1.5827,completed_capital_test,M10-PA-004,CRM,1d,49,0.3061,CRM,1d
1,12.3077,-429.33,0.00,DIA,1d,all_m12_24,原小范围全样本,baseline,98712.02,strategy_timeframe_symbol,100000.00,3,1287.98,1.2880,-1287.98,0.0000,normal_density_review,-1.2880,completed_capital_test,M10-PA-004,DIA,1d,3,0.0000,DIA,1d
1,12.3077,-469.70,0.00,DIA,1d,all_m12_24,原小范围全样本,stress_high,98590.91,strategy_timeframe_symbol,100000.00,3,1409.09,1.4091,-1409.09,0.0000,normal_density_review,-1.4091,completed_capital_test,M10-PA-004,DIA,1d,3,0.0000,DIA,1d
1,12.3077,-439.42,0.00,DIA,1d,all_m12_24,原小范围全样本,stress_low,98681.74,strategy_timeframe_symbol,100000.00,3,1318.26,1.3183,-1318.26,0.0000,normal_density_review,-1.3183,completed_capital_test,M10-PA-004,DIA,1d,3,0.0000,DIA,1d
1,49.8462,-447.22,697.05,EEM,1d,all_m12_24,原小范围全样本,baseline,96776.97,strategy_timeframe_symbol,100000.00,6,3566.18,3.5662,-3223.03,0.5195,normal_density_review,-3.2230,completed_capital_test,M10-PA-004,EEM,1d,20,0.2500,EEM,1d
1,49.8462,-464.81,682.18,EEM,1d,all_m12_24,原小范围全样本,stress_high,96438.76,strategy_timeframe_symbol,100000.00,6,3797.85,3.7979,-3561.24,0.4892,normal_density_review,-3.5612,completed_capital_test,M10-PA-004,EEM,1d,20,0.2500,EEM,1d
1,49.8462,-451.62,693.32,EEM,1d,all_m12_24,原小范围全样本,stress_low,96692.32,strategy_timeframe_symbol,100000.00,6,3624.19,3.6242,-3307.68,0.5117,normal_density_review,-3.3077,completed_capital_test,M10-PA-004,EEM,1d,20,0.2500,EEM,1d
1,31.0769,-454.95,989.17,EFA,1d,all_m12_24,原小范围全样本,baseline,100317.04,strategy_timeframe_symbol,100000.00,4,2001.38,2.0014,317.04,1.0871,normal_density_review,0.3170,completed_capital_test,M10-PA-004,EFA,1d,12,0.3333,EFA,1d
1,31.0769,-482.18,972.80,EFA,1d,all_m12_24,原小范围全样本,stress_high,100033.75,strategy_timeframe_symbol,100000.00,4,2066.67,2.0667,33.75,1.0087,normal_density_review,0.0338,completed_capital_test,M10-PA-004,EFA,1d,12,0.3333,EFA,1d
1,31.0769,-461.77,985.07,EFA,1d,all_m12_24,原小范围全样本,stress_low,100246.15,strategy_timeframe_symbol,100000.00,4,2017.70,2.0177,246.15,1.0666,normal_density_review,0.2462,completed_capital_test,M10-PA-004,EFA,1d,12,0.3333,EFA,1d
1,62.0308,-516.21,1003.68,GLD,1d,all_m12_24,原小范围全样本,baseline,101978.63,strategy_timeframe_symbol,100000.00,2,1032.41,1.0324,1978.63,2.9165,normal_density_review,1.9786,completed_capital_test,M10-PA-004,GLD,1d,5,0.6000,GLD,1d
1,62.0308,-525.57,978.27,GLD,1d,all_m12_24,原小范围全样本,stress_high,101883.68,strategy_timeframe_symbol,100000.00,2,1051.13,1.0511,1883.68,2.7920,normal_density_review,1.8837,completed_capital_test,M10-PA-004,GLD,1d,5,0.6000,GLD,1d
1,62.0308,-518.55,997.33,GLD,1d,all_m12_24,原小范围全样本,stress_low,101954.88,strategy_timeframe_symbol,100000.00,2,1037.10,1.0371,1954.88,2.8849,normal_density_review,1.9549,completed_capital_test,M10-PA-004,GLD,1d,5,0.6000,GLD,1d
1,47.3095,-472.14,580.32,GOOG,1d,all_m12_24,原小范围全样本,baseline,93379.84,strategy_timeframe_symbol,100000.00,9,8203.32,8.2033,-6620.16,0.5326,normal_density_review,-6.6202,completed_capital_test,M10-PA-004,GOOG,1d,43,0.3023,GOOG,1d
