leveraged_or_inverse,net_pnl,profit_factor,return_percent_proxy,symbol,symbol_type,trade_count,win_rate
true,-11068.56,0.3853,-11.0686,SQQQ,ETF,48,0.1875
false,-8469.59,0.5106,-8.4696,NVDA,stock,49,0.2449
false,-7409.13,0.5743,-7.4091,QCOM,stock,49,0.2449
false,-7403.56,0.5483,-7.4036,ORCL,stock,47,0.2766
false,-6845.72,0.5912,-6.8457,SOXX,ETF,48,0.2708
false,-6754.89,0.5688,-6.7549,SMH,ETF,47,0.2553
false,-6620.15,0.5326,-6.6202,GOOG,stock,43,0.3023
false,-6154.93,0.6006,-6.1549,GOOGL,stock,48,0.3125
true,-5759.76,0.6568,-5.7598,TQQQ,ETF,49,0.2857
false,-4549.87,0.6962,-4.5499,ADBE,stock,47,0.2979
false,-4325.64,0.7182,-4.3256,META,stock,49,0.3061
false,-4298.70,0.5406,-4.2987,IWM,ETF,27,0.2963
false,-3583.32,0.6517,-3.5833,SNOW,stock,31,0.2903
false,-3223.02,0.5195,-3.2230,EEM,ETF,20,0.2500
false,-2582.24,0.7944,-2.5822,MSFT,stock,40,0.3000
false,-1702.68,0.7605,-1.7027,PLTR,stock,22,0.3182
false,-1504.02,0.6620,-1.5040,XLC,ETF,13,0.3077
false,-1428.84,0.8306,-1.4288,QQQ,ETF,27,0.2593
false,-1376.87,0.9127,-1.3769,CRM,stock,49,0.3061
false,-1287.98,0.0000,-1.2880,DIA,ETF,3,0.0000
false,-1280.48,0.7779,-1.2805,XLI,stock,17,0.2941
false,-1036.74,0.4890,-1.0367,SPY,ETF,5,0.2000
false,-1032.74,0.4896,-1.0327,VTI,ETF,5,0.2000
false,-850.27,0.8368,-0.8503,XLB,ETF,18,0.3889
false,-479.08,0.9688,-0.4791,AMD,stock,48,0.3542
false,-239.24,0.9733,-0.2392,XLK,stock,29,0.3793
false,-171.79,0.6614,-0.1718,XLV,stock,2,0.5000
false,-55.94,0.9727,-0.0559,VOO,ETF,6,0.3333
false,317.05,1.0871,0.3170,EFA,ETF,12,0.3333
false,458.52,1.2971,0.4585,IVV,ETF,5,0.4000
false,1145.07,1.5041,1.1451,TLT,ETF,9,0.4444
false,1170.87,1.4618,1.1709,XLU,stock,10,0.5000
false,1491.47,1.1024,1.4915,ARKK,ETF,48,0.3542
false,1591.02,1.1232,1.5910,INTC,stock,46,0.4130
false,1912.53,1.1364,1.9125,AVGO,stock,48,0.3958
false,1978.63,2.9165,1.9786,GLD,ETF,5,0.6000
false,2000.52,,2.0005,XLP,stock,2,1.0000
false,2391.11,1.1722,2.3911,AAPL,stock,50,0.4000
false,2515.62,1.1954,2.5156,USO,ETF,47,0.4468
false,2696.55,1.5293,2.6966,XLF,ETF,19,0.4737
false,2919.84,1.2014,2.9198,NOW,stock,50,0.4000
false,3817.85,1.3614,3.8178,XLE,ETF,36,0.4167
false,3966.19,1.3043,3.9662,PANW,stock,47,0.4255
false,4061.81,1.5371,4.0618,XLY,ETF,31,0.4516
false,4504.50,1.4750,4.5045,SLV,ETF,40,0.4750
false,4955.71,1.4066,4.9557,TSLA,stock,49,0.4898
false,5446.59,1.3993,5.4466,AMZN,stock,48,0.4167
false,6170.86,1.4810,6.1709,MU,stock,47,0.4681
