session_key,split,breakout_timestamp,direction,prior_level,filter_state,breakout_body_ratio,breakout_close_ratio,breakout_avg_body_multiple,filter_displacement_ratio,filter_flip_count,filter_doji_count,status,reason_code,time_bucket
2026-02-20,in_sample,2026-02-20T10:00:00-05:00,long,685.3500,trend_supportive,0.4379,0.4680,3.2578,0.7008,2,1,skipped,weak_breakout_bar,open_0930_1100
2026-02-20,in_sample,2026-02-20T10:50:00-05:00,long,688.7200,neutral,0.4626,0.8571,0.9796,0.4860,2,1,skipped,no_follow_through,open_0930_1100
2026-02-20,in_sample,2026-02-20T11:20:00-05:00,short,687.0000,neutral,0.6931,0.7228,2.0290,0.2188,3,2,executed,executed,midday_1100_1330
2026-02-20,in_sample,2026-02-20T11:45:00-05:00,long,688.8800,neutral,0.7518,0.8440,0.7447,0.1137,1,0,skipped,weak_breakout_bar,midday_1100_1330
2026-02-20,in_sample,2026-02-20T12:10:00-05:00,short,687.0400,neutral,0.9479,0.9763,2.1661,0.4834,1,1,executed,executed,midday_1100_1330
2026-02-20,in_sample,2026-02-20T13:30:00-05:00,long,687.8000,neutral,0.4230,0.6787,4.4662,0.4178,4,2,skipped,returned_to_range,late_1330_1600
2026-02-20,in_sample,2026-02-20T13:45:00-05:00,long,689.0200,neutral,0.2786,0.3071,0.7106,0.4875,5,2,skipped,weak_breakout_bar,late_1330_1600
2026-02-20,in_sample,2026-02-20T14:40:00-05:00,short,688.2400,neutral,0.5616,0.8904,1.5000,0.7204,4,1,skipped,no_follow_through,late_1330_1600
2026-02-20,in_sample,2026-02-20T15:05:00-05:00,long,688.8800,range_veto,0.5972,0.6111,1.8038,0.1493,3,3,skipped,range_veto,late_1330_1600
2026-02-23,in_sample,2026-02-23T10:00:00-05:00,short,686.3000,neutral,0.6070,0.9701,1.3996,0.3514,3,2,executed,executed,open_0930_1100
2026-02-23,in_sample,2026-02-23T11:00:00-05:00,short,682.1800,neutral,0.5801,0.7251,2.4202,0.7929,2,2,executed,executed,midday_1100_1330
2026-02-23,in_sample,2026-02-23T12:10:00-05:00,short,681.7800,neutral,0.4030,0.7313,2.0385,0.4249,3,4,skipped,returned_to_range,midday_1100_1330
2026-02-23,in_sample,2026-02-23T12:30:00-05:00,short,681.5900,neutral,0.7447,0.8298,3.3866,0.3182,3,4,executed,executed,midday_1100_1330
2026-02-23,in_sample,2026-02-23T13:00:00-05:00,long,682.3500,neutral,0.6678,0.8436,0.8752,0.1960,3,2,skipped,weak_breakout_bar,midday_1100_1330
2026-02-23,in_sample,2026-02-23T13:05:00-05:00,long,682.5090,neutral,0.8704,0.9630,1.0702,0.5576,3,2,executed,executed,midday_1100_1330
2026-02-23,in_sample,2026-02-23T13:50:00-05:00,short,682.8200,neutral,0.8861,0.9620,2.5076,0.0575,2,1,executed,executed,late_1330_1600
2026-02-23,in_sample,2026-02-23T15:30:00-05:00,long,681.5200,neutral,0.7826,0.8247,3.5126,0.3333,2,0,skipped,no_follow_through,late_1330_1600
2026-02-24,in_sample,2026-02-24T10:20:00-05:00,long,684.9700,neutral,0.8718,0.9658,1.2167,0.2483,3,0,executed,executed,open_0930_1100
2026-02-25,in_sample,2026-02-25T10:05:00-05:00,short,690.6200,neutral,0.5353,0.6580,1.0562,0.0803,3,1,skipped,no_follow_through,open_0930_1100
2026-02-25,in_sample,2026-02-25T11:05:00-05:00,long,691.1900,neutral,0.7143,0.9796,2.7097,0.5099,3,3,skipped,returned_to_range,midday_1100_1330
