trade_id,session_key,split,direction,filter_state,breakout_timestamp,follow_through_timestamp,entry_timestamp,exit_timestamp,time_bucket,raw_entry_price,executed_entry_price,stop_price,target_price,exit_price,executed_exit_price,risk_per_share,quantity,pnl_per_share,pnl_cash,pnl_r,equity_after_close,exit_reason
PA-SC-002-2026-02-20-01,2026-02-20,in_sample,short,neutral,2026-02-20T12:10:00-05:00,2026-02-20T12:15:00-05:00,2026-02-20T12:20:00-05:00,2026-02-20T12:50:00-05:00,midday_1100_1330,685.0600,684.9815,687.1500,682.9700,687.1500,687.2287,2.0900,36,-2.2472,-80.8992,-1.0752,24919.1008,stop_hit
PA-SC-002-2026-02-23-01,2026-02-23,in_sample,short,neutral,2026-02-23T10:00:00-05:00,2026-02-23T10:05:00-05:00,2026-02-23T10:10:00-05:00,2026-02-23T10:55:00-05:00,open_0930_1100,684.9400,684.8615,687.2400,682.6400,682.6400,682.7183,2.3000,36,2.1432,77.1552,0.9318,24996.2560,target_hit
PA-SC-002-2026-02-23-02,2026-02-23,in_sample,short,neutral,2026-02-23T11:00:00-05:00,2026-02-23T11:05:00-05:00,2026-02-23T11:10:00-05:00,2026-02-23T11:25:00-05:00,midday_1100_1330,680.9400,680.8619,682.5200,679.3600,682.5200,682.5983,1.5800,36,-1.7364,-62.5104,-1.0990,24933.7456,stop_hit
PA-SC-002-2026-02-23-03,2026-02-23,in_sample,long,neutral,2026-02-23T13:05:00-05:00,2026-02-23T13:10:00-05:00,2026-02-23T13:15:00-05:00,2026-02-23T13:25:00-05:00,midday_1100_1330,683.0900,683.1683,682.3500,683.8300,683.8300,683.7516,0.7400,36,0.5833,20.9988,0.7882,24954.7444,target_hit
PA-SC-002-2026-02-23-04,2026-02-23,in_sample,short,neutral,2026-02-23T13:50:00-05:00,2026-02-23T13:55:00-05:00,2026-02-23T14:00:00-05:00,2026-02-23T14:40:00-05:00,late_1330_1600,682.0200,681.9418,683.2900,680.7500,680.7500,680.8281,1.2700,36,1.1137,40.0932,0.8769,24994.8376,target_hit
PA-SC-002-2026-02-25-01,2026-02-25,in_sample,long,neutral,2026-02-25T11:25:00-05:00,2026-02-25T11:35:00-05:00,2026-02-25T11:40:00-05:00,2026-02-25T11:45:00-05:00,midday_1100_1330,691.6600,691.7392,691.0700,692.2500,692.2500,692.1708,0.5900,36,0.4316,15.5376,0.7315,25010.3752,target_hit
PA-SC-002-2026-02-25-02,2026-02-25,in_sample,long,neutral,2026-02-25T14:00:00-05:00,2026-02-25T14:05:00-05:00,2026-02-25T14:10:00-05:00,2026-02-25T15:45:00-05:00,late_1330_1600,692.9300,693.0093,692.4700,693.3900,693.3900,693.3107,0.4600,36,0.3014,10.8504,0.6552,25021.2256,target_hit
PA-SC-002-2026-02-26-01,2026-02-26,in_sample,short,neutral,2026-02-26T10:20:00-05:00,2026-02-26T10:30:00-05:00,2026-02-26T10:35:00-05:00,2026-02-26T10:40:00-05:00,open_0930_1100,684.6200,684.5415,686.9900,682.2500,686.9900,687.0687,2.3700,36,-2.5272,-90.9792,-1.0663,24930.2464,stop_hit
PA-SC-002-2026-02-26-02,2026-02-26,in_sample,long,neutral,2026-02-26T11:10:00-05:00,2026-02-26T11:20:00-05:00,2026-02-26T11:25:00-05:00,2026-02-26T11:35:00-05:00,midday_1100_1330,688.4800,688.5588,687.8100,689.1500,687.8100,687.7312,0.6700,36,-0.8276,-29.7936,-1.2352,24900.4528,stop_hit
PA-SC-002-2026-02-26-03,2026-02-26,in_sample,long,neutral,2026-02-26T14:05:00-05:00,2026-02-26T14:15:00-05:00,2026-02-26T14:20:00-05:00,2026-02-26T15:55:00-05:00,late_1330_1600,688.9800,689.0589,687.8100,690.1500,689.3200,689.2411,1.1700,36,0.1822,6.5592,0.1557,24907.0120,session_close
